Name,Games,Rank
Edward Mujica,499,
Tim Burke,498,442
Whitey Ford,498,
Bob Forsch,498,
Brandon League,498,
Steve Howe,497,446
Ian Kennedy,497,
Salomon Torres,497,
Eric O'Flaherty,496,449
Fernando Salas,496,
Jim Slaton,496,
Jack Aker,495,452
Bobby Bolin,495,
Dick Hall,495,
Hunter Strickland,495,
Mike Torrez,494,456
Joe Hoerner,493,457
Shawn Kelley,493,
Gene Nelson,493,
Si Johnson,492,460
Jim McCormick,492,
Willis Hudlin,491,462
Jeff Parrett,491,
Scot Shields,491,
Ron Taylor,491,
Juan Berenguer,490,466
Liam Hendriks,490,
Carl Mays,490,
Lee Meadows,490,
Bullet Joe Bush,489,470
Hal Newhouser,488,471
Juan Pizarro,488,
Bob Shawkey,488,
Edwin Díaz,487,474
George Mullin,487,
Kevin Brown,486,476
Joe Kelly,485,477
Tim Stoddard,485,
Joe Coleman,484,479
Brian Duensing,484,
Pedro Feliciano,484,
Ellis Kinder,484,
Mike Magnante,484,
Mike McCormick,484,
Tom Niedenfuer,484,
Neal Cotts,483,486
Brandon Kintzler,483,
Vern Law,483,
Will Ohman,483,
Babe Adams,482,490
Tim Hudson,482,
Stan Williams,482,
Cody Allen,481,493
Mordecai Brown,481,
Mark Clear,481,
Ron Davis,481,
Ray Burris,480,497
Burt Hooton,480,
Tim Byrdak,479,499
Billy O'Dell,479,
Adam Wainwright,478,501
Aaron Heilman,477,502
Carlos Villanueva,477,
Jack Billingham,476,504
Pedro Martinez,476,
Chan Ho Park,476,
Slim Sallee,476,
Paul Shuey,476,
Mike Caldwell,475,509
Marty Pattin,475,
Kevin Gross,474,511
Jim Mecir,474,
Alan Mills,474,
Jim Clancy,472,514
Dick Coffman,472,
Mike Maddux,472,
Scott Sanderson,472,
Scott Sauerbeck,472,
Gabe White,472,
Esteban Yan,472,
Carlos Estévez,471,521
Juan Marichal,471,
Jimmy Key,470,523
Drew Storen,470,
Kevin Jepsen,469,525
Matt Lindstrom,469,
Shane Rawley,469,
Bruce Ruffin,469,
Mike Williams,468,529
Jim Acker,467,530
Matt Barnes,467,
Max Scherzer,467,
Brian Shouse,467,
Steve Barber,466,534
Danny MacFayden,465,535
Joe McGinnity,465,
Wandy Peralta,465,
Addison Reed,465,
Aaron Fultz,464,539
Sean Doolittle,463,540
Xavier Hernandez,463,
Amos Rusie,463,
Bill Lee,462,543
David Riske,462,
Duane Ward,462,
Todd Coffey,461,546
Joe Sambito,461,
Bob Lemon,460,548
Don Mossi,460,
Ed Roebuck,460,
Chief Bender,459,551
Aurelio Lopez,459,
Chuck Stobbs,459,
Luis Avilán,458,554
T.J. McFarland,458,
