Name,Games,Rank
Lew Burdette,31,542
Sarge Connally,31,
Ike Delock,31,
Adrian Devine,31,
Mychal Givens,31,
Dave Hamilton,31,
Jim Henderson,31,
Ken Howell,31,
Willis Hudlin,31,
Sad Sam Jones,31,
Carlos Martínez,31,
Carl Mays,31,
Alex Reyes,31,
Dick Selma,31,
Mike Stanton,31,
Chuck Taylor,31,
Jim Acker,30,558
Dave Beard,30,
Tex Clevenger,30,
Dizzy Dean,30,
Rafael Montero,30,
Rob Murphy,30,
Ken Ryan,30,
Fernando Salas,30,
Joe Smith,30,
Hunter Strickland,30,
Virgil Trucks,30,
Alfredo Aceves,29,569
Juan Agosto,29,
Jim Bagby,29,
Joe Beggs,29,
Lou Brissie,29,
Jumbo Brown,29,
John Candelaria,29,
Lance Carter,29,
Paul Derringer,29,
George Frazier,29,
Yimi García,29,
Wayne Gomes,29,
Chad Green,29,
Andy Hassler,29,
Jeff Hoffman,29,
John Hudek,29,
Leo Kiely,29,
Alex Lange,29,
Will McEnaney,29,
Phil Niekro,29,
Eddie Rommel,29,
Clyde Shoun,29,
Dave Sisler,29,
Warren Spahn,29,
Jeremy Affeldt,28,593
Red Faber,28,
Steve Frey,28,
Luke Jackson,28,
Keone Kela,28,
Dolf Luque,28,
Christy Mathewson,28,
Jenrry Mejia,28,
Gene Nelson,28,
Bob Patterson,28,
Juan Pizarro,28,
Kenny Rogers,28,
Bob Shawkey,28,
Dave Tobik,28,
Cy Acosta,27,607
Adbert Alzolay,27,
Scott Downs,27,
Buddy Groom,27,
Kevin Jepsen,27,
Matt Karchner,27,
Luis Sanchez,27,
Bill Swift,27,
Shingo Takatsu,27,
Jose Veras,27,
Matt Anderson,26,617
Bob Apodaca,26,
Pete Appleton,26,
Keith Atherton,26,
Sandy Consuegra,26,
Jerry Don Gleaton,26,
Gene Harris,26,
Dave Heaverlo,26,
Andy Karl,26,
Shawn Kelley,26,
Frank LaCorte,26,
Don Larsen,26,
Mark Leiter,26,
Pat Malone,26,
Hal Newhouser,26,
A.J. Puk,26,
Bill Sherdel,26,
Joe Black,25,634
Marshall Bridges,25,
Earl Caldwell,25,
Eddie Cicotte,25,
Reggie Cleveland,25,
Bill Dawley,25,
Alan Embree,25,
Jeff Fassero,25,
Lee Guetterman,25,
Bump Hadley,25,
Phil Hennigan,25,
Bob Hooper,25,
Hal Jeffcoat,25,
Kent Mercker,25,
Marty Pattin,25,
Jim Ray,25,
Robin Roberts,25,
Urban Shocker,25,
George Uhle,25,
Hal White,25,
Brandon Workman,25,
Matt Young,25,
Jason Adam,24,656
Joe Barlow,24,
Hi Bell,24,
Phil Collins,24,
Doc Crandall,24,
Kendall Graveman,24,
Juan Gutierrez,24,
David Hernandez,24,
Kirby Higbe,24,
Cal Koonce,24,
Andy McGaffigan,24,
Joe McGinnity,24,
Jim Todd,24,
Dooley Womack,24,
Dean Chance,23,670
George Culver,23,
Dave Danforth,23,
Murry Dickson,23,
Brian Fisher,23,
Mike Garcia,23,
Steve Gromek,23,
Mel Harder,23,
Chuck Hartenstein,23,
Dick Hyde,23,
Joe Jiménez,23,
Barry Jones,23,
Bob Klinger,23,
Ted Lyons,23,
Butch Metzger,23,
Johnny Morrison,23,
Eddie Plank,23,
Paul Shuey,23,
Bill Simas,23,
Julian Tavarez,23,
Matt Thornton,23,
Bobby Tiefenauer,23,
Oscar Zamora,23,
Lloyd Allen,22,693
Dave Baldwin,22,
Larry Benton,22,
Nelson Briles,22,
Tony Castillo,22,
Alvin Crowder,22,
Bill Dailey,22,
Sam Gray,22,
Darren Hall,22,
J.P. Howell,22,
Tommy Hunter,22,
Tom Johnson,22,
Dave Koslo,22,
Bob Lacey,22,
Les Lancaster,22,
Fred Lasher,22,
Brooks Lawrence,22,
Bob Lemon,22,
James McArthur,22,
Dyar Miller,22,
Jeff Parrett,22,
Mike Perez,22,
Nels Potter,22,
Jay Powell,22,
Mike Proly,22,
David Riske,22,
Curt Schilling,22,
Drew Steckenrider,22,
Wes Stock,22,
Ed Vande Berg,22,
Gary Wagner,22,
Tim Wakefield,22,
Tom Zachary,22,
Johnny Antonelli,21,726
Rube Benton,21,
Yhency Brazoban,21,
Rex Brothers,21,
Lloyd Brown,21,
Ben Cantwell,21,
Stan Coveleski,21,
Tom Dukes,21,
Bob Feller,21,
Harvey Haddix,21,
Mickey Harris,21,
Will Harris,21,
Joe Haynes,21,
Joe Hesketh,21,
Lew Krausse,21,
Jack Meyer,21,
John Montague,21,
Bobo Newsom,21,
Don Nottebart,21,
Vladimir Nunez,21,
Darren O'Day,21,
Antonio Osuna,21,
Jim Owens,21,
Claude Passeau,21,
Paul Quantrill,21,
Bob Reynolds,21,
Ricardo Rincon,21,
Mac Scarce,21,
Calvin Schiraldi,21,
Johnny Schmitz,21,
Scot Shields,21,
Sherry Smith,21,
Lee Stange,21,
Dave Stevens,21,
Mark Thurmond,21,
Ken Trinkle,21,
Bob Veale,21,
Ryan Walker,21,
Mark Williamson,21,
Stan Bahnsen,20,765
De Wayne Buice,20,
Ambiorix Burgos,20,
Bullet Joe Bush,20,
Andrew Chafin,20,
Casey Cox,20,
Jack Hamilton,20,
Brad Hennessey,20,
Jeremy Hernandez,20,
Art Houtteman,20,
Bob Humphreys,20,
Larry Jackson,20,
Tyler Kinley,20,
Jeff Lahti,20,
Mike Maddux,20,
Walt Masterson,20,
George Mogridge,20,
Hipolito Pichardo,20,
Howie Pollet,20,
Mike Remlinger,20,
Scott Stewart,20,
Scott Strickland,20,
Bill Swift,20,
Jim Turner,20,
Rowan Wick,20,
Jack Wilson,20,
Justin Wilson,20,
Anthony Young,20,
Bob Allen,19,793
Luis Ayala,19,
Hugh Bedient,19,
Hank Behrman,19,
Ray Benge,19,
Ralph Branca,19,
Don Brennan,19,
Hal Carlson,19,
Hector Carrasco,19,
Larry Cheney,19,
Roger Craig,19,
Steve Crawford,19,
Bruce Dal Canton,19,
Jake Diekman,19,
Pat Dobson,19,
Michael Fulmer,19,
Bill Greif,19,
Dixie Howell,19,
Ernie Johnson,19,
Dave Jolly,19,
Jack Knott,19,
Ryan Kohlmeier,19,
Bill Lee,19,
Jim Lindsey,19,
Rube Marquard,19,
Jakie May,19,
Bob Moose,19,
Joe Nuxhall,19,
Steve Ontiveros,19,
Ron Robinson,19,
Richard Rodríguez,19,
Tyler Rogers,19,
Rosy Ryan,19,
Kevin Saucier,19,
Jack Scott,19,
Bryan Shaw,19,
Alfredo Simon,19,
Dave Stewart,19,
Chuck Stobbs,19,
Elam Vangilder,19,
Ron Willis,19,
Johnny Allen,18,834
Joe Berry,18,
Harry Brecheen,18,
Mike Caldwell,18,
Bobby Castillo,18,
Joe Dobson,18,
Sammy Ellis,18,
Danny Farquhar,18,
Frank Funk,18,
Burleigh Grimes,18,
Ed Heusser,18,
Ken Holloway,18,
Jim Kaat,18,
Ray Kolp,18,
Dan Osinski,18,
Bob Priddy,18,
Jerry Reed,18,
Steve Reed,18,
Joe Shaute,18,
Bob Shirley,18,
Chris Short,18,
Frank Sullivan,18,
Ryan Tepera,18,
