Name,Triples,Rank
Mel Ott,72,365
Dave Philley,72,366
Frank Robinson,72,367
Denard Span,72,368
John Titus,72,369
Dick Bartell,71,370
Roger Bresnahan,71,371
Eddie Foster,71,372
Jim Gilliam,71,373
Hank Greenberg,71,374
Bug Holliday,71,375
Dick McAuliffe,71,376
Barney McCosky,71,377
Roger Metzger,71,378
Mickey Rivers,71,379
Jack Smith,71,380
Jake Stenzel,71,381
Tilly Walker,71,382
Devon White,71,383
Ted Williams,71,384
Maury Wills,71,385
Mookie Wilson,71,386
Johnny Evers,70,387
Harry Lord,70,388
John McGraw,70,389
Joe Mulvey,70,390
Luis Polonia,70,391
Joe Quinn,70,392
Shane Victorino,70,393
Michael Bourn,69,394
Tom Burns,69,395
Del Ennis,69,396
Lonny Frey,69,397
Rafael Furcal,69,398
Ozzie Guillen,69,399
Bill Hinchman,69,400
Ken Keltner,69,401
Denny Lyons,69,402
Matty McIntyre,69,403
Ivy Olson,69,404
Ozzie Smith,69,405
Claudell Washington,69,406
Buck Weaver,69,407
Charlie Blackmon,68,408
Ken Boyer,68,409
Charlie Comiskey,68,410
Al Cowens,68,411
Monte Cross,68,412
Bones Ely,68,413
Luis Gonzalez,68,414
Charlie Hemphill,68,415
Dick Johnston,68,416
Doc Johnston,68,417
Duffy Lewis,68,418
Fred Mann,68,419
Claude Ritchey,68,420
Brooks Robinson,68,421
Emmett Seery,68,422
Joe Sewell,68,423
Snuffy Stirnweiss,68,424
George Stone,68,425
Brady Anderson,67,426
Jay Bell,67,427
Charlie Bennett,67,428
Ossie Bluege,67,429
Steve Evans,67,430
Mike Grady,67,431
Dick Groat,67,432
Chick Hafey,67,433
Ray Powell,67,434
Red Rolfe,67,435
Ron Santo,67,436
Hack Wilson,67,437
Gus Bell,66,438
Bobby Bonds,66,439
Lou Boudreau,66,440
Fred Carroll,66,441
Rickey Henderson,66,442
Orlando Hudson,66,443
Derek Jeter,66,444
Harry Lumley,66,445
Jack McCarthy,66,446
Hal McRae,66,447
Lloyd Moseby,66,448
Jack O'Connor,66,449
Amos Otis,66,450
Heinie Peitz,66,451
Curt Welch,66,452
Ripper Collins,65,453
Frankie Crosetti,65,454
David DeJesus,65,455
Danny Green,65,456
Andy High,65,457
Willie Randolph,65,458
Heinie Reitz,65,459
Craig Reynolds,65,460
Burt Shotton,65,461
Lou Whitaker,65,462
Bill White,65,463
Mickey Cochrane,64,464
Jack Doyle,64,465
Happy Felsch,64,466
Ralph Garr,64,467
Don Gutteridge,64,468
Bucky Harris,64,469
Joe Harris,64,470
Gabby Hartnett,64,471
Chuck Knoblauch,64,472
George McQuinn,64,473
Ski Melillo,64,474
Rick Monday,64,475
Pete Runnels,64,476
Ellis Burks,63,477
Stephen Drew,63,478
Pete Hotaling,63,479
Bill Keister,63,480
Jorge Orta,63,481
Harry Rice,63,482
Gene Richards,63,483
Alex Rios,63,484
Ed Swartwood,63,485
Zoilo Versalles,63,486
Gene Woodling,63,487
Don Blasingame,62,488
Harlond Clift,62,489
Birdie Cree,62,490
Shawon Dunston,62,491
Granny Hamner,62,492
Frank Isbell,62,493
Garry Maddox,62,494
Bill Mazeroski,62,495
Andy Pafko,62,496
Phil Rizzuto,62,497
Elmer Smith,62,498
Larry Walker,62,499
Whitey Witt,62,500
Clyde Barnhart,61,501
Wade Boggs,61,502
Bobby Bonilla,61,503
Johnny Kling,61,504
Chet Lemon,61,505
Dale Mitchell,61,506
Neifi Perez,61,507
Vic Saier,61,508
Bobby Byrne,60,509
Cesar Cedeno,60,510
Jack Clements,60,511
Keith Hernandez,60,512
Solly Hofman,60,513
Kevin Kiermaier,60,514
Wally Moon,60,515
Bill Nicholson,60,516
Blondie Purcell,60,517
Reggie Sanders,60,518
George Scott,60,519
Stan Spence,60,520
Possum Whitted,60,521
Michael Young,60,522
Bobby Abreu,59,523
Wally Berger,59,524
Mike Cameron,59,525
Luis Castillo,59,526
Jim Delahanty,59,527
Bibb Falk,59,528
Spike Owen,59,529
Mike Schmidt,59,530
Ruben Sierra,59,531
Joe Torre,59,532
Bill Wambsganss,59,533
Randy Winn,59,534
Tony Womack,59,535
Carl Yastrzemski,59,536
Alcides Escobar,58,537
Chone Figgins,58,538
Elbie Fletcher,58,539
Bubbles Hargrave,58,540
Walter Holke,58,541
Ducky Holmes,58,542
Sadie Houck,58,543
Red Kress,58,544
Brian McRae,58,545
Jim McTamany,58,546
Bob O'Farrell,58,547
Everett Scott,58,548
Bob Skinner,58,549
Lonnie Smith,58,550
Milt Stock,58,551
Phil Todt,58,552
Hal Trosky,58,553
Chase Utley,58,554
Frank White,58,555
Hank Bauer,57,556
Eddie Burke,57,557
Donn Clendenon,57,558
Coco Crisp,57,559
Art Devlin,57,560
Dom DiMaggio,57,561
Tony Gonzalez,57,562
Richie Hebner,57,563
Benny Kauff,57,564
Ron LeFlore,57,565
Tim McCarver,57,566
Doggie Miller,57,567
Kirby Puckett,57,568
Paul Radford,57,569
Bill Russell,57,570
Manny Sanguillen,57,571
Reggie Smith,57,572
Patsy Tebeau,57,573
Tom York,57,574
Buddy Bell,56,575
Enos Cabell,56,576
Dave Cash,56,577
John Coleman,56,578
Leo Durocher,56,579
Kid Elberfeld,56,580
Carl Furillo,56,581
Marquis Grissom,56,582
Harvey Kuenn,56,583
Lyn Lary,56,584
George Pinkney,56,585
Terry Puhl,56,586
Jim Rivera,56,587
Luke Sewell,56,588
Jimmy Slagle,56,589
George Stovall,56,590
Pinky Whitney,56,591
Eddie Yost,56,592
Craig Biggio,55,593
Paul Blair,55,594
George Browne,55,595
Royce Clayton,55,596
Jack Farrell,55,597
Jim Fogarty,55,598
Hod Ford,55,599
Brian Giles,55,600
Roy Hartzell,55,601
Cliff Heathcote,55,602
Julian Javier,55,603
Billy Jurges,55,604
Starling Marte,55,605
Bake McBride,55,606
Jerry Mumphrey,55,607
Angel Pagan,55,608
Freddie Patek,55,609
Hunter Pence,55,610
Willie Stargell,55,611
Joe Start,55,612
Dee Strange-Gordon,55,613
Cesar Tovar,55,614
Alan Trammell,55,615
Mike Trout,55,616
Mitch Webster,55,617
Bernie Williams,55,618
Taffy Wright,55,619
Eddie Ainsmith,54,620
Jack Boyle,54,621
Julio Franco,54,622
Kirk Gibson,54,623
Sammy Hale,54,624
Ray Lankford,54,625
Fred Luderus,54,626
Lee Magee,54,627
Mickey Morandini,54,628
Mike Mowrey,54,629
Jackie Robinson,54,630
Fred Schulte,54,631
Socks Seybold,54,632
Riggs Stephenson,54,633
George Tebeau,54,634
Adonis Terry,54,635
Derrel Thomas,54,636
Aaron Ward,54,637
Luis Alicea,53,638
Bob Allison,53,639
Joe Carter,53,640
Fred Dunlap,53,641
Sid Farrar,53,642
Omar Infante,53,643
Austin Jackson,53,644
Freddy Leach,53,645
Tommy McCarthy,53,646
Gene Moore,53,647
Jo-Jo Moore,53,648
Harold Reynolds,53,649
Dave Roberts,53,650
Bill Skowron,53,651
Jackie Tavener,53,652
Roy Thomas,53,653
Farmer Vaughn,53,654
Harry Wolverton,53,655
Dave Brain,52,656
Al Bumbry,52,657
Doc Casey,52,658
Sam Chapman,52,659
Dave Collins,52,660
Larry Doby,52,661
Woody English,52,662
Bob Fothergill,52,663
Nomar Garciaparra,52,664
Joe Gordon,52,665
Danny Hoffman,52,666
Jerry Lumpe,52,667
Manny Mota,52,668
Jim Piersall,52,669
Danny Richardson,52,670
Orator Shafer,52,671
Rudy York,52,672
Elvis Andrus,51,673
Frank Baumholtz,51,674
Ray Blades,51,675
Adam Comorosky,51,676
Joe Gerhardt,51,677
Carlos Guillen,51,678
Odell Hale,51,679
Pinky Higgins,51,680
Raul Ibanez,51,681
John Kerins,51,682
Gary Matthews,51,683
Gil McDougald,51,684
Gary Redus,51,685
Lance Richbourg,51,686
Wilbert Robinson,51,687
Ivan Rodriguez,51,688
Jim Russell,51,689
Roy White,51,690
Matty Alou,50,691
Del Bissonette,50,692
Bob Caruthers,50,693
Lou Criger,50,694
Pat Duncan,50,695
Ira Flagstead,50,696
Lew Fonseca,50,697
Greg Gagne,50,698
Ron Gant,50,699
John Ganzel,50,700
Cesar Geronimo,50,701
Doc Gessler,50,702
Elston Howard,50,703
Miller Huggins,50,704
George Kell,50,705
Jim Landis,50,706
Davey Lopes,50,707
Andrew McCutchen,50,708
Dusty Miller,50,709
Jocko Milligan,50,710
Greasy Neale,50,711
Johnny Pesky,50,712
Tony Phillips,50,713
Rip Radcliff,50,714
Chris Speier,50,715
Jake Virtue,50,716
Billy Werber,50,717
Bobby Adams,49,718
Felipe Alou,49,719
Harold Baines,49,720
Charley Bassett,49,721
Les Bell,49,722
Yogi Berra,49,723
Ryan Braun,49,724
Bill Buckner,49,725
Leo Cardenas,49,726
George Decker,49,727
George Gibson,49,728
Steve Henderson,49,729
Reggie Jackson,49,730
Mark Koenig,49,731
Nemo Leibold,49,732
Whitey Lockman,49,733
Tom Long,49,734
Bris Lord,49,735
Ed McFarland,49,736
Raul Mondesi,49,737
Gary Pettis,49,738
Vic Power,49,739
Chief Roseman,49,740
Ray Schalk,49,741
Red Smith,49,742
Michael Tucker,49,743
Fernando Vina,49,744
Sparky Adams,48,745
Jim Canavan,48,746
Gino Cimoli,48,747
Dave Concepcion,48,748
Ivan DeJesus,48,749
J.D. Drew,48,750
Gil Hodges,48,751
Otto Knabe,48,752
Mark Kotsay,48,753
Johnny Lindell,48,754
Al Martin,48,755
Tony Oliva,48,756
David Peralta,48,757
Darrell Porter,48,758
Germany Schaefer,48,759
Mickey Stanley,48,760
Ossie Vitt,48,761
Jimmy Barrett,47,762
Shad Barry,47,763
Hick Carpenter,47,764
Cliff Carroll,47,765
Will Clark,47,766
Cecil Cooper,47,767
Bob Dillinger,47,768
Jacoby Ellsbury,47,769
Carlton Fisk,47,770
Dee Fondy,47,771
George Foster,47,772
Bobby Grich,47,773
Frankie Gustine,47,774
Fred Hartman,47,775
Guy Hecker,47,776
Chuck Hinton,47,777
Tommy Holmes,47,778
Jeff Kent,47,779
George McBride,47,780
Mark McLemore,47,781
Darby O'Brien,47,782
Steve Sax,47,783
Jean Segura,47,784
Ted Simmons,47,785
Grady Sizemore,47,786
Rusty Staub,47,787
Cub Stricker,47,788
Bill Tuttle,47,789
Jose Vizcaino,47,790
Heinie Wagner,47,791
Jimmy Welsh,47,792
Charlie Abbey,46,793
Erick Aybar,46,794
Ray Boone,46,795
Jimmy Callahan,46,796
Jose Cardenal,46,797
Tony Cuccinello,46,798
Joe Dugan,46,799
Adam Eaton,46,800
Juan Encarnacion,46,801
Eduardo Escobar,46,802
Tito Fuentes,46,803
Chick Galloway,46,804
Wally Gerber,46,805
Greg Gross,46,806
Vladimir Guerrero,46,807
Jim Hegan,46,808
Harvey Hendrick,46,809
Charlie Irwin,46,810
Willie McCovey,46,811
Cass Michaels,46,812
Dick Padden,46,813
Jerry Priddy,46,814
Aurelio Rodriguez,46,815
Amed Rosario,46,816
Al Smith,46,817
Jack Stivetts,46,818
Earl Torgeson,46,819
George Treadway,46,820
Eric Young,46,821
Ethan Allen,45,822
Doug Baird,45,823
Sam Bohne,45,824
Melky Cabrera,45,825
Rick Ferrell,45,826
Charlie Ganzel,45,827
Patrick Gillespie,45,828
Mark Grace,45,829
Mule Haas,45,830
Lee Handley,45,831
Bud Harrelson,45,832
Arthur Irwin,45,833
Jackie Jensen,45,834
Ken Landreaux,45,835
Doc Lavan,45,836
Peanuts Lowrey,45,837
Ed Morgan,45,838
Bobby Murcer,45,839
Homer Smoot,45,840
Sammy Sosa,45,841
Willie Upshaw,45,842
Johnny Wyrostek,45,843
Bob Allen,44,844
Gene Alley,44,845
Don Buford,44,846
Ed Cartwright,44,847
Gil Coan,44,848
Brandon Crawford,44,849
Jack Crooks,44,850
Curt Flood,44,851
Bernie Friberg,44,852
Wilbur Good,44,853
Billy Goodman,44,854
Don Hoak,44,855
Randy Jackson,44,856
Chet Laabs,44,857
Ken Oberkfell,44,858
Marv Owen,44,859
Cal Ripken Jr.,44,860
Dave Robertson,44,861
Yank Robinson,44,862
Johnny Roseboro,44,863
Frank Snyder,44,864
Pete Suder,44,865
Frank Taveras,44,866
Eddie Waitkus,44,867
Roy Weatherly,44,868
Ben Zobrist,44,869
Ed Abbaticchio,43,870
Bob Bailey,43,871
Beals Becker,43,872
Phil Bradley,43,873
Johnny Briggs,43,874
George Case,43,875
Bill Cissell,43,876
Fred Corey,43,877
Rajai Davis,43,878
Lenny Dykstra,43,879
Bill Everitt,43,880
Shorty Fuller,43,881
Steve Garvey,43,882
Charlie Gelbert,43,883
Sid Gordon,43,884
George Harper,43,885
Al Lopez,43,886
Fred Lynn,43,887
Rick Manning,43,888
Ketel Marte,43,889
Danny Moeller,43,890
Charlie Moore,43,891
Pat Mullin,43,892
Tom Poorman,43,893
Lew Riggs,43,894
Scott Rolen,43,895
Deion Sanders,43,896
Joe Stripp,43,897
Trea Turner,43,898
Juan Uribe,43,899
Al Zarilla,43,900
Harry Bay,42,901
Jimmy Brown,42,902
Nick Castellanos,42,903
Chris Chambliss,42,904
Michael Cuddyer,42,905
Adam Kennedy,42,906
Lee Lacy,42,907
Billy Maloney,42,908
Mike Mansell,42,909
Roger Maris,42,910
Barry McCormick,42,911
Tommy McCraw,42,912
Jim Northrup,42,913
Jack O'Brien,42,914
Frank O'Rourke,42,915
Rebel Oakes,42,916
Shohei Ohtani,42,917
Gerardo Parra,42,918
Connie Ryan,42,919
Hank Severeid,42,920
Roy Sievers,42,921
Fred Snodgrass,42,922
Moose Solters,42,923
Joe Sommer,42,924
Vern Stephens,42,925
B.J. Surhoff,42,926
Dickie Thon,42,927
Del Unser,42,928
