Name,Extra Base Hits,Rank
Edwin Encarnacion,804,122
Joe Cronin,803,123
Jake Beckley,802,124
Evan Longoria,799,125
Miguel Tejada,798,126
Roberto Alomar,794,127
Johnny Bench,794,128
Derrek Lee,793,129
Ruben Sierra,793,130
Moises Alou,792,131
Albert Belle,791,132
Bernie Williams,791,133
Dale Murphy,787,134
Curtis Granderson,785,135
Nolan Arenado,783,136
Mickey Vernon,782,137
Hank Greenberg,781,138
Raul Ibanez,780,139
Zack Wheat,780,140
Darrell Evans,779,141
Bob Johnson,779,142
Mike Piazza,779,143
Ted Simmons,778,144
Lou Brock,776,145
Ron Santo,774,146
Chuck Klein,772,147
Dan Brouthers,771,148
Will Clark,771,149
John Olerud,768,150
Earl Averill,767,151
Adrian Gonzalez,766,152
Tony Gwynn,763,153
Heinie Manush,761,154
Ryne Sandberg,761,155
Mike Trout,758,156
Wade Boggs,757,157
Bobby Bonilla,756,158
Steve Garvey,755,159
Manny Machado,755,160
Brian Giles,753,161
Paul O'Neill,753,162
Bryce Harper,751,163
Matt Williams,751,164
Dick Allen,750,165
Cap Anson,749,166
Carlos Santana,748,167
Graig Nettles,746,168
Giancarlo Stanton,746,169
J.D. Martinez,745,170
Hal McRae,741,171
Magglio Ordonez,741,172
Fred Lynn,737,173
Reggie Smith,734,174
Don Baylor,732,175
Enos Slaughter,730,176
Mark Grace,729,177
Lou Whitaker,729,178
Yogi Berra,728,179
Chase Utley,728,180
Tim Wallach,728,181
Gary Carter,726,182
Jimmy Ryan,726,183
Nick Markakis,725,184
Tino Martinez,725,185
Lee May,725,186
Ryan Zimmerman,723,187
Bill Buckner,721,188
Mike Cameron,720,189
Sam Rice,716,190
Willie Davis,715,191
Del Ennis,715,192
Barry Larkin,715,193
Ian Kinsler,714,194
Jose Altuve,713,195
Jermaine Dye,713,196
Gil Hodges,713,197
Tim Raines,713,198
Justin Upton,712,199
Jack Clark,711,200
Ray Durham,711,201
Frankie Frisch,709,202
Dave Kingman,707,203
Reggie Sanders,706,204
Cecil Cooper,703,205
Dante Bichette,702,206
George Foster,702,207
Mookie Betts,700,208
Bobby Bonds,700,209
Vinny Castilla,697,210
Gabby Hartnett,696,211
Cesar Cedeno,695,212
Bobby Doerr,693,213
George Sisler,691,214
Babe Herman,690,215
JosÃ© RamÃ­rez,689,216
George Davis,687,217
Michael Young,686,218
Don Mattingly,684,219
Vernon Wells,683,220
Buddy Bell,682,221
Ryan Howard,680,222
Kiki Cuyler,679,223
Rocky Colavito,678,224
Kirby Puckett,678,225
Hanley Ramirez,678,226
Nick Castellanos,676,227
Greg Luzinski,675,228
Sherry Magee,674,229
Ron Gant,673,230
Todd Zeile,673,231
Eddie Collins,672,232
Chet Lemon,672,233
Victor Martinez,672,234
B.J. Surhoff,670,235
Marquis Grissom,669,236
Jose Bautista,668,237
Ken Boyer,668,238
Joe Adcock,666,239
Ron Cey,665,240
Jorge Posada,664,241
Jay Bruce,663,242
Brian Downing,663,243
Joe Judge,663,244
Jose Reyes,663,245
Anthony Rizzo,663,246
Frank Howard,662,247
Matt Kemp,662,248
Tim Salmon,662,249
Greg Vaughn,662,250
Bill Dahlen,660,251
Norm Cash,659,252
David Wright,658,253
Devon White,657,254
Jay Bell,656,255
Lance Parrish,656,256
Joe Torre,655,257
Ryan Klesko,654,258
Joe Kuhel,654,259
Roy Sievers,652,260
Alan Trammell,652,261
Jimmy Dykes,651,262
Nomar Garciaparra,651,263
Jose Cruz,650,264
Prince Fielder,650,265
Rod Carew,649,266
Willie Horton,649,267
Larry Parrish,649,268
Max Carey,648,269
Fred Clarke,648,270
Keith Hernandez,648,271
Ray Lankford,648,272
Adam Jones,647,273
Bret Boone,646,274
Bob Elliott,646,275
Robin Ventura,646,276
Harry Stovey,643,277
Jeromy Burnitz,642,278
Wally Joyner,639,279
Raul Mondesi,639,280
Bill Terry,639,281
George Hendrick,637,282
George Scott,637,283
Johnny Callison,636,284
Jeff Conine,635,285
Julio Franco,634,286
Wally Moses,634,287
Amos Otis,633,288
Cy Williams,631,289
Charlie Blackmon,629,290
Kenny Lofton,629,291
Darryl Strawberry,629,292
Tony Lazzeri,627,293
Sam Thompson,627,294
Aubrey Huff,626,295
Frank White,625,296
Harry Hooper,624,297
Ralph Kiner,624,298
Mike Lowell,624,299
Troy Glaus,623,300
Kent Hrbek,623,301
Hunter Pence,623,302
Boog Powell,620,303
Rudy York,620,304
Chris Chambliss,619,305
Eric Karros,619,306
Bob Meusel,619,307
Justin Morneau,619,308
A.J. Pierzynski,619,309
Bill Dickey,617,310
Joe Kelley,617,311
Hal Trosky,617,312
Brady Anderson,615,313
Billy Herman,615,314
Jimmy Wynn,615,315
Felipe Alou,614,316
Orlando Cabrera,614,317
Brandon Phillips,614,318
Omar Vizquel,613,319
Asdrubal Cabrera,611,320
Tom Brunansky,610,321
David Justice,609,322
Marty McManus,609,323
JosÃ© Abreu,608,324
Travis Fryman,608,325
Adam LaRoche,608,326
Francisco Lindor,608,327
Mo Vaughn,608,328
George Bell,607,329
Pat Burrell,607,330
Alex Rios,606,331
Minnie Minoso,605,332
Edgar Renteria,605,333
Bobby Thomson,605,334
Ken Caminiti,604,335
Ben Chapman,604,336
Gary Matthews,604,337
Bobby Veach,604,338
Eric Chavez,602,339
Jhonny Peralta,602,340
Joe Mauer,601,341
Bing Miller,601,342
Wally Berger,600,343
Tony Fernandez,600,344
Ed Konetchy,599,345
Gee Walker,599,346
Ted Kluszewski,598,347
Tony Oliva,597,348
Salvador Perez,597,349
Vic Wertz,597,350
Cliff Floyd,596,351
Jim O'Rourke,596,352
Marcus Semien,596,353
Vern Stephens,596,354
Lave Cross,593,355
Ken Griffey,593,356
Pie Traynor,593,357
Dick Bartell,592,358
Jose Valentin,592,359
Bobby Grich,591,360
Yadier Molina,591,361
Edd Roush,589,362
Red Schoendienst,589,363
George Burns,588,364
Ken Singleton,588,365
Luke Appling,587,366
Dolph Camilli,586,367
Shin-Soo Choo,586,368
Dusty Baker,585,369
Rabbit Maranville,585,370
Gus Bell,583,371
Richie Sexson,583,372
Bobby Murcer,582,373
Harry Davis,581,374
Charlie Grimm,581,375
Brian McCann,581,376
Benito Santiago,581,377
Arky Vaughan,580,378
Frank Thomas,579,379
Doug DeCinces,578,380
Josh Donaldson,578,381
Marcell Ozuna,578,382
Xander Bogaerts,577,383
Jesse Burkett,577,384
Dixie Walker,577,385
Hack Wilson,577,386
Carlos GonzÃ¡lez,576,387
Jeff Heath,575,388
Ichiro Suzuki,575,389
Alex Gordon,573,390
Danny Tartabull,573,391
Melky Cabrera,572,392
Michael Cuddyer,572,393
Carl Furillo,572,394
Chick Hafey,572,395
Matt Stairs,572,396
Tony Phillips,570,397
Luis Aparicio,569,398
Sal Bando,569,399
Kirk Gibson,569,400
Joe Gordon,569,401
Christian Yelich,569,402
Carl Crawford,568,403
Bobby Wallace,568,404
Bill Nicholson,567,405
Claudell Washington,567,406
Pinky Higgins,565,407
Mark Reynolds,565,408
Kyle Seager,565,409
Eugenio SuÃ¡rez,565,410
Juan Uribe,565,411
J.D. Drew,563,412
Nick Swisher,563,413
Jay Buhner,562,414
High Pockets Kelly,561,415
Ben Zobrist,560,416
Ken Williams,558,417
Justin Turner,557,418
Alvin Dark,556,419
Ron Fairly,555,420
Rick Monday,553,421
Joe Sewell,553,422
Del Pratt,552,423
Jayson Werth,551,424
Hugh Duffy,550,425
Juan Samuel,550,426
Harlond Clift,549,427
Dustin Pedroia,549,428
Wally Pipp,549,429
Larry Doby,548,430
Andy Van Slyke,548,431
Eric Davis,547,432
Geoff Jenkins,546,433
Javy Lopez,546,434
Jimmy Sheckard,546,435
Bill Madlock,545,436
Ben Oglivie,545,437
Mike Sweeney,545,438
Bill White,545,439
Jose Guillen,544,440
Bid McPhee,544,441
Carlos Pena,543,442
Doc Cramer,542,443
Toby Harrah,542,444
Phil Cavarretta,541,445
Eric Hosmer,540,446
Aaron Judge,540,447
Ken Keltner,540,448
Andy Pafko,539,449
Dave Concepcion,538,450
Daniel Murphy,538,451
Matt Carpenter,537,452
Pee Wee Reese,536,453
Randy Winn,536,454
Terry Pendleton,535,455
Elvis Andrus,533,456
Jimmy Collins,533,457
Richie Hebner,533,458
Jason Heyward,533,459
Bob Watson,532,460
Eddie Yost,532,461
George Springer,531,462
King Kelly,530,463
Herman Long,530,464
Kevin McReynolds,530,465
Joe Jackson,529,466
Royce Clayton,528,467
Chris Davis,528,468
Mark Kotsay,528,469
Rondell White,528,470
Cecil Fielder,526,471
Bob Allison,525,472
Tommy Henrich,525,473
Deron Johnson,525,474
Mike Tiernan,524,475
Carney Lansford,523,476
Willie McGee,523,477
Sam West,523,478
Earle Combs,521,479
Buddy Myer,521,480
Dean Palmer,521,481
Brandon Belt,520,482
Alex Gonzalez,520,483
Lou Boudreau,519,484
Howie Kendrick,519,485
Lyle Overbay,519,486
Andre Thornton,519,487
Jose Cardenal,517,488
Mark Grudzielanek,517,489
Mickey Cochrane,516,490
Garry Maddox,516,491
George Van Haltren,515,492
Home Run Baker,514,493
George McQuinn,514,494
Don Money,514,495
George Kell,513,496
Troy Tulowitzki,513,497
Jason Varitek,513,498
Travis Jackson,512,499
Roger Maris,512,500
George Burns,511,501
Pedro Guerrero,511,502
Roy White,511,503
Augie Galan,510,504
Rich Aurilia,509,505
Marlon Byrd,509,506
Aaron Hill,509,507
Paul Hines,508,508
Lloyd Moseby,508,509
Hank Sauer,507,510
Bill Skowron,507,511
Matt Olson,506,512
Baby Doll Jacobson,505,513
Joe Rudi,505,514
Garry Templeton,505,515
Shawon Dunston,504,516
Jason Kendall,504,517
Frank Schulte,504,518
Hal Chase,503,519
Jackie Jensen,503,520
Brian Roberts,503,521
Chris Young,503,522
Michael Brantley,502,523
Alex Bregman,502,524
Rafael Devers,502,525
Nellie Fox,502,526
Mike Napoli,502,527
John Anderson,501,528
Jack Fournier,501,529
Stan Hack,501,530
Tommy Leach,501,531
J.T. Snow,501,532
Dmitri Young,501,533
Dave Henderson,500,534
Rico Carty,499,535
Andre Ethier,499,536
Buck Ewing,499,537
Harvey Kuenn,499,538
Dick McAuliffe,499,539
Hardy Richardson,499,540
Ozzie Smith,499,541
Howard Johnson,497,542
Starlin Castro,496,543
Larry Doyle,496,544
Starling Marte,496,545
Ed McKean,496,546
Tony Clark,495,547
Coco Crisp,495,548
Ian Desmond,495,549
Randal Grichuk,495,550
Mike Moustakas,495,551
Tony Armas,494,552
Ernie Lombardi,494,553
Bill Mazeroski,494,554
Jim Fregosi,493,555
Rafael Furcal,493,556
J.J. Hardy,493,557
Gorman Thomas,493,558
Jason Bay,492,559
JosÃ© Cruz,492,560
Kip Selbach,492,561
Joe Vosmik,492,562
Dan Uggla,491,563
Jeff Burroughs,490,564
Phil Garner,490,565
George Grantham,490,566
Bobby Higginson,490,567
Trea Turner,490,568
Bruce Campbell,488,569
Brian Jordan,488,570
Frank McCormick,488,571
Jesse Barfield,487,572
Brandon Crawford,486,573
Carl Everett,486,574
Joe Randa,486,575
Gus Suhr,486,576
Freddie Lindstrom,485,577
John Mayberry,485,578
Chuck Knoblauch,484,579
Placido Polanco,484,580
Kevin Mitchell,483,581
Kyle Schwarber,482,582
Kevin Millar,481,583
Jose Vidro,481,584
Elmer Flick,480,585
Bert Campaneris,478,586
Tommy Corcoran,478,587
Richie Zisk,478,588
Damion Easley,477,589
Kendrys Morales,477,590
Corey Seager,477,591
Jeff Cirillo,476,592
Bill Freehan,476,593
Travis Hafner,476,594
Willie Jones,475,595
Billy Butler,474,596
Tony Cuccinello,474,597
Darin Erstad,473,598
Melvin Mora,473,599
Darrell Porter,473,600
Lu Blue,472,601
Shohei Ohtani,472,602
J.T. Realmuto,472,603
Paul Blair,471,604
Jake Daubert,471,605
Adam Lind,471,606
Shannon Stewart,471,607
Mickey Tettleton,471,608
Hubie Brooks,470,609
Rico Petrocelli,469,610
Anthony Rendon,469,611
Willie Wilson,469,612
Jeff Francoeur,468,613
Al Smith,468,614
Gene Woodling,467,615
Bob Bailey,466,616
Ronnie Belliard,466,617
Shano Collins,465,618
Sid Gordon,465,619
Vic Power,465,620
Tony Batista,464,621
Sean Casey,464,622
Jackie Robinson,464,623
Chris Speier,464,624
Brett Gardner,463,625
Mike Griffin,463,626
Brett Butler,462,627
Dexter Fowler,462,628
Willie Kamm,462,629
Von Hayes,461,630
Tommy Davis,460,631
Jorge Orta,460,632
Buster Posey,460,633
Tony Taylor,459,634
Dan Driessen,458,635
Dick Groat,458,636
Josh Hamilton,458,637
B.J. Upton,458,638
Matt Chapman,457,639
Eduardo Escobar,457,640
Greg Gagne,457,641
Larry Gardner,457,642
Aurelio Rodriguez,457,643
Jack Tobin,457,644
Terry Steinbach,456,645
Richie Ashburn,455,646
Russell Martin,455,647
Carlos Correa,454,648
Pete Fox,454,649
Walker Cooper,453,650
Gregg Jefferies,453,651
Leo Cardenas,452,652
Al Cowens,452,653
David DeJesus,452,654
Dom DiMaggio,452,655
Ketel Marte,452,656
Pinky Whitney,452,657
Eric Young,452,658
Hank Bauer,450,659
John Stone,450,660
Casey Blake,449,661
Irish Meusel,449,662
Grady Sizemore,449,663
Lou Piniella,448,664
Javier BÃ¡ez,447,665
Edgardo Alfonzo,446,666
Todd Frazier,445,667
Red Kress,445,668
Brian Dozier,444,669
Stephen Drew,444,670
Juan Encarnacion,444,671
Pete O'Brien,444,672
Fred Pfeffer,444,673
Kurt Suzuki,444,674
Mike Greenwell,443,675
DJ LeMahieu,443,676
Willie Montanez,443,677
Martin Prado,443,678
Sam Chapman,442,679
Tom Brown,441,680
Carlos Guillen,441,681
Trevor Story,441,682
Jim Gilliam,440,683
Ramon Hernandez,439,684
Jacque Jones,439,685
Doug Rader,439,686
David Segui,439,687
Roy Campanella,438,688
Jack Glasscock,438,689
Alex Gonzalez,438,690
Granny Hamner,438,691
Tommy Harper,438,692
Riggs Stephenson,438,693
Heinie Zimmerman,438,694
Bill Bruton,437,695
Davey Lopes,437,696
Kris Bryant,436,697
Hideki Matsui,436,698
Pablo Sandoval,436,699
Elston Howard,435,700
Danny Murphy,435,701
Willie Randolph,435,702
Bob Boone,434,703
Gavvy Cravath,434,704
Carl Reynolds,434,705
Stuffy McInnis,433,706
Tilly Walker,433,707
Fred Merkle,432,708
Tony Pena,432,709
Dave Philley,432,710
Wally Post,432,711
Roy Smalley,432,712
Carlos Baerga,430,713
Cody Bellinger,430,714
Jed Lowrie,430,715
Dave Bancroft,429,716
Lonnie Smith,429,717
Jimmy Williams,429,718
Bibb Falk,428,719
Teoscar HernÃ¡ndez,428,720
Ty Wigginton,428,721
George Wood,428,722
Tommy Holmes,427,723
Charlie Keller,427,724
Pete Browning,426,725
Henry Larkin,426,726
Lloyd Waner,426,727
Josh Willingham,426,728
Preston Wilson,426,729
Kelly Johnson,425,730
Brian McRae,425,731
Juan Soto,425,732
Deacon McGuire,424,733
Bill Robinson,424,734
Jason Thompson,424,735
Frankie Crosetti,423,736
Phil Nevin,423,737
John Reilly,423,738
Carlos GÃ³mez,422,739
Matt Lawton,422,740
John Valentin,422,741
Kevin Youkilis,422,742
Heinie Groh,421,743
Pete Incaviglia,421,744
Aaron Rowand,421,745
Todd Walker,421,746
Charlie Jamieson,420,747
Oscar Gamble,419,748
Willie Keeler,419,749
Oyster Burns,418,750
Chase Headley,418,751
Brandon Inge,418,752
Gus Zernial,418,753
Mike Lieberthal,417,754
Pete Alonso,416,755
Corey Hart,416,756
Roy Johnson,416,757
Curt Walker,416,758
Josh Bell,415,759
Orlando Hudson,415,760
Joc Pederson,415,761
Dick Stuart,415,762
Tom Daly,414,763
Wally Moon,414,764
Mitch Moreland,414,765
Mike Stanley,414,766
Buddy Lewis,413,767
Sherm Lollar,413,768
Billy Nash,413,769
Jim Northrup,413,770
Wally Schang,413,771
Rickie Weeks,413,772
Buck Freeman,412,773
Joe Pepitone,412,774
Jim Piersall,412,775
Charlie Hayes,411,776
David Peralta,411,777
Mark Trumbo,411,778
Corey Dickerson,410,779
Adam Kennedy,410,780
Jason Kipnis,410,781
Jorge Soler,410,782
Earl Torgeson,410,783
Shane Victorino,409,784
Bill Virdon,409,785
Neil Walker,409,786
David Bell,408,787
Donn Clendenon,408,788
Dummy Hoy,408,789
Denard Span,408,790
Joe Tinker,408,791
Eddie Joost,407,792
Mark Loretta,407,793
Kevin Bass,406,794
Ripper Collins,405,795
Lenny Dykstra,405,796
Max Kepler,405,797
Jack Doyle,404,798
Richard Hidalgo,404,799
Jeffrey Leonard,404,800
Pepper Martin,404,801
Ozzie Albies,402,802
Kole Calhoun,402,803
Wil Cordero,402,804
George Gore,402,805
Rusty Greer,402,806
AJ Pollock,402,807
Dave Martinez,401,808
Troy O'Leary,401,809
Gerardo Parra,401,810
Harry Steinfeldt,401,811
Curt Flood,400,812
Ruppert Jones,400,813
Al Martin,400,814
Gene Tenace,400,815
Eddie Rosario,399,816
Jonathan Schoop,399,817
Billy Werber,399,818
Delino DeShields,398,819
Tony Gonzalez,398,820
Dode Paskert,398,821
Josh Reddick,398,822
Rick Ferrell,397,823
Davey Johnson,396,824
James Loney,396,825
Tim McCarver,396,826
Bill Russell,396,827
Dansby Swanson,396,828
Robby Thompson,396,829
Kevin Young,396,830
Clete Boyer,395,831
Eric Hinske,395,832
Bob Horner,395,833
Omar Infante,395,834
Roberto Kelly,395,835
Duffy Lewis,395,836
Pete Runnels,395,837
Khris Davis,394,838
Jose Hernandez,394,839
Glenallen Hill,394,840
Cliff Johnson,394,841
Jeff King,394,842
Jean Segura,394,843
Kevin Seitzer,394,844
Justin Smoak,394,845
Lonny Frey,393,846
Frank Malzone,393,847
Rougned Odor,393,848
Red Rolfe,393,849
Bill Bradley,392,850
Jacoby Ellsbury,392,851
Don Mincher,392,852
Germany Smith,392,853
C.J. Cron,391,854
Rob Deer,391,855
Larry Hisle,391,856
Alvin Davis,390,857
Candy Maldonado,390,858
Jo-Jo Moore,390,859
Smoky Burgess,389,860
Cristian Guzman,389,861
Fred Luderus,389,862
Ed Sprague,389,863
Jerry Denny,388,864
Mel Hall,388,865
Eddie Miller,388,866
Zoilo Versalles,388,867
Mark Ellis,387,868
Trot Nixon,387,869
Ossie Bluege,386,870
Bernard Gilkey,386,871
Bobby Lowe,386,872
Duke Farrell,385,873
Whitey Lockman,385,874
Brad Ausmus,384,875
Yasmani Grandal,384,876
Frank Catalanotto,383,877
Tito Francona,383,878
Johnny Ray,383,879
Charles Johnson,382,880
Hunter Renfroe,382,881
Michael Tucker,382,882
Sam Wise,382,883
Derek Bell,381,884
Adam Duvall,381,885
Wil Myers,381,886
Jose Offerman,381,887
Alexei Ramirez,381,888
Seth Smith,381,889
Zeke Bonura,380,890
Glenn Davis,380,891
Enos Cabell,379,892
Leon Durham,379,893
Wilmer Flores,379,894
Whit Merrifield,379,895
Roger Peckinpaugh,379,896
Mickey Rivers,379,897
Steve Sax,379,898
Mike Bordick,378,899
Ray Knight,377,900
Al Rosen,377,901
Cy Seymour,377,902
Ned Williamson,377,903
Larry Bowa,376,904
Del Crandall,376,905
Billy Hamilton,376,906
Ian Happ,376,907
Todd Hundley,376,908
Norm Siebern,376,909
Leon Wagner,376,910
Denny Lyons,375,911
Kevin Pillar,375,912
Pedro Feliz,374,913
Mike Hargrove,374,914
Thurman Munson,374,915
Jim Sundberg,374,916
Dan Ford,373,917
Billy Rogell,373,918
Chick Stahl,373,919
Glenn Wright,373,920
Jeff Blauser,372,921
Ozzie Guillen,372,922
Dots Miller,372,923
Bill Mueller,372,924
Sandy Alomar Jr.,371,925
Bruce Bochte,371,926
Terry Moore,371,927
Scott Spiezio,371,928
Ross Youngs,371,929
Michael Conforto,370,930
Matt Joyce,370,931
Colby Rasmus,370,932
Cecil Travis,370,933
Vladimir Guerrero Jr.,369,934
Larry Herndon,369,935
Terry Kennedy,369,936
Elmer Smith,369,937
Fred Tenney,369,938
Hank Blalock,368,939
Ival Goodman,368,940
Ed Kranepool,368,941
Eddie Robinson,368,942
Frank Bolling,367,943
Charlie Hickman,367,944
Rhys Hoskins,367,945
Mike Macfarlane,367,946
Bengie Molina,367,947
Juan Pierre,367,948
Marco Scutaro,367,949
Tommy Tucker,367,950
Willie Upshaw,367,951
Gary Ward,367,952
Sixto Lezcano,366,953
Hector Lopez,366,954
Denis Menke,366,955
Tip O'Neill,366,956
Mickey Stanley,366,957
Tom Tresh,366,958
Willson Contreras,365,959
Joe Dugan,365,960
Elbie Fletcher,365,961
Mookie Wilson,365,962
Odell Hale,364,963
Frankie Hayes,364,964
Ken Henderson,364,965
Jack Clements,363,966
Ryan Ludwick,363,967
Neifi Perez,363,968
John Titus,363,969
Yoenis Cespedes,362,970
Billy Goodman,362,971
Scott Hatteberg,362,972
Gary Matthews,362,973
Clyde Milan,362,974
John Morrill,362,975
Erick Aybar,360,976
Andrew Benintendi,360,977
Yunel Escobar,360,978
Rollie Hemsley,360,979
Corey Koskie,360,980
Orlando Merced,360,981
Max Muncy,360,982
Jorge Polanco,360,983
Aaron Boone,359,984
Ray Boone,359,985
Darren Daulton,359,986
Elmer Valo,359,987
Vince DiMaggio,358,988
Mike Pagliarulo,358,989
Bob Skinner,358,990
Mariano Duncan,357,991
Arlie Latham,357,992
Bill Hall,356,993
Roy McMillan,356,994
Cody Ross,356,995
Jay Johnstone,355,996
Mike Lansing,355,997
Mark McLemore,355,998
Ken McMullen,354,999
Billy Shindle,354,1000
Cesar Tovar,354,1001
