Name,Doubles,Rank
Michael Cuddyer,333,371
Jack Clark,332,372
Alex Gonzalez,332,373
Carney Lansford,332,374
Hal Trosky,331,375
Matt Carpenter,330,376
Pee Wee Reese,330,377
Darrell Evans,329,378
Tony Oliva,329,379
Garry Templeton,329,380
José Abreu,328,381
John Anderson,328,382
Ronnie Belliard,328,383
Ron Cey,328,384
Baby Doll Jacobson,328,385
Graig Nettles,328,386
Joe Randa,327,387
Eric Young,327,388
Hugh Duffy,325,389
Aaron Hill,325,390
Mike Sweeney,325,391
Rick Ferrell,324,392
Carl Furillo,324,393
Eric Karros,324,394
Hunter Pence,324,395
Benito Santiago,323,396
Juan Uribe,323,397
Billy Butler,322,398
Sean Casey,322,399
Hal Chase,322,400
Eric Hosmer,322,401
Charlie Jamieson,322,402
Chuck Knoblauch,322,403
Yogi Berra,321,404
Johnny Callison,321,405
Prince Fielder,321,406
Riggs Stephenson,321,407
Dick Allen,320,408
Dusty Baker,320,409
Dave Bancroft,320,410
Jesse Burkett,320,411
Bobby Grich,320,412
Lu Blue,319,413
Starlin Castro,319,414
Gary Matthews,319,415
Raul Mondesi,319,416
Ken Boyer,318,417
Eric Chavez,318,418
Francisco Lindor,318,419
Richie Ashburn,317,420
Ken Singleton,317,421
Darin Erstad,316,422
Martin Prado,316,423
Willie Randolph,316,424
Christian Yelich,316,425
Home Run Baker,315,426
Jack Doyle,315,427
George McQuinn,315,428
Marcus Semien,315,429
Shannon Stewart,315,430
Pete Fox,314,431
Bert Campaneris,313,432
Jack Glasscock,313,433
Mike Griffin,313,434
Mike Trout,313,435
Jay Bruce,312,436
Doug DeCinces,312,437
Kent Hrbek,312,438
Stuffy McInnis,312,439
Gus Bell,311,440
Marlon Byrd,311,441
Rafael Furcal,311,442
Wally Pipp,311,443
Shano Collins,310,444
Harlond Clift,309,445
Earle Combs,309,446
Carl Crawford,309,447
Mark Loretta,309,448
Kyle Seager,309,449
George Bell,308,450
Coco Crisp,308,451
Dom DiMaggio,308,452
Heinie Groh,308,453
Ken Keltner,308,454
Jose Bautista,307,455
Ron Fairly,307,456
George Foster,307,457
Toby Harrah,307,458
Joe Jackson,307,459
Vern Stephens,307,460
Nick Swisher,307,461
Bob Watson,307,462
Tom Brunansky,306,463
Jason Heyward,306,464
George Scott,306,465
Giancarlo Stanton,306,466
Jason Varitek,306,467
Cy Williams,306,468
Jose Guillen,305,469
Lance Parrish,305,470
Lou Piniella,305,471
Jim Gilliam,304,472
Salvador Perez,304,473
Bob Boone,303,474
Andre Ethier,303,475
Geoff Jenkins,303,476
Bid McPhee,303,477
Hardy Richardson,303,478
Pinky Whitney,303,479
Bobby Bonds,302,480
Ron Gant,302,481
Carlos González,302,482
Don Money,302,483
Chris Speier,302,484
Jose Valentin,302,485
Rich Aurilia,301,486
Larry Gardner,301,487
Freddie Lindstrom,301,488
Dmitri Young,301,489
Bibb Falk,300,490
Gregg Jefferies,300,491
Deacon McGuire,300,492
Jayson Werth,300,493
Roy White,300,494
Wally Berger,299,495
Pat Burrell,299,496
Larry Doyle,299,497
Phil Garner,299,498
Billy Goodman,299,499
Kip Selbach,299,500
Jeromy Burnitz,298,501
Red Kress,298,502
Tony Pena,298,503
Tony Taylor,298,504
Greg Gagne,296,505
Kevin Millar,296,506
Rondell White,296,507
Joe Adcock,295,508
Pete Browning,295,509
Bruce Campbell,295,510
Brandon Crawford,295,511
Gil Hodges,295,512
Anthony Rendon,295,513
Kurt Suzuki,295,514
Bill Mazeroski,294,515
Brian McCann,294,516
Johnny Ray,294,517
Matt Stairs,294,518
Jack Tobin,294,519
Troy Glaus,293,520
Buster Posey,293,521
Bill Russell,293,522
J.T. Snow,293,523
Andy Van Slyke,293,524
Shawon Dunston,292,525
George Grantham,292,526
Tommy Holmes,292,527
Jed Lowrie,292,528
Roy Sievers,292,529
J.J. Hardy,291,530
Travis Jackson,291,531
Rudy York,291,532
Brandon Belt,290,533
Hubie Brooks,290,534
Harmon Killebrew,290,535
Ted Kluszewski,290,536
Fred Merkle,290,537
Vic Power,290,538
Sal Bando,289,539
Tommy Corcoran,289,540
Duffy Lewis,289,541
Danny Murphy,289,542
Danny Tartabull,289,543
Vic Wertz,289,544
David DeJesus,288,545
Adam Kennedy,288,546
Frank Schulte,288,547
Gus Suhr,288,548
Chris Young,288,549
Josh Donaldson,287,550
Damion Easley,287,551
Aurelio Rodriguez,287,552
Joe Rudi,287,553
Juan Samuel,287,554
Dave Henderson,286,555
Leo Cardenas,285,556
Bobby Murcer,285,557
Kevin Seitzer,285,558
George Van Haltren,285,559
Ken Williams,285,560
Jimmy Wynn,285,561
Willie Horton,284,562
Kevin McReynolds,284,563
David Segui,284,564
Harry Steinfeldt,284,565
Greg Vaughn,284,566
Todd Walker,284,567
Rocky Colavito,283,568
Starling Marte,283,569
Melvin Mora,283,570
Edgardo Alfonzo,282,571
Paul Blair,282,572
Alex Bregman,282,573
Dan Driessen,282,574
Von Hayes,282,575
Pete Runnels,282,576
Lenny Dykstra,281,577
Jeff Francoeur,281,578
John Valentin,281,579
Lloyd Waner,281,580
Willie Wilson,281,581
David Justice,280,582
Carlos Baerga,279,583
Jeff Heath,279,584
Willie Montanez,279,585
Dode Paskert,279,586
Rico Carty,278,587
DJ LeMahieu,278,588
Steve Sax,278,589
Bill White,278,590
Brett Butler,277,591
Ian Desmond,277,592
Joe Dugan,277,593
Ryan Howard,277,594
Ernie Lombardi,277,595
Ben Oglivie,277,596
Ossie Bluege,276,597
Al Cowens,276,598
Dave Philley,276,599
Bill Bradley,275,600
Mike Greenwell,275,601
Ozzie Guillen,275,602
Roy Johnson,275,603
Heinie Zimmerman,275,604
Rafael Devers,274,605
Alex Gonzalez,274,606
Mike Moustakas,274,607
J.D. Drew,273,608
Richie Hebner,273,609
Lloyd Moseby,273,610
Jackie Robinson,273,611
Lonnie Smith,273,612
Terry Steinbach,273,613
Tommy Davis,272,614
Granny Hamner,272,615
Chase Headley,272,616
Marty Marion,272,617
Ed McKean,272,618
Bill Nicholson,272,619
Luke Sewell,272,620
Curt Flood,271,621
Marcell Ozuna,271,622
Billy Werber,271,623
Brad Ausmus,270,624
Bobby Higginson,270,625
Pepper Martin,270,626
Boog Powell,270,627
Milt Stock,270,628
Fred Tenney,270,629
Mo Vaughn,270,630
Tommy Henrich,269,631
Gerardo Parra,269,632
Marco Scutaro,269,633
Elmer Flick,268,634
John Stone,268,635
David Bell,267,636
Pedro Guerrero,267,637
Brian Jordan,267,638
Matt Lawton,267,639
James Loney,267,640
Javy Lopez,267,641
Jorge Orta,267,642
Aaron Rowand,267,643
Bobby Thomson,267,644
Trea Turner,267,645
Carlos Guillen,266,646
Mike Hargrove,266,647
Ray Knight,266,648
Tommy Leach,266,649
Billy Nash,266,650
Hack Wilson,266,651
Bill Mueller,265,652
Denard Span,265,653
Cecil Travis,265,654
Casey Blake,264,655
Jim Fregosi,264,656
Joe Gordon,264,657
Brian McRae,264,658
Andy Pafko,264,659
J.T. Realmuto,264,660
Wally Schang,264,661
Troy Tulowitzki,264,662
Enos Cabell,263,663
Lonny Frey,263,664
Eddie Miller,263,665
Terry Moore,263,666
Jody Reed,263,667
Joe Tinker,263,668
Larry Bowa,262,669
Frank Catalanotto,262,670
Tom Daly,262,671
Ira Flagstead,262,672
Jim Gantner,262,673
George Gore,262,674
Ramon Hernandez,262,675
Pablo Sandoval,262,676
Frank Thomas,262,677
B.J. Upton,262,678
Dolph Camilli,261,679
Wil Cordero,261,680
Frankie Crosetti,260,681
Kirk Gibson,260,682
Randal Grichuk,260,683
Omar Infante,260,684
Jason Kipnis,260,685
Richie Sexson,260,686
Jackie Jensen,259,687
Henry Larkin,259,688
Adam Lind,259,689
Stephen Drew,258,690
Yunel Escobar,258,691
Carl Everett,258,692
Rusty Greer,258,693
Jo-Jo Moore,258,694
Al Smith,258,695
Mike Bordick,257,696
Mark Ellis,257,697
Rollie Hemsley,257,698
Mike Lieberthal,257,699
Kendrys Morales,257,700
Red Rolfe,257,701
Corey Seager,257,702
Gene Woodling,257,703
Erick Aybar,256,704
Rick Burleson,256,705
Tommy Harper,256,706
Orlando Hudson,256,707
Whit Merrifield,256,708
Roger Peckinpaugh,256,709
Jim Piersall,256,710
Billy Rogell,256,711
Darryl Strawberry,256,712
Mike Tiernan,256,713
Ethan Allen,255,714
Jacque Jones,255,715
Russell Martin,255,716
Mark McLemore,255,717
Juan Pierre,255,718
Mule Haas,254,719
Tom Herr,254,720
Don Kessinger,254,721
Mike Lansing,254,722
Pete O'Brien,254,723
Cookie Rojas,254,724
Kevin Youkilis,254,725
Dexter Fowler,253,726
Ketel Marte,253,727
Roy McMillan,253,728
Mark Reynolds,253,729
John Titus,253,730
Cesar Tovar,253,731
José Cruz,252,732
Jack Fournier,252,733
Willie Jones,252,734
Mark McGwire,252,735
Jose Offerman,252,736
Grady Sizemore,252,737
Jimmie Wilson,252,738
Brett Gardner,251,739
Charlie Hayes,251,740
Fred Luderus,251,741
Germany Smith,251,742
Bruce Bochte,250,743
Deivi Cruz,250,744
Jake Daubert,250,745
Buck Ewing,250,746
Travis Hafner,250,747
Irish Meusel,250,748
Sparky Adams,249,749
Sandy Alomar Jr.,249,750
Carlos Correa,249,751
Alcides Escobar,249,752
Scott Hatteberg,249,753
Buddy Lewis,249,754
Hideki Matsui,249,755
Alexei Ramirez,249,756
Fred Schulte,249,757
Eugenio Suárez,249,758
Kevin Bass,248,759
Rick Monday,248,760
Steve O'Neill,248,761
Eduardo Escobar,247,762
Dummy Hoy,247,763
Deron Johnson,247,764
Howard Johnson,247,765
Lyn Lary,247,766
Carl Reynolds,247,767
Mickey Rivers,247,768
Hal Morris,246,769
Alfredo Griffin,245,770
Frank Howard,245,771
Billy Jurges,245,772
Arlie Latham,245,773
Kevin Pillar,245,774
Doug Rader,245,775
Ty Wigginton,245,776
Richie Zisk,245,777
Spud Davis,244,778
Delino DeShields,244,779
Mickey Doolin,244,780
Bernard Gilkey,244,781
Terry Kennedy,244,782
Sherm Lollar,244,783
Denny Lyons,244,784
Earl Sheely,244,785
Roy Smalley,244,786
Andre Thornton,244,787
Tilly Walker,244,788
Dave Cash,243,789
Larry Doby,243,790
Scott Fletcher,243,791
Ken Reitz,243,792
Bill Skowron,243,793
Jim Sundberg,243,794
Jack Wilson,243,795
Matt Chapman,242,796
Juan Encarnacion,242,797
Billy Hamilton,242,798
Davey Johnson,242,799
Tim McCarver,242,800
Jimmy Williams,242,801
Bill Bruton,241,802
Norm Cash,241,803
Jacoby Ellsbury,241,804
Tim Foli,241,805
Bill Freehan,241,806
José Iglesias,241,807
Willie Keeler,241,808
Roberto Kelly,241,809
Jason Bay,240,810
Walker Cooper,240,811
Odell Hale,240,812
Eric Hinske,240,813
Dave Kingman,240,814
Clyde Milan,240,815
Tommy Tucker,240,816
Tom Brown,239,817
Eric Davis,239,818
Frank Malzone,239,819
John Morrill,239,820
Phil Rizzuto,239,821
Manny Trillo,239,822
Jerry Denny,238,823
Art Fletcher,238,824
Tony Gonzalez,238,825
Cristian Guzman,238,826
Eddie Joost,238,827
Julio Lugo,238,828
Dave Martinez,238,829
David Peralta,238,830
Neifi Perez,238,831
Robby Thompson,238,832
Dan Uggla,238,833
Neil Walker,238,834
Corey Dickerson,237,835
Ken Oberkfell,237,836
Rico Petrocelli,237,837
Darrell Porter,237,838
Jean Segura,237,839
George Springer,237,840
Bill Virdon,237,841
Matty Alou,236,842
Max Bishop,236,843
Tom Burns,236,844
Woody English,236,845
Carlos Gómez,236,846
Ross Youngs,236,847
Don Slaught,235,848
Curt Walker,235,849
Kevin Young,235,850
Bob Bailey,234,851
Chris Gomez,234,852
Bill Hallman,234,853
Josh Hamilton,234,854
Troy O'Leary,234,855
Kris Bryant,233,856
Jay Buhner,233,857
George Case,233,858
Tony Clark,233,859
Mariano Duncan,233,860
Jerry Hairston,233,861
Derek Bell,232,862
Andrew Benintendi,232,863
Zeke Bonura,232,864
Gavvy Cravath,232,865
Monte Cross,232,866
David Eckstein,232,867
Hughie Jennings,232,868
Davey Lopes,232,869
Dots Miller,232,870
Tom Paciorek,232,871
Jerry Priddy,232,872
Brian Dozier,231,873
Dick McAuliffe,231,874
Dean Palmer,231,875
Carlos Pena,231,876
Fred Pfeffer,231,877
George Stovall,231,878
Shane Victorino,231,879
John Ward,231,880
Smoky Burgess,230,881
Jeff Burroughs,230,882
Kelly Johnson,230,883
Bobby Lowe,230,884
Harold Reynolds,230,885
Zoilo Versalles,230,886
Javier Báez,229,887
Hank Bauer,229,888
Warren Cromartie,229,889
Mel Hall,229,890
Eric McNair,229,891
Orlando Merced,229,892
Felix Millan,229,893
Thurman Munson,229,894
Bill Robinson,229,895
Cy Seymour,229,896
Chris Davis,228,897
Elbie Fletcher,228,898
Brandon Inge,228,899
Joe Quinn,228,900
Elmer Valo,228,901
Ned Williamson,228,902
George Wood,228,903
Candy Maldonado,227,904
Matt Olson,227,905
Mookie Wilson,227,906
Tony Batista,226,907
Jack Clements,226,908
Rajai Davis,226,909
Yuli Gurriel,226,910
Rance Mulliniks,226,911
Johnny Pesky,226,912
Terry Puhl,226,913
Billy Shindle,226,914
Kitty Bransfield,225,915
Lorenzo Cain,225,916
Bob Fothergill,225,917
Stan Javier,225,918
Ed Kranepool,225,919
Gary Matthews,225,920
Denis Menke,225,921
AJ Pollock,225,922
Scott Spiezio,225,923
Ed Sprague,225,924
Trevor Story,225,925
Oyster Burns,224,926
Fred Dunlap,224,927
Tito Francona,224,928
Bucky Harris,224,929
Kevin Mitchell,224,930
Mike Napoli,224,931
Rafael Ramirez,224,932
Seth Smith,224,933
Ozzie Albies,223,934
Rick Dempsey,223,935
Tommy Helms,223,936
Ron Hunt,223,937
Corey Koskie,223,938
Jeffrey Leonard,223,939
Carlos Ruiz,223,940
Dansby Swanson,223,941
Frankie Gustine,222,942
Jeff King,222,943
Paul Lo Duca,222,944
Whitey Lockman,222,945
Trot Nixon,222,946
Tip O'Neill,222,947
Chief Zimmer,222,948
Frank Bolling,221,949
Jim Eisenreich,221,950
Corey Hart,221,951
Mike Kreevich,221,952
Mike Macfarlane,221,953
Doug Mientkiewicz,221,954
Preston Wilson,221,955
Sam Wise,221,956
Michael Barrett,220,957
Al Bumbry,220,958
Alvin Davis,220,959
Bill Doran,220,960
Taylor Douthit,220,961
Sid Gordon,220,962
Al Martin,220,963
Angel Pagan,220,964
Mike Stanley,220,965
Jack Graney,219,966
Max Kepler,219,967
Felipe Lopez,219,968
Mitch Moreland,219,969
Josh Reddick,219,970
Chick Stahl,219,971
Joe Stripp,219,972
Rickie Weeks,219,973
Yuniesky Betancourt,218,974
Roger Bresnahan,218,975
Craig Counsell,218,976
Josh Harrison,218,977
Elston Howard,218,978
Dave Magadan,218,979
Jim Northrup,218,980
Jonathan Schoop,218,981
Socks Seybold,218,982
Delmon Young,218,983
Jeff Blauser,217,984
Abner Dalrymple,217,985
Charlie Hickman,217,986
Jonathan Lucroy,217,987
Bengie Molina,217,988
Jerry Mumphrey,217,989
Deacon White,217,990
Bob Allison,216,991
Jesse Barfield,216,992
Aaron Boone,216,993
Johnny Evers,216,994
Kid Gleason,216,995
Ken Henderson,216,996
Johnny Hopp,216,997
Julian Javier,216,998
Ralph Kiner,216,999
Johnny Logan,216,1000
Freddie Patek,216,1001
Josh Willingham,216,1002
