Name,Caught Stealing,Rank
Eric Davis,66,344
Heinie Groh,66,345
Matt Lawton,66,346
Milt Thompson,66,347
Jonathan Villar,66,348
Tim Wallach,66,349
Eddie Yost,66,350
Gary Gaetti,65,351
Al Kaline,65,352
Rudy Law,65,353
Al Martin,65,354
Ski Melillo,65,355
Rick Miller,65,356
Bump Wills,65,357
David Wright,65,358
Bobby Doerr,64,359
Brett Gardner,64,360
Harry Heilmann,64,361
Tom Herr,64,362
Bob Johnson,64,363
Mark Kotsay,64,364
Al Oliver,64,365
Corey Patterson,64,366
Alexei Ramirez,64,367
Ivan Rodriguez,64,368
Howie Shanks,64,369
Al Simmons,64,370
George Burns,63,371
Roger Cedeno,63,372
Bill Cissell,63,373
Bob Dernier,63,374
Dan Driessen,63,375
Keith Hernandez,63,376
Julian Javier,63,377
Gregg Jefferies,63,378
Alex Johnson,63,379
Matt Kemp,63,380
Heinie Manush,63,381
Bake McBride,63,382
Greasy Neale,63,383
Tony Pena,63,384
Dave Philley,63,385
Deion Sanders,63,386
Bill Terry,63,387
Dickie Thon,63,388
Erick Aybar,62,389
Phil Bradley,62,390
Frankie Crosetti,62,391
David DeJesus,62,392
Dom DiMaggio,62,393
Steve Garvey,62,394
Adam Kennedy,62,395
Spike Owen,62,396
Billy Rogell,62,397
Rodney Scott,62,398
Robby Thompson,62,399
Jack Tobin,62,400
Jose Vizcaino,62,401
John Cangelosi,61,402
Jack Clark,61,403
Leon Durham,61,404
Tony Gonzalez,61,405
Larry Hisle,61,406
Brian Hunter,61,407
Joe Jackson,61,408
Jeffrey Leonard,61,409
Dwayne Murphy,61,410
Bill Almon,60,411
Jay Bell,60,412
Don Blasingame,60,413
Ryan Braun,60,414
Tom Brookens,60,415
Joey Cora,60,416
Bernie Friberg,60,417
Joe Gordon,60,418
Bud Harrelson,60,419
Jeff Kent,60,420
Ken Landreaux,60,421
Nemo Leibold,60,422
Joe Orsulak,60,423
Jorge Orta,60,424
José Ramírez,60,425
Red Schoendienst,60,426
Del Unser,60,427
Charlie Blackmon,59,428
Sam Bohne,59,429
Alex Cole,59,430
Tommy Davis,59,431
Juan Encarnacion,59,432
Dwight Evans,59,433
Pinky Higgins,59,434
Andruw Jones,59,435
Buddy Lewis,59,436
Dick McAuliffe,59,437
Stuffy McInnis,59,438
Terry Pendleton,59,439
Muddy Ruel,59,440
Denard Span,59,441
Jim Tabor,59,442
Willie Upshaw,59,443
Justin Upton,59,444
Andy Van Slyke,59,445
Greg Vaughn,59,446
Ralph Young,59,447
Mike Bordick,58,448
Jeromy Burnitz,58,449
Horace Clarke,58,450
Vic Davalillo,58,451
Darin Erstad,58,452
Carlton Fisk,58,453
Ira Flagstead,58,454
Scott Fletcher,58,455
Frankie Gustine,58,456
Steve Henderson,58,457
Felipe Lopez,58,458
Jo-Jo Moore,58,459
Phil Rizzuto,58,460
Dave Roberts,58,461
Alex Sanchez,58,462
Fred Schulte,58,463
Marvell Wynne,58,464
Earl Averill,57,465
Bobby Bonilla,57,466
Orlando Cabrera,57,467
Donn Clendenon,57,468
Mariano Duncan,57,469
Larry Herndon,57,470
Felix Jose,57,471
Charlie Moore,57,472
Jerry Morales,57,473
John Moses,57,474
Jim Piersall,57,475
Dave Robertson,57,476
George Scott,57,477
Manny Trillo,57,478
Gerald Williams,57,479
Hubie Brooks,56,480
Mike Davis,56,481
Ian Desmond,56,482
Mike Devereaux,56,483
Damion Easley,56,484
Red Kress,56,485
Harvey Kuenn,56,486
Doc Lavan,56,487
Whit Merrifield,56,488
Hy Myers,56,489
Ray Powell,56,490
Johnny Roseboro,56,491
Michael Tucker,56,492
Jose Valentin,56,493
Sam West,56,494
Tony Bernazard,55,495
Shin-Soo Choo,55,496
Jimmy Dykes,55,497
Tim Foli,55,498
Lee Handley,55,499
Ron Hunt,55,500
Jackie Jensen,55,501
Cameron Maybin,55,502
Melvin Mora,55,503
Al Newman,55,504
Tony Oliva,55,505
Mitchell Page,55,506
Gerardo Parra,55,507
Hunter Pence,55,508
Harry Rice,55,509
Snuffy Stirnweiss,55,510
Preston Wilson,55,511
Joel Youngblood,55,512
Carl Everett,54,513
Lenny Harris,54,514
Baby Doll Jacobson,54,515
Jay Johnstone,54,516
Don Kolloway,54,517
Fred Lynn,54,518
Elliott Maddox,54,519
Eric McNair,54,520
Denis Menke,54,521
Chris Speier,54,522
Rennie Stennett,54,523
Bill Virdon,54,524
Brad Ausmus,53,525
Ernie Banks,53,526
Bret Boone,53,527
Dee Fondy,53,528
Eddie Foster,53,529
George Grantham,53,530
Bobby Higginson,53,531
Cesar Izturis,53,532
Mike Kreevich,53,533
Carlos May,53,534
Oddibe McDowell,53,535
Irish Meusel,53,536
Ben Revere,53,537
U.L. Washington,53,538
Possum Whitted,53,539
Herm Winningham,53,540
Dick Allen,52,541
Bobby Avila,52,542
Wally Backman,52,543
Chuck Carr,52,544
Starlin Castro,52,545
Bob Fothergill,52,546
Shawn Green,52,547
Mark Grudzielanek,52,548
Chick Hafey,52,549
Rougned Odor,52,550
Ruben Sierra,52,551
Derek Bell,51,552
Willie Bloomquist,51,553
Johnny Callison,51,554
Johnny Hopp,51,555
Sonny Jackson,51,556
Stan Javier,51,557
Jim Landis,51,558
Johnnie LeMaster,51,559
Russell Martin,51,560
Don Money,51,561
Nyjer Morgan,51,562
Angel Pagan,51,563
Pete Runnels,51,564
Luis Salazar,51,565
John Stearns,51,566
Trea Turner,51,567
Todd Zeile,51,568
Luis Alicea,50,569
Bob Allison,50,570
Bill Barrett,50,571
Max Bishop,50,572
Bob Boone,50,573
Daryl Boston,50,574
Lou Boudreau,50,575
Bruce Campbell,50,576
Doc Cook,50,577
Bob Dillinger,50,578
Jim Edmonds,50,579
Curtis Granderson,50,580
Bryce Harper,50,581
Chuck Hinton,50,582
Walter Holke,50,583
Bob Kennedy,50,584
Thurman Munson,50,585
Eddie Murphy,50,586
Magglio Ordonez,50,587
Duke Snider,50,588
Roy Weatherly,50,589
Ronald Acuña Jr.,49,590
Carlos Beltran,49,591
Emilio Bonifacio,49,592
Johnny Briggs,49,593
Ivan Calderon,49,594
Cecil Cooper,49,595
Craig Counsell,49,596
Jarrod Dyson,49,597
Bibb Falk,49,598
Myril Hoag,49,599
Dave Kingman,49,600
Lyn Lary,49,601
DJ LeMahieu,49,602
Tim McCarver,49,603
Johnny Pesky,49,604
Johnny Ray,49,605
Bill Robinson,49,606
Scott Rolen,49,607
Chris Sabo,49,608
Wally Schang,49,609
Kevin Seitzer,49,610
Ryan Theriot,49,611
Gorman Thomas,49,612
Zack Wheat,49,613
Billy Williams,49,614
Kevin Young,49,615
Ben Zobrist,49,616
Lance Berkman,48,617
Jim Busby,48,618
Leo Cardenas,48,619
Will Clark,48,620
Doug DeCinces,48,621
Joe Foy,48,622
Ryan Freel,48,623
Alex Gonzalez,48,624
Mark Grace,48,625
Oris Hockett,48,626
Miller Huggins,48,627
Doc Johnston,48,628
Cleon Jones,48,629
Eddie Joost,48,630
Brian Jordan,48,631
Larry Kopf,48,632
Derrek Lee,48,633
Eric Owens,48,634
Carl Reynolds,48,635
Bobby Richardson,48,636
Johnny Temple,48,637
Zoilo Versalles,48,638
Jo-Jo White,48,639
Garret Anderson,47,640
Jesse Barfield,47,641
Jack Burns,47,642
Chick Fewster,47,643
Hod Ford,47,644
Tito Fuentes,47,645
Wally Gerber,47,646
Pedro Guerrero,47,647
Carlos Guillen,47,648
Jeff Heath,47,649
George Hendrick,47,650
Harvey Hendrick,47,651
Don Hoak,47,652
Howie Kendrick,47,653
Freddy Leach,47,654
Carlos Lee,47,655
Duffy Lewis,47,656
Francisco Lindor,47,657
Dave May,47,658
Dale Mitchell,47,659
Ken Oberkfell,47,660
Grady Sizemore,47,661
Elmer Smith,47,662
Thurman Tucker,47,663
Tilly Walker,47,664
Jimmy Walsh,47,665
Rondell White,47,666
Jesus Alou,46,667
Max Alvis,46,668
Sal Bando,46,669
Ken Berry,46,670
Tony Boeckel,46,671
Roberto Clemente,46,672
Mickey Cochrane,46,673
Mike Felder,46,674
Chipper Jones,46,675
David Justice,46,676
Bill Knickerbocker,46,677
Dustin Pedroia,46,678
Ted Sizemore,46,679
Jigger Statz,46,680
Pie Traynor,46,681
Jose Uribe,46,682
Shane Victorino,46,683
Honus Wagner,46,684
Burgess Whitehead,46,685
Chris Young,46,686
Jerry Browne,45,687
Frank Demaree,45,688
David Eckstein,45,689
Alcides Escobar,45,690
Lou Finney,45,691
Brian Giles,45,692
Alex Gordon,45,693
Odell Hale,45,694
Ender Inciarte,45,695
Austin Jackson,45,696
Jacque Jones,45,697
Eddie Lake,45,698
Leonys Martin,45,699
Eddie Miller,45,700
Mickey Morandini,45,701
Neifi Perez,45,702
Pee Wee Reese,45,703
Joe Stripp,45,704
Gene Woodling,45,705
Norichika Aoki,44,706
Rube Bressler,44,707
Lorenzo Cain,44,708
Alejandro De Aza,44,709
Gary DiSarcina,44,710
Brian Downing,44,711
Charlie Grimm,44,712
Greg Gross,44,713
Roy Hartzell,44,714
Mike Jorgensen,44,715
Quinton McCracken,44,716
Gil McDougald,44,717
Adolfo Phillips,44,718
Jerry Priddy,44,719
Jody Reed,44,720
Anthony Rizzo,44,721
Luke Sewell,44,722
Willy Taveras,44,723
Bill Tuttle,44,724
Randy Arozarena,43,725
Marvin Benard,43,726
Johnny Bench,43,727
Vinny Castilla,43,728
Harlond Clift,43,729
Cliff Floyd,43,730
Mike Greenwell,43,731
Jason Heyward,43,732
Todd Hollandsworth,43,733
Rex Hudler,43,734
High Pockets Kelly,43,735
Shane Mack,43,736
Felix Millan,43,737
Eddie Murray,43,738
Dode Paskert,43,739
Albert Pujols,43,740
Al Smith,43,741
Bill Spiers,43,742
Casey Stengel,43,743
Brad Wilkerson,43,744
Curtis Wilkerson,43,745
Matt Alexander,42,746
Adrián Beltré,42,747
Gary Carter,42,748
Endy Chavez,42,749
Tommy Griffith,42,750
Johnny Groth,42,751
Ken Henderson,42,752
Willie Montanez,42,753
Manny Mota,42,754
Tim Salmon,42,755
Gene Tenace,42,756
Albert Belle,41,757
Jeff Blauser,41,758
Bruce Bochte,41,759
Leo Durocher,41,760
Lenny Green,41,761
Thomas Howard,41,762
Hal Janvrin,41,763
Ryan Klesko,41,764
Eddie Mayo,41,765
Earl McNeely,41,766
James Mouton,41,767
Shohei Ohtani,41,768
Lou Piniella,41,769
Rick Reichardt,41,770
Braggo Roth,41,771
Ron Santo,41,772
Dick Schofield,41,773
Wayne Tolleson,41,774
Eric Yelding,41,775
Gregor Blanco,40,776
Milton Bradley,40,777
Sid Bream,40,778
Jay Bruce,40,779
Miguel Cairo,40,780
Gene Clines,40,781
Denny Doyle,40,782
Cecil Espy,40,783
Junior Felix,40,784
Jim Fregosi,40,785
Cesar Geronimo,40,786
Bill Hall,40,787
Willie Harris,40,788
Corey Hart,40,789
Mike Heath,40,790
Richie Hebner,40,791
Tommy Helms,40,792
César Hernández,40,793
Brandon Inge,40,794
Mack Jones,40,795
Von Joshua,40,796
Manny Machado,40,797
Dylan Moore,40,798
Rafael Palmeiro,40,799
Marcus Semien,40,800
John Shelby,40,801
George Springer,40,802
John Stone,40,803
Zeb Terry,40,804
Mark Whiten,40,805
Bobby Witt Jr.,40,806
Rich Amaral,39,807
Mookie Betts,39,808
Barry Bonnell,39,809
Ken Caminiti,39,810
José Cruz,39,811
Vince DiMaggio,39,812
Jeff Francoeur,39,813
Damian Jackson,39,814
Wally Joyner,39,815
Kevin Kiermaier,39,816
Ed Kirkpatrick,39,817
Manuel Margot,39,818
Eddie Mathews,39,819
Bernie Neis,39,820
Skeeter Newsome,39,821
Cal Ripken Jr.,39,822
Earl Torgeson,39,823
Juan Uribe,39,824
Christian Yelich,39,825
Eric Young Jr.,39,826
Frank Bolling,38,827
Bob Brenly,38,828
Jimmy Brown,38,829
Everth Cabrera,38,830
Robinson Cano,38,831
Dave Chalk,38,832
Sam Chapman,38,833
Gil Coan,38,834
Billy Cox,38,835
Joe Dugan,38,836
Jim Eisenreich,38,837
Todd Frazier,38,838
Travis Fryman,38,839
Dave Henderson,38,840
Jose Hernandez,38,841
Glenallen Hill,38,842
Willie Horton,38,843
José Iglesias,38,844
Dion James,38,845
Mike Lansing,38,846
Larry Lintz,38,847
Pat Listach,38,848
Tony Lupien,38,849
Mickey Mantle,38,850
Fred McGriff,38,851
Jim Northrup,38,852
Eduardo Nunez,38,853
Alex Ochoa,38,854
Tom Paciorek,38,855
Jake Powell,38,856
Yasiel Puig,38,857
Manny Sanguillen,38,858
Paul Schaal,38,859
Miguel Tejada,38,860
Mike Trout,38,861
Robin Ventura,38,862
Curt Walker,38,863
Aaron Ward,38,864
Kolten Wong,38,865
Moises Alou,37,866
Alan Bannister,37,867
Jason Bartlett,37,868
Casey Blake,37,869
Frenchy Bordagaray,37,870
Melky Cabrera,37,871
Jeff Cirillo,37,872
Warren Cromartie,37,873
J.D. Drew,37,874
Dan Ford,37,875
Adam Frazier,37,876
Oscar Gamble,37,877
Mike Hargrove,37,878
Josh Harrison,37,879
Matt Holliday,37,880
Yadier Molina,37,881
Jim Morrison,37,882
Jim Norris,37,883
Lance Parrish,37,884
Darrell Porter,37,885
Dwight Smith,37,886
Jim Sundberg,37,887
Andre Thornton,37,888
Ellis Valentine,37,889
Randy Velarde,37,890
Todd Walker,37,891
Vernon Wells,37,892
Bob Bailor,36,893
George Bell,36,894
Jamey Carroll,36,895
Marty Cordova,36,896
Willie Crawford,36,897
Larry Doby,36,898
Brian Dozier,36,899
Hoot Evers,36,900
Lew Fonseca,36,901
Doug Glanville,36,902
Jack Graney,36,903
Mike Hershberger,36,904
Kelly Johnson,36,905
George Kell,36,906
Corey Koskie,36,907
Gary Matthews,36,908
Roy McMillan,36,909
Mike Menosky,36,910
Roger Metzger,36,911
Charlie Neal,36,912
Graig Nettles,36,913
Ivy Olson,36,914
Larry Parrish,36,915
Tommy Pham,36,916
Kevin Pillar,36,917
Nick Punto,36,918
Topper Rigney,36,919
Amed Rosario,36,920
Ken Singleton,36,921
Bob Skinner,36,922
Trevor Story,36,923
John Wathan,36,924
Gus Bell,35,925
Wade Boggs,35,926
Lute Boone,35,927
Ed Brinkman,35,928
Damon Buford,35,929
Chris Chambliss,35,930
Ed Charles,35,931
Pete Coscarart,35,932
Rick Ferrell,35,933
Paul Goldschmidt,35,934
David Green,35,935
Aaron Hill,35,936
Glenn Hubbard,35,937
Adam Jones,35,938
Cookie Lavagetto,35,939
Mark Loretta,35,940
Lee May,35,941
Danny Moeller,35,942
Jose Pagan,35,943
Vic Power,35,944
Pat Sheridan,35,945
Homer Summa,35,946
Ted Uhlaender,35,947
Walt Weiss,35,948
Matt Williams,35,949
Javier Báez,34,950
Harold Baines,34,951
Rick Bosetti,34,952
Bobby Brown,34,953
Brandon Crawford,34,954
George Harper,34,955
Richard Hidalgo,34,956
Dick Howser,34,957
Lee Maye,34,958
Cedric Mullins,34,959
Pete O'Brien,34,960
Miguel Olivo,34,961
Wes Parker,34,962
Cy Perkins,34,963
Charlie Pick,34,964
Jim Rice,34,965
Roy Smalley,34,966
Mallex Smith,34,967
Drew Stubbs,34,968
Michael Taylor,34,969
Hank Bauer,33,970
Michael Brantley,33,971
Jacob Brumfield,33,972
Brady Clark,33,973
Paul Dade,33,974
Chuck Diering,33,975
Ron Fairly,33,976
Carlos Garcia,33,977
Chris Gomez,33,978
Carlos González,33,979
Johnny Grubb,33,980
Kelly Gruber,33,981
Bert Haas,33,982
Enzo Hernandez,33,983
Omar Infante,33,984
Maicer Izturis,33,985
Jon Jay,33,986
Benny Kauff,33,987
Ken Keltner,33,988
Jason Kipnis,33,989
Candy Maldonado,33,990
Mike Marshall,33,991
Austin McHenry,33,992
Larry Milbourne,33,993
Keith Moreland,33,994
Wil Myers,33,995
Jose Oquendo,33,996
Albie Pearson,33,997
Tony Perez,33,998
Jorge Polanco,33,999
Doug Rader,33,1000
Manny Ramirez,33,1001
Lew Riggs,33,1002
Al Rosen,33,1003
Jack Rothrock,33,1004
Dick Siebert,33,1005
Ted Simmons,33,1006
Rusty Staub,33,1007
Billy Sullivan,33,1008
Rob Wilfong,33,1009
Taffy Wright,33,1010
Al Zarilla,33,1011
