Name,Stolen Bases,Rank
Cameron Maybin,187,408
Dave Nelson,187,409
Jimmy Callahan,186,410
Bill Everitt,186,411
Emmet Heidrick,186,412
Lee Magee,186,413
Deion Sanders,186,414
Jimmy Wolf,186,415
Danny Hoffman,185,416
Lee Lacy,185,417
Howie Shanks,185,418
Denard Span,185,419
Amos Strunk,185,420
Ken Griffey Jr.,184,421
Matt Kemp,184,422
Freddy Parent,184,423
Bill Buckner,183,424
Charlie Dexter,183,425
Dave Martinez,183,426
Gary Matthews,183,427
Bake McBride,183,428
Quilvio Veras,183,429
Carson Bigbee,182,430
Roy Hartzell,182,431
Bill Bradley,181,432
Ellis Burks,181,433
Ian Desmond,181,434
Charlie Gehringer,181,435
Vladimir Guerrero,181,436
Heinie Groh,180,437
Charlie Irwin,180,438
Luke Appling,179,439
Darin Erstad,179,440
Adam Kennedy,179,441
Alcides Escobar,178,442
Joe Kuhel,178,443
Jake Stahl,178,444
Frank White,178,445
Dots Miller,177,446
Tony Phillips,177,447
Ray Schalk,177,448
Bobby Byrne,176,449
Johnny Mostil,176,450
Angel Pagan,176,451
Kitty Bransfield,175,452
Frank Fennelly,175,453
Goose Goslin,175,454
Heinie Zimmerman,175,455
Mariano Duncan,174,456
Paul Goldschmidt,174,457
Bill Madlock,174,458
Wally Moses,174,459
Jerry Mumphrey,174,460
Mike Schmidt,174,461
Jim Donnelly,173,462
Mickey Doolin,173,463
Dick Hoblitzell,173,464
Al Martin,173,465
Ralph Garr,172,466
Stuffy McInnis,172,467
Jose Offerman,172,468
Bill Sweeney,172,469
Buck Weaver,172,470
Paul Blair,171,471
Armando Marsans,171,472
Danny Moeller,171,473
Derek Bell,170,474
George Gore,170,475
Harry Bay,169,476
Ozzie Guillen,169,477
Jimmy Johnston,169,478
Oddibe McDowell,169,479
Pop Smith,169,480
Doug Glanville,168,481
Rick Manning,168,482
Carl Yastrzemski,168,483
Tommie Agee,167,484
Mark Belanger,167,485
Dick Egan,167,486
Billy Gilbert,167,487
Bucky Harris,167,488
Mike Mowrey,167,489
Bill Russell,167,490
Dickie Thon,167,491
Emilio Bonifacio,166,492
Larry Gardner,165,493
Stan Hack,165,494
Matt Lawton,165,495
Tom Poorman,165,496
Bones Ely,164,497
Jack McGeachy,164,498
Patsy Tebeau,164,499
Darryl Hamilton,163,500
Jeffrey Leonard,163,501
Rebel Oakes,163,502
Tom Burns,162,503
Shawn Green,162,504
Lyn Lary,162,505
Farmer Weaver,162,506
Eric Young Jr.,162,507
Mike Felder,161,508
Dale Murphy,161,509
Tip O'Neill,161,510
Drew Stubbs,161,511
Josh DeVore,160,512
Jim Rivera,160,513
Mitch Webster,160,514
Bill Coughlin,159,515
Bert Daniels,159,516
Art Fletcher,159,517
Joe Hornung,159,518
Hick Carpenter,158,519
Pete Fox,158,520
Pie Traynor,158,521
Shin-Soo Choo,157,522
Matty Alou,156,523
Buddy Myer,156,524
Shohei Ohtani,156,525
Ivy Olson,156,526
Lenny Randle,156,527
Erick Aybar,155,528
Phil Bradley,155,529
Billy Maloney,155,530
Claude Ritchey,155,531
Milt Stock,155,532
Gerald Young,155,533
Sparky Adams,154,534
George Burns,154,535
John Cangelosi,154,536
Dan Driessen,154,537
Dave Parker,154,538
Chase Utley,154,539
Ken Williams,154,540
Jack Barry,153,541
Chick Gandil,153,542
Curtis Granderson,153,543
Eddie Grant,153,544
Paul Hines,153,545
Mickey Mantle,153,546
Ross Youngs,153,547
Dante Bichette,152,548
Bob Caruthers,152,549
Andruw Jones,152,550
Kevin Bass,151,551
Lu Blue,151,552
Horace Clarke,151,553
Jumbo Davis,151,554
Jim Delahanty,151,555
Dick Johnston,151,556
Bill Kuehne,151,557
Justin Upton,151,558
Jimmy Williams,151,559
Chief Zimmer,151,560
Duke Farrell,150,561
Chipper Jones,150,562
Perry Werden,150,563
Dexter Fowler,149,564
Phil Rizzuto,149,565
Charlie Blackmon,148,566
Alex Cole,148,567
Cliff Floyd,148,568
Jack Graney,148,569
Bryce Harper,148,570
Tony Lazzeri,148,571
Jerry Hairston,147,572
Joe Mulvey,147,573
Jack Tobin,147,574
Bernie Williams,147,575
Pepper Martin,146,576
Dave Bancroft,145,577
Jack Fournier,145,578
Ken Landreaux,145,579
Jack McCarthy,145,580
Eddie Milner,145,581
Spike Shannon,145,582
Chuck Carr,144,583
Ed Cartwright,144,584
Pokey Reese,144,585
Heinie Wagner,144,586
Jimmy Barrett,143,587
Jiggs Donahue,143,588
Ryan Freel,143,589
Jackie Jensen,143,590
Ruppert Jones,143,591
Otto Knabe,143,592
Tommy McCraw,143,593
Alexei Ramirez,143,594
Grady Sizemore,143,595
Lou Whitaker,143,596
Ed Abbaticchio,142,597
Orlando Cepeda,142,598
Chili Davis,142,599
Doc Gessler,142,600
Bob Meusel,142,601
Eduardo Nunez,142,602
Gerald Perry,142,603
Ruben Sierra,142,604
George Stovall,142,605
Chris Young,142,606
Paul O'Neill,141,607
B.J. Surhoff,141,608
Shad Barry,140,609
Ossie Bluege,140,610
Trevor Story,140,611
Johnny Temple,140,612
Derrel Thomas,140,613
John Titus,140,614
Bill Wambsganss,140,615
Miguel Cairo,139,616
Dick Harley,139,617
Doc Johnston,139,618
Jim Landis,139,619
Greasy Neale,139,620
Everth Cabrera,138,621
Dustin Pedroia,138,622
George Shoch,138,623
Billy Southworth,138,624
Dusty Baker,137,625
Fred Carroll,137,626
Pop Corkhill,137,627
Jim Gantner,137,628
Al Kaline,137,629
Reggie Smith,137,630
Mickey Vernon,137,631
Al Bridwell,136,632
Tommy Davis,136,633
Jason Kipnis,136,634
Jose Valentin,136,635
Rogers Hornsby,135,636
Julian Javier,135,637
Roy Johnson,135,638
Tom Jones,135,639
Will Venable,135,640
Mike Davis,134,641
Nemo Leibold,134,642
Kirby Puckett,134,643
Marcus Semien,134,644
Snuffy Stirnweiss,134,645
Dick Allen,133,646
Willie Bloomquist,133,647
Red Dooin,133,648
Mark Grudzielanek,133,649
Damian Jackson,133,650
George McBride,133,651
Nate McLouth,133,652
Adalberto Mondesi,133,653
Cedric Mullins,133,654
Earl Torgeson,133,655
Birdie Cree,132,656
George Grantham,132,657
Kevin Kiermaier,132,658
Bill McClellan,132,659
Hap Myers,132,660
Dick Padden,132,661
Charlie Reilly,132,662
George Stone,132,663
U.L. Washington,132,664
Rickie Weeks,132,665
Jayson Werth,132,666
Lenny Harris,131,667
Charlie Jamieson,131,668
Bill Keister,131,669
Frank Shugart,131,670
Casey Stengel,131,671
Bobby Witt Jr.,131,672
Henry Cotto,130,673
Jerry Denny,130,674
