Name,Hit by Pitch,Rank
Marty Cordova,50,545
Johnny Damon,50,546
Charlie Gehringer,50,547
Rhys Hoskins,50,548
John Jaha,50,549
Cliff Johnson,50,550
Bill Keister,50,551
Kevin Kouzmanoff,50,552
Kirt Manwaring,50,553
Tommy McCarthy,50,554
Graig Nettles,50,555
Desi Relaford,50,556
Eddie Robinson,50,557
Kevin Stocker,50,558
Johnny Bates,49,559
George Bell,49,560
Lou Brock,49,561
Randy Bush,49,562
Bobby Byrne,49,563
Lorenzo Cain,49,564
Jeimer Candelario,49,565
Greg Colbrunn,49,566
Michael Cuddyer,49,567
Joe Cunningham,49,568
Jack Doyle,49,569
Adam Duvall,49,570
Jim Edmonds,49,571
Darrin Fletcher,49,572
Ival Goodman,49,573
Bryce Harper,49,574
Roy Hartzell,49,575
Roberto Kelly,49,576
Lee May,49,577
Bengie Molina,49,578
Phil Rizzuto,49,579
Randy Velarde,49,580
Mickey Vernon,49,581
Omar Vizquel,49,582
CJ Abrams,48,583
Luis Alicea,48,584
Moises Alou,48,585
Norichika Aoki,48,586
Jason Bartlett,48,587
Brandon Belt,48,588
Bob Bescher,48,589
Khris Davis,48,590
John Grim,48,591
Ricky Gutierrez,48,592
Bill Hinchman,48,593
Rogers Hornsby,48,594
Aubrey Huff,48,595
Doc Johnston,48,596
Harmon Killebrew,48,597
Darren Lewis,48,598
Kendrys Morales,48,599
Bryan Reynolds,48,600
Dick Schofield,48,601
George Sisler,48,602
Donovan Solano,48,603
Jorge Soler,48,604
Mike Stanley,48,605
Terry Steinbach,48,606
Joe Sullivan,48,607
Bob Watson,48,608
Harry Wolverton,48,609
Christian Yelich,48,610
Robin Yount,48,611
Tony Batista,47,612
Ray Blades,47,613
Frank Bowerman,47,614
Scott Brosius,47,615
Eric Byrnes,47,616
Cliff Carroll,47,617
Carl Crawford,47,618
Brian Dozier,47,619
Sal Fasano,47,620
Wilmer Flores,47,621
Dan Ford,47,622
Logan Forsythe,47,623
Andy Fox,47,624
Carl Furillo,47,625
Miller Huggins,47,626
Max Kepler,47,627
Carlos Lee,47,628
Paul Molitor,47,629
