Name,Grand Slams,Rank
Chet Laabs,5,439
Hank Leiber,5,440
Royce Lewis,5,441
Sherm Lollar,5,442
Felipe Lopez,5,443
Shane Mack,5,444
Roger Maris,5,445
Victor Martinez,5,446
Joe Mauer,5,447
Charlie Maxwell,5,448
James McCann,5,449
Brian McRae,5,450
Bengie Molina,5,451
Raul Mondesi,5,452
Wally Moon,5,453
Melvin Mora,5,454
Colin Moran,5,455
Dale Murphy,5,456
Paul O'Neill,5,457
Rougned Odor,5,458
Joe Oliver,5,459
Lyle Overbay,5,460
Mike Pagliarulo,5,461
Larry Parrish,5,462
Terry Pendleton,5,463
Brandon Phillips,5,464
Buster Posey,5,465
Bill Robinson,5,466
Henry Rodriguez,5,467
Gary Roenicke,5,468
Eddie Rosario,5,469
Cody Ross,5,470
Ryne Sandberg,5,471
Reggie Sanders,5,472
Dick Schofield,5,473
Jonathan Schoop,5,474
Kyle Seager,5,475
Harry Simpson,5,476
Bill Skowron,5,477
Roy Smalley,5,478
Duke Snider,5,479
Alfonso Soriano,5,480
Scott Spiezio,5,481
Rowdy Tellez,5,482
Gorman Thomas,5,483
Alan Trammell,5,484
Mark Trumbo,5,485
Kyle Tucker,5,486
Juan Uribe,5,487
John Vander Wal,5,488
Honus Wagner,5,489
Wes Westrum,5,490
Brad Wilkerson,5,491
Ken Williams,5,492
Hack Wilson,5,493
Jesse Winker,5,494
Gregg Zaun,5,495
Edgardo Alfonzo,4,496
Pete Alonso,4,497
Yonder Alonso,4,498
Yordan Alvarez,4,499
Earl Averill,4,500
Dusty Baker,4,501
Steve Balboni,4,502
Rod Barajas,4,503
Kevin Bass,4,504
Les Bell,4,505
Ronnie Belliard,4,506
Kurt Bevacqua,4,507
Craig Biggio,4,508
Charlie Blackmon,4,509
Jeff Blauser,4,510
Wade Boggs,4,511
Justin Bour,4,512
Russell Branyan,4,513
Greg Brock,4,514
Asdrubal Cabrera,4,515
Melky Cabrera,4,516
Chico Carrasquel,4,517
Vinny Castilla,4,518
Phil Cavarretta,4,519
Francisco Cervelli,4,520
Shin-Soo Choo,4,521
Ty Cobb,4,522
Willson Contreras,4,523
Wil Cordero,4,524
Del Crandall,4,525
Carl Crawford,4,526
Joe Cronin,4,527
Lave Cross,4,528
Terry Crowley,4,529
Jose Cruz,4,530
Mike Cubbage,4,531
Alvin Dark,4,532
Bobby Darwin,4,533
Willie Davis,4,534
Don Demeter,4,535
Ian Desmond,4,536
Aledmys Díaz,4,537
Ryan Doumit,4,538
Ray Durham,4,539
David Eckstein,4,540
Bob Elliott,4,541
Andre Ethier,4,542
Dexter Fowler,4,543
Maikel Franco,4,544
Gene Freese,4,545
Adolis García,4,546
Brett Gardner,4,547
Kirk Gibson,4,548
Troy Glaus,4,549
George Grantham,4,550
Dick Green,4,551
Ken Griffey,4,552
Marquis Grissom,4,553
Chick Hafey,4,554
J.J. Hardy,4,555
George Harper,4,556
Scott Hatteberg,4,557
Grady Hatton,4,558
Chase Headley,4,559
Jeff Heath,4,560
Richie Hebner,4,561
Jim Hegan,4,562
George Hendrick,4,563
Harvey Hendrick,4,564
Tommy Henrich,4,565
Jason Heyward,4,566
Pinky Higgins,4,567
Bobby Higginson,4,568
Aubrey Huff,4,569
Randy Hundley,4,570
Chris Iannetta,4,571
Jonathan India,4,572
Monte Irvin,4,573
Mike Ivie,4,574
Darrin Jackson,4,575
Joe Jackson,4,576
Travis Jackson,4,577
Geoff Jenkins,4,578
Deron Johnson,4,579
Mike Jorgensen,4,580
Al Kaline,4,581
Steve Kemp,4,582
Ray Knight,4,583
Chuck Knoblauch,4,584
John Kruk,4,585
Nap Lajoie,4,586
Jason LaRue,4,587
Matt Lawton,4,588
Tommy Leach,4,589
Don Lenhardt,4,590
Mike Lieberthal,4,591
Adam Lind,4,592
Evan Longoria,4,593
Brandon Lowe,4,594
John Lowenstein,4,595
Jonathan Lucroy,4,596
Mike Macfarlane,4,597
Garry Maddox,4,598
Nick Markakis,4,599
Ketel Marte,4,600
Russell Martin,4,601
Justin Maxwell,4,602
Frank McCormick,4,603
Marty McManus,4,604
Bill Melton,4,605
Devin Mesoraco,4,606
Jason Michaels,4,607
Kevin Millar,4,608
Eddie Miller,4,609
Rick Monday,4,610
Kendrys Morales,4,611
Joe Morgan,4,612
Mike Morse,4,613
Lloyd Moseby,4,614
Brandon Moss,4,615
Bill Mueller,4,616
Cedric Mullins,4,617
Wil Myers,4,618
Graig Nettles,4,619
Ben Oglivie,4,620
Jay Payton,4,621
Steve Pearce,4,622
Dustin Pedroia,4,623
Jhonny Peralta,4,624
Chad Pinder,4,625
Stephen Piscotty,4,626
Wally Post,4,627
Vic Power,4,628
Jurickson Profar,4,629
Carlos Quentin,4,630
Ryan Raburn,4,631
Doug Rader,4,632
Cal Raleigh,4,633
Wilson Ramos,4,634
J.T. Realmuto,4,635
Gary Redus,4,636
Rick Reichardt,4,637
