Name,GIDP,Rank
Carl Furillo,207,96
Adrian Gonzalez,207,97
Roberto Alomar,206,98
Rico Carty,206,99
Carlos Lee,206,100
Evan Longoria,206,101
Benito Santiago,205,102
Carlton Fisk,204,103
Omar Vizquel,204,104
Joe Medwick,203,105
Jose Altuve,202,106
Sammy Sosa,202,107
Brad Ausmus,201,108
Johnny Bench,201,109
Carlos Beltran,200,110
Jhonny Peralta,200,111
Billy Williams,200,112
Ken Griffey Jr.,199,113
Pinky Higgins,199,114
Derrek Lee,199,115
Nolan Arenado,198,116
Yunel Escobar,198,117
Garret Anderson,197,118
Elvis Andrus,197,119
Brian Downing,197,120
Graig Nettles,197,121
Lance Parrish,197,122
Ted Williams,197,123
Don Baylor,196,124
George Foster,196,125
Moises Alou,195,126
Bob Bailey,195,127
Willie Horton,195,128
Billy Jurges,195,129
J.D. Martinez,195,130
Placido Polanco,195,131
Bill Mazeroski,194,132
Albert Belle,193,133
Howie Kendrick,193,134
Alex Rios,193,135
Ruben Sierra,193,136
Bill Skowron,192,137
Tim Wallach,192,138
Bob Boone,191,139
Mark Grace,191,140
Tino Martinez,191,141
Don Mattingly,191,142
Frank Thomas,191,143
Billy Butler,190,144
Adam Jones,190,145
Bill Madlock,190,146
Russell Martin,190,147
Edgar Martinez,190,148
Salvador Perez,190,149
Dave Philley,190,150
Andruw Jones,189,151
Orlando Cabrera,188,152
George Kell,188,153
DJ LeMahieu,188,154
Kirby Puckett,188,155
Jos̩ Abreu,187,156
Bob Elliott,187,157
Larry Parrish,187,158
Carlos Santana,187,159
Todd Helton,186,160
Hal McRae,186,161
Jorge Posada,186,162
Joe Vosmik,186,163
Ken Boyer,185,164
Ron Cey,185,165
Edwin Encarnacion,185,166
Jackie Jensen,185,167
Minnie Minoso,185,168
Luis Aparicio,184,169
Jermaine Dye,184,170
Juan Gonzalez,184,171
Bob Johnson,184,172
Matt Kemp,184,173
Sherm Lollar,184,174
Reggie Jackson,183,175
Chris Speier,183,176
Mickey Vernon,183,177
Rocky Colavito,182,178
Jeff Conine,182,179
Bobby Doerr,182,180
Matt Williams,182,181
Melky Cabrera,181,182
Jose Guillen,181,183
Eric Karros,181,184
Cookie Rojas,181,185
Gary Carter,180,186
Brian McCann,180,187
Red Schoendienst,180,188
Ryan Braun,179,189
Andres Galarraga,179,190
Gary Matthews,179,191
Jose Canseco,178,192
Nelson Cruz,178,193
Barry Larkin,178,194
Terry Pendleton,178,195
Asdrubal Cabrera,177,196
Starlin Castro,177,197
Doug DeCinces,177,198
Tony Lazzeri,177,199
Dante Bichette,176,200
Jason Kendall,176,201
Red Kress,176,202
Al Lopez,176,203
Frank McCormick,176,204
Willie McCovey,176,205
Pee Wee Reese,176,206
Terry Steinbach,176,207
Robin Ventura,176,208
Nellie Fox,175,209
Leo Cardenas,174,210
Jack Clark,174,211
Sid Gordon,174,212
Shawn Green,174,213
Mark Grudzielanek,174,214
Chet Lemon,174,215
Pete Runnels,174,216
Bill Russell,174,217
Michael Cuddyer,173,218
Granny Hamner,173,219
Bengie Molina,173,220
Bob Watson,173,221
Rickey Henderson,172,222
Javy Lopez,172,223
Ellis Burks,171,224
Marquis Grissom,171,225
Martin Prado,171,226
Jose Bautista,170,227
Paul Goldschmidt,170,228
Mike Lowell,170,229
Rabbit Maranville,170,230
Kendrys Morales,170,231
Bobby Bonilla,169,232
Cecil Fielder,169,233
Ray Knight,169,234
Vern Stephens,169,235
B.J. Surhoff,169,236
Bret Boone,168,237
Wally Joyner,168,238
Joey Votto,168,239
Cesar Cedeno,167,240
Eric Hosmer,167,241
Aurelio Rodriguez,167,242
Ozzie Smith,167,243
Garry Templeton,167,244
Vernon Wells,167,245
Chris Chambliss,166,246
Walt Dropo,166,247
Freddie Freeman,166,248
Joe Gordon,166,249
Carney Lansford,166,250
Duke Snider,166,251
Tony Taylor,166,252
George Bell,165,253
Jay Bell,165,254
Barry Bonds,165,255
Gil Hodges,165,256
Kent Hrbek,165,257
Frank Malzone,165,258
Jim Thome,165,259
