Name,Sacrifice Flies,Rank
Frank Bolling,38,623
Sid Bream,38,624
Enos Cabell,38,625
José Cruz,38,626
Jim Davenport,38,627
Chris Davis,38,628
Bill Doran,38,629
Del Ennis,38,630
Dan Ford,38,631
Todd Frazier,38,632
Greg Gagne,38,633
J.J. Hardy,38,634
Ron Hassey,38,635
Billy Hatcher,38,636
Larry Herndon,38,637
Pete Incaviglia,38,638
Stan Javier,38,639
Jim Lemon,38,640
James Loney,38,641
Brent Mayne,38,642
Ken McMullen,38,643
Jose Offerman,38,644
Jose Pagan,38,645
Tony Pena,38,646
Jose Reyes,38,647
Marcus Semien,38,648
Ted Sizemore,38,649
Don Slaught,38,650
Shannon Stewart,38,651
Jim Sundberg,38,652
Jose Vizcaino,38,653
Jack Wilson,38,654
Brad Ausmus,37,655
Erick Aybar,37,656
Ed Bailey,37,657
Ronnie Belliard,37,658
Joey Cora,37,659
Khalil Greene,37,660
Tom Haller,37,661
Jim Ray Hart,37,662
Geoff Jenkins,37,663
Willie Jones,37,664
Howie Kendrick,37,665
Ketel Marte,37,666
Dave Martinez,37,667
Don Mincher,37,668
Raul Mondesi,37,669
Gerald Perry,37,670
Craig Reynolds,37,671
Buck Rodgers,37,672
Eddie Rosario,37,673
Freddy Sanchez,37,674
Steve Sax,37,675
Mike Scioscia,37,676
Ed Sprague,37,677
Dick Stuart,37,678
Pat Tabler,37,679
Ernie Whitt,37,680
Aaron Boone,36,681
Danny Cater,36,682
Brian Dozier,36,683
Scott Fletcher,36,684
Brent Gates,36,685
Yasmani Grandal,36,686
Ken Henderson,36,687
Enrique Hernández,36,688
Shea Hillenbrand,36,689
Chuck Hinton,36,690
Chris Iannetta,36,691
Cliff Johnson,36,692
Vance Law,36,693
Jerry Lumpe,36,694
Doug Mientkiewicz,36,695
Miguel Montero,36,696
Kendrys Morales,36,697
Manny Mota,36,698
Mike Napoli,36,699
Joe Orsulak,36,700
Jorge Polanco,36,701
Terry Puhl,36,702
Hanley Ramirez,36,703
Marco Scutaro,36,704
Richie Sexson,36,705
Gleyber Torres,36,706
Josh Willingham,36,707
