Name,Strikeouts,Rank
Pete Alonso,899,503
Byron Buxton,899,504
Ken Griffey,898,505
Austin Kearns,898,506
Mel Ott,896,507
Jed Lowrie,895,508
A.J. Pierzynski,895,509
Moises Alou,894,510
Frank Thomas,894,511
Dave Martinez,893,512
Melky Cabrera,891,513
Victor Martinez,891,514
Brandon Nimmo,891,515
David Peralta,891,516
Ty Wigginton,891,517
Pee Wee Reese,890,518
Ron LeFlore,888,519
Ryan Ludwick,888,520
Rusty Staub,888,521
Mookie Betts,887,522
Omar Moreno,885,523
Kevin Young,882,524
Miguel Montero,881,525
Rocky Colavito,880,526
Lucas Duda,879,527
Al Martin,879,528
Austin Riley,878,529
Paul Blair,877,530
Ron Fairly,877,531
Gary Sánchez,877,532
Julio Lugo,876,533
Alan Trammell,874,534
Brad Miller,873,535
Jeff Mathis,872,536
Dmitri Young,871,537
Joe Rudi,870,538
Bill Skowron,870,539
Eddie Rosario,869,540
Mickey Vernon,869,541
Toby Harrah,868,542
Rudy York,867,543
Don Money,866,544
Mookie Wilson,866,545
Coco Crisp,865,546
Alcides Escobar,864,547
Tony Lazzeri,864,548
Candy Maldonado,864,549
Pedro Guerrero,862,550
Roberto Kelly,862,551
Jason Thompson,862,552
Rich Aurilia,861,553
Jim Presley,859,554
Jeimer Candelario,857,555
Steve Balboni,856,556
Terry Kennedy,855,557
Lorenzo Cain,854,558
Juan Encarnacion,853,559
Freddy Galvis,853,560
Corey Hart,853,561
Denis Menke,853,562
Randy Velarde,853,563
Tyler Flowers,852,564
Davey Lopes,852,565
Ben Oglivie,852,566
Magglio Ordonez,852,567
Bob Johnson,851,568
Andre Thornton,851,569
Luis Castillo,850,570
Jimmy Dykes,850,571
Gary Matthews,849,572
Lonnie Smith,849,573
Aaron Hill,847,574
James McCann,847,575
Matt Wieters,847,576
Tony Pena,846,577
Ed Brinkman,845,578
Glenallen Hill,845,579
Rajai Davis,844,580
Hank Greenberg,844,581
Brian Roberts,844,582
Paul Sorrento,844,583
Max Kepler,843,584
Steve Buechele,842,585
Phil Garner,842,586
Brian Jordan,842,587
Vic Wertz,842,588
Mark Canha,841,589
Bo Jackson,841,590
Bobby Murcer,841,591
Billy Butler,840,592
Mark Belanger,839,593
Stan Javier,839,594
Adam Kennedy,839,595
B.J. Surhoff,839,596
David DeJesus,838,597
Kevin Millar,838,598
Vince DiMaggio,837,599
Brian Giles,835,600
Jason Kubel,834,601
Bobby Knoop,833,602
Ed Sprague,833,603
Chone Figgins,832,604
Jim Hickman,832,605
Lee Stevens,832,606
Corey Seager,829,607
Bill Nicholson,828,608
Christian Walker,828,609
Kevin Youkilis,828,610
Eddie Joost,827,611
Orlando Hudson,825,612
Wally Joyner,825,613
Brian McRae,824,614
Jean Segura,824,615
Bill Robinson,820,616
Jack Cust,819,617
Milton Bradley,817,618
Ruppert Jones,817,619
Barry Larkin,817,620
Mike Lowell,817,621
Ken McMullen,815,622
Enrique Hernández,814,623
Wally Post,813,624
Bryan Reynolds,813,625
Marwin Gonzalez,812,626
Julian Javier,812,627
Adolis García,810,628
Brad Hawpe,810,629
Nick Hundley,810,630
Mike Marshall,810,631
John Mayberry,810,632
Zoilo Versalles,810,633
Jorge Polanco,809,634
Jose Cardenal,807,635
Carlos Guillen,804,636
Von Hayes,804,637
Bobby Thomson,804,638
Henry Rodriguez,803,639
Mark Ellis,801,640
Mike Bordick,800,641
Cody Ross,800,642
Frankie Crosetti,799,643
Corey Dickerson,799,644
Kent Hrbek,798,645
Ronnie Belliard,797,646
Seth Smith,797,647
Bobby Higginson,796,648
Bob Watson,796,649
Corey Koskie,795,650
Trey Mancini,795,651
Mike Matheny,795,652
Andrew Benintendi,794,653
Bill Bruton,793,654
Larry Herndon,793,655
Aaron Hicks,793,656
Josh Reddick,791,657
Tony Batista,790,658
Lou Gehrig,790,659
Luis Valbuena,788,660
Jim Lemon,787,661
Freddie Patek,787,662
Elston Howard,786,663
Johnny Briggs,785,664
Dick Green,785,665
Mike Pagliarulo,785,666
Tony Fernandez,784,667
Ben Grieve,784,668
Delmon Young,784,669
Cristian Guzman,783,670
Garry Maddox,781,671
Gleyber Torres,781,672
Andy Seminick,780,673
Hal McRae,779,674
Anthony Rendon,779,675
Buddy Bell,776,676
Omar Infante,776,677
Don Lock,776,678
Wil Cordero,775,679
Sean Rodriguez,775,680
Gary Ward,775,681
Mitch Haniger,774,682
Whit Merrifield,774,683
Damian Miller,772,684
George Bell,771,685
Randy Arozarena,768,686
Pat Kelly,768,687
