Name,Percent,Raw,Rank
Frank Taveras,11.7,11.724,456
Toby Harrah,11.7,11.7266,457
Rick Manning,11.7,11.7378,458
Jose Oquendo,11.7,11.7427,459
Hal Lanier,11.8,11.7742,460
Yadier Molina,11.8,11.7948,461
Mike Sweeney,11.8,11.8157,462
Michael Brantley,11.8,11.8218,463
Rico Carty,11.8,11.8266,464
Juan Beniquez,11.8,11.8469,465
Jim Spencer,11.9,11.8582,466
Bake McBride,11.9,11.8609,467
Steve Braun,11.9,11.863,468
Jim Russell,11.9,11.8776,469
Lee Maye,11.9,11.8824,470
Gerald Perry,11.9,11.8957,471
Scott Hatteberg,11.9,11.9025,472
Al Cowens,11.9,11.9082,473
Roy Campanella,11.9,11.9144,474
Lee Thomas,11.9,11.9434,475
Bernie Friberg,11.9,11.9453,476
Ray Knight,12.0,11.9901,477
Larry Brown,12.0,12.0035,478
Richie Hebner,12.1,12.0605,479
Russ Snyder,12.1,12.0628,480
Vladimir Guerrero,12.1,12.0785,481
Snuffy Stirnweiss,12.1,12.0974,482
Jose Reyes,12.1,12.1028,483
Jay Payton,12.1,12.1088,484
Oscar Gamble,12.1,12.1279,485
Gates Brown,12.2,12.1574,486
Miguel Cairo,12.2,12.184,487
Wally Moon,12.2,12.2032,488
Ron Fairly,12.2,12.2077,489
Magglio Ordonez,12.2,12.2098,490
Victor Martinez,12.2,12.2105,491
Chris Chambliss,12.2,12.2309,492
Jose Lopez,12.3,12.2624,493
Don Hoak,12.3,12.2628,494
Bruce Campbell,12.3,12.2638,495
Robin Yount,12.3,12.2638,496
Jorge Orta,12.3,12.2663,497
Shannon Stewart,12.3,12.2713,498
A.J. Pierzynski,12.3,12.2771,499
Gene Richards,12.3,12.2852,500
Albert Pujols,12.3,12.2931,501
Bob Johnson,12.3,12.2977,502
Joe Gordon,12.3,12.3007,503
Carlos Lee,12.3,12.3262,504
Jim Wohlford,12.3,12.3319,505
Garry Maddox,12.3,12.3361,506
Billy Gardner,12.4,12.3871,507
Cecil Cooper,12.4,12.3962,508
Bill Freehan,12.4,12.3991,509
Vada Pinson,12.4,12.4002,510
Hank Bauer,12.4,12.4004,511
Alex Cora,12.4,12.412,512
Rich Rollins,12.4,12.413,513
Jerry Adair,12.4,12.416,514
Ken Griffey,12.4,12.4222,515
Harlond Clift,12.4,12.4433,516
Bernie Allen,12.5,12.4559,517
Manny Trillo,12.5,12.4706,518
Bobby Murcer,12.5,12.4963,519
Gary Carter,12.5,12.5078,520
Kenny Lofton,12.5,12.5123,521
Jerry Morales,12.5,12.5221,522
Eddie Yost,12.5,12.5238,523
Todd Walker,12.5,12.5384,524
Roberto Alomar,12.6,12.5648,525
Martin Prado,12.6,12.5814,526
George Bell,12.6,12.5919,527
Elliott Maddox,12.6,12.5923,528
Darren Lewis,12.6,12.595,529
Don Buford,12.6,12.629,530
Bruce Bochte,12.7,12.6505,531
Aaron Ward,12.7,12.6558,532
Jack Wilson,12.7,12.6585,533
Alexei Ramirez,12.7,12.6607,534
Doug Glanville,12.7,12.664,535
Derrel Thomas,12.7,12.6791,536
Jerry Royster,12.7,12.6901,537
Moises Alou,12.7,12.7043,538
Gary Sheffield,12.7,12.7048,539
Frankie Crosetti,12.7,12.729,540
Bobby Thomson,12.8,12.7518,541
Clyde McCullough,12.8,12.7523,542
Lenny Randle,12.8,12.7848,543
Brian Giles,12.8,12.793,544
Miguel Tejada,12.8,12.7935,545
Lou Whitaker,12.8,12.8238,546
Cesar Cedeno,12.8,12.8317,547
Willie Montanez,12.9,12.853,548
Jeff Cirillo,12.9,12.8614,549
Frank Catalanotto,12.9,12.8661,550
Bob Watson,12.9,12.8698,551
Matt Lawton,12.9,12.87,552
Rafael Palmeiro,12.9,12.8724,553
Kent Hrbek,12.9,12.8876,554
Yunel Escobar,12.9,12.9069,555
Juan Rivera,12.9,12.9069,556
Connie Ryan,12.9,12.9081,557
Johnny Damon,12.9,12.9108,558
Del Unser,12.9,12.9434,559
Erick Aybar,12.9,12.9469,560
Dave Bergman,13.0,12.9526,561
Melky Cabrera,13.0,12.9543,562
James Loney,13.0,12.9803,563
Ernie Whitt,13.0,13.0101,564
Roberto Clemente,13.0,13.0104,565
Dusty Baker,13.0,13.0111,566
Jose Cruz,13.0,13.0226,567
Kevin McReynolds,13.0,13.0371,568
Tony Pena,13.0,13.0374,569
Jerry Hairston,13.0,13.0385,570
Don Baylor,13.0,13.0398,571
Luis Castillo,13.1,13.0568,572
Sal Bando,13.1,13.0737,573
Tony Womack,13.1,13.0768,574
Bill Bruton,13.1,13.0945,575
Earl Battey,13.1,13.1065,576
Paul Schaal,13.1,13.1083,577
Ernie Banks,13.1,13.1196,578
Dan Driessen,13.1,13.1228,579
Dave Magadan,13.1,13.1282,580
Earl Torgeson,13.1,13.1415,581
Bert Campaneris,13.2,13.1506,582
Alvin Davis,13.2,13.1604,583
Julio Cruz,13.2,13.164,584
Charlie Keller,13.2,13.1662,585
Frank White,13.2,13.1696,586
Bip Roberts,13.2,13.2144,587
Dick Williams,13.2,13.2477,588
Clay Dalrymple,13.2,13.2479,589
Val Picinich,13.3,13.2777,590
