Name,IBB,Rank
Bernie Allen,52,424
Bob Aspromonte,52,425
Dusty Baker,52,426
Bruce Benedict,52,427
Bill Doran,52,428
J.D. Drew,52,429
Torii Hunter,52,430
Jim Lefebvre,52,431
Joe Oliver,52,432
Babe Phelps,52,433
Jimmy Rollins,52,434
Benito Santiago,52,435
Richie Zisk,52,436
Randy Bush,51,437
Wes Covington,51,438
Ken Griffey,51,439
Greg Gross,51,440
Toby Harrah,51,441
Bob Johnson,51,442
Mike Jorgensen,51,443
Jason Kendall,51,444
J.D. Martinez,51,445
Carlos Pena,51,446
Doug Rader,51,447
Dickie Thon,51,448
Bernie Carbo,50,449
Chris Davis,50,450
Lenny Dykstra,50,451
Wayne Garrett,50,452
Bobby Grich,50,453
Jose Lind,50,454
Yadier Molina,50,455
Raul Mondesi,50,456
Jim Northrup,50,457
Mickey Owen,50,458
Lee Stevens,50,459
Willie Upshaw,50,460
Jesse Barfield,49,461
Yogi Berra,49,462
Duffy Dyer,49,463
Ron Hansen,49,464
Jim Ray Hart,49,465
Dal Maxvill,49,466
Jerry Mumphrey,49,467
Gerardo Parra,49,468
Terry Puhl,49,469
Bill Robinson,49,470
Reggie Sanders,49,471
Tony Taylor,49,472
Gus Triandos,49,473
Justin Upton,49,474
Jose Altuve,48,475
Ivan DeJesus,48,476
Tony Fernandez,48,477
Tom Foley,48,478
Jeff Francoeur,48,479
Jim Fregosi,48,480
Alex Gonzalez,48,481
Alex Gordon,48,482
Bobby Knoop,48,483
Mark Lemke,48,484
Jerry May,48,485
Tommy McCraw,48,486
Bill Skowron,48,487
Birdie Tebbetts,48,488
Alan Trammell,48,489
Troy Tulowitzki,48,490
Curt Blefary,47,491
Johnny Briggs,47,492
Jim Eisenreich,47,493
Brad Hawpe,47,494
Tom Herr,47,495
Art Howe,47,496
Dave Martinez,47,497
Ken McMullen,47,498
Ken Reitz,47,499
Steve Sax,47,500
Norm Siebern,47,501
Roy Smalley,47,502
Danny Tartabull,47,503
Todd Zeile,47,504
Donn Clendenon,46,505
Jeff Conine,46,506
Mike Easler,46,507
Darin Erstad,46,508
Ralph Garr,46,509
Chet Lemon,46,510
Stan Lopata,46,511
Dave Magadan,46,512
Russell Martin,46,513
Gary Matthews,46,514
Lloyd Moseby,46,515
Jorge Orta,46,516
Mike Pagliarulo,46,517
Pete Runnels,46,518
Corey Seager,46,519
Milt Thompson,46,520
Joe Azcue,45,521
Larry Bowa,45,522
Sid Bream,45,523
Ollie Brown,45,524
Ty Cobb,45,525
Woodie Held,45,526
Corey Koskie,45,527
Carney Lansford,45,528
Adam Lind,45,529
Mike Lowell,45,530
John Milner,45,531
Don Money,45,532
Matt Olson,45,533
Buck Rodgers,45,534
Tim Salmon,45,535
Kyle Schwarber,45,536
Kevin Stocker,45,537
Pete Alonso,44,538
Eddie Bressoud,44,539
Ed Brinkman,44,540
Billy Cox,44,541
Jody Davis,44,542
Shawon Dunston,44,543
Marquis Grissom,44,544
Tony Phillips,44,545
Frankie Pytlak,44,546
Tom Brunansky,43,547
Darrel Chaney,43,548
Shin-Soo Choo,43,549
Mike Epstein,43,550
Alex Johnson,43,551
Adam Kennedy,43,552
Ray Knight,43,553
Kenny Lofton,43,554
Javy Lopez,43,555
John Mabry,43,556
Al Martin,43,557
Manny Mota,43,558
Jose Pagan,43,559
Jeff Reed,43,560
Ernie Whitt,43,561
Taffy Wright,43,562
Ryan Zimmerman,43,563
Willie Aikens,42,564
Earl Battey,42,565
Mike Fitzgerald,42,566
Nick Johnson,42,567
Cleon Jones,42,568
Whitey Kurowski,42,569
Roger Maris,42,570
Damian Miller,42,571
Edgar Renteria,42,572
Nick Swisher,42,573
Mark Whiten,42,574
Rick Wilkins,42,575
Carlos Baerga,41,576
Jay Buhner,41,577
Melky Cabrera,41,578
Andy Etchebarren,41,579
Johnny Grubb,41,580
Randy Hundley,41,581
Jeffrey Leonard,41,582
Dave May,41,583
Lee Mazzilli,41,584
Omar Moreno,41,585
Stan Spence,41,586
Rennie Stennett,41,587
Gorman Thomas,41,588
Bill Virdon,41,589
Pete Ward,41,590
Butch Wynegar,41,591
Yordan Alvarez,40,592
Matt Carpenter,40,593
Jermaine Dye,40,594
Jim Gantner,40,595
Troy Glaus,40,596
Ryan Hanigan,40,597
Elrod Hendricks,40,598
Jose Hernandez,40,599
Pinky Higgins,40,600
Tony Lazzeri,40,601
Felix Millan,40,602
Dave Nilsson,40,603
Salvador Perez,40,604
Kevin Elster,39,605
Carl Everett,39,606
Maikel Franco,39,607
Dick Groat,39,608
Carlos Guillen,39,609
Grady Hatton,39,610
Bob Horner,39,611
Julian Javier,39,612
Derek Jeter,39,613
Harvey Kuenn,39,614
Jason LaRue,39,615
Dale Long,39,616
Kendrys Morales,39,617
Dwayne Murphy,39,618
Jim Pagliaroni,39,619
Johnny Ray,39,620
Gene Richards,39,621
Dick Sisler,39,622
Dansby Swanson,39,623
Rube Walker,39,624
Cy Williams,39,625
Gus Zernial,39,626
Matty Alou,38,627
George Altman,38,628
Michael Barrett,38,629
Milton Bradley,38,630
Jose Cardenal,38,631
José Cruz,38,632
Johnny Damon,38,633
Ron Gant,38,634
Frank House,38,635
Roy Howell,38,636
Ruppert Jones,38,637
Willie Kirkland,38,638
Mark Kotsay,38,639
Davey Lopes,38,640
George Mitterwald,38,641
Russ Nixon,38,642
Johnny Oates,38,643
Aaron Robinson,38,644
Juan Samuel,38,645
Carl Sawatski,38,646
Franklin Stubbs,38,647
Walt Weiss,38,648
Tony Armas,37,649
Jason Bay,37,650
Casey Blake,37,651
Michael Brantley,37,652
Clint Courtney,37,653
Vince DiMaggio,37,654
Alfredo Griffin,37,655
Chick Hafey,37,656
Larry Hisle,37,657
Jacque Jones,37,658
Johnnie LeMaster,37,659
Sixto Lezcano,37,660
Gus Mancuso,37,661
Cass Michaels,37,662
Rafael Ramirez,37,663
Willie Randolph,37,664
Aurelio Rodriguez,37,665
Luis Salazar,37,666
Don Wert,37,667
Babe Young,37,668
Paul Bako,36,669
Gus Bell,36,670
Brandon Belt,36,671
Dave Bergman,36,672
Larry Biittner,36,673
Andujar Cedeno,36,674
Michael Cuddyer,36,675
Vladimir Guerrero Jr.,36,676
Jim Hickman,36,677
Bobby Higginson,36,678
Don Hoak,36,679
Ted Kubiak,36,680
Francisco Lindor,36,681
Jo-Jo Moore,36,682
Magglio Ordonez,36,683
Dave Philley,36,684
Chris Snyder,36,685
Elmer Valo,36,686
Daryle Ward,36,687
Mookie Wilson,36,688
Tucker Barnhart,35,689
Todd Benzinger,35,690
Mookie Betts,35,691
Charlie Blackmon,35,692
Bob Brenly,35,693
Chris Cannizzaro,35,694
Wil Cordero,35,695
Craig Counsell,35,696
Roy Cullenbine,35,697
Tim Flannery,35,698
Ray Fosse,35,699
Jimmie Hall,35,700
Jim King,35,701
Hobie Landrith,35,702
Travis Lee,35,703
Hideki Matsui,35,704
Ken O'Dea,35,705
Phil Rizzuto,35,706
Kyle Seager,35,707
Scott Spiezio,35,708
Lee Thomas,35,709
Manny Trillo,35,710
Jose Vidro,35,711
Ben Zobrist,35,712
Javier Báez,34,713
Geoff Blum,34,714
Royce Clayton,34,715
Harry Danning,34,716
Ray Durham,34,717
Leo Durocher,34,718
Jim Dwyer,34,719
Joe Girardi,34,720
Dick Green,34,721
Wayne Gross,34,722
Billy Herman,34,723
Mike Ivie,34,724
Eddie Joost,34,725
Howie Kendrick,34,726
Matt Lawton,34,727
Mike Lieberthal,34,728
Roger Metzger,34,729
Doug Mientkiewicz,34,730
Mitch Moreland,34,731
Jose Offerman,34,732
Joe Orsulak,34,733
Tom Pagnozzi,34,734
Gerald Perry,34,735
Brandon Phillips,34,736
Craig Reynolds,34,737
Rafael Santana,34,738
Duke Sims,34,739
Grady Sizemore,34,740
Dick Stuart,34,741
Cecil Travis,34,742
Todd Walker,34,743
Fred Whitfield,34,744
Woody Woodward,34,745
Frank Bolling,33,746
Ellis Burks,33,747
Danny Cater,33,748
Alex Cora,33,749
Stephen Drew,33,750
Lucas Duda,33,751
Ken Harrelson,33,752
Eddie Kasko,33,753
George Kell,33,754
Ken Landreaux,33,755
Rick Manning,33,756
Heinie Manush,33,757
Mike Marshall,33,758
Gene Moore,33,759
Jerry Morales,33,760
Freddie Patek,33,761
Biff Pocoroba,33,762
Floyd Robinson,33,763
Henry Rodriguez,33,764
Luke Scott,33,765
Hal Smith,33,766
Seth Smith,33,767
Bob Tillman,33,768
Jose Vizcaino,33,769
Joe Vosmik,33,770
Vic Wertz,33,771
Jesus Alou,32,772
Harry Anderson,32,773
Clint Barmes,32,774
Josh Bell,32,775
Dante Bichette,32,776
Bret Boone,32,777
Steve Braun,32,778
Bill Bruton,32,779
Starlin Castro,32,780
Danny Espinosa,32,781
Les Fleming,32,782
Brad Fullmer,32,783
Steve Henderson,32,784
