Name,Runs,Rank
Joe Vosmik,818,594
Dexter Fowler,817,595
Eric Chavez,816,596
Josh Donaldson,816,597
George Bell,814,598
Matt Carpenter,813,599
Abner Dalrymple,813,600
Eric Hosmer,812,601
Ross Youngs,812,602
Bob Allison,811,603
Tommy Davis,811,604
Jim Piersall,811,605
Eddie Stanky,811,606
Jackie Jensen,810,607
Wally Berger,809,608
Michael Cuddyer,809,609
Jo-Jo Moore,809,610
Ned Williamson,809,611
Billy Goodman,807,612
A.J. Pierzynski,807,613
Aubrey Huff,806,614
Lyn Lary,805,615
Nick Swisher,805,616
Tom Brunansky,804,617
Justin Turner,804,618
Aaron Judge,803,619
Russell Martin,803,620
Lenny Dykstra,802,621
Willie Kamm,802,622
Bob Watson,802,623
Woody English,801,624
Jeff Cirillo,800,625
Jay Buhner,798,626
Don Money,798,627
J.T. Snow,798,628
Frank Chance,797,629
Eric Karros,797,630
Bill Russell,796,631
Dave Martinez,795,632
Marcell Ozuna,795,633
Melvin Mora,794,634
Mark Reynolds,794,635
Howie Kendrick,792,636
Frank Thomas,792,637
Andre Thornton,792,638
Nick Castellanos,791,639
Mark Kotsay,790,640
Cub Stricker,790,641
Dave Philley,789,642
Joe Hornung,788,643
Eugenio Suárez,788,644
Baby Doll Jacobson,787,645
Willie Jones,786,646
George Case,785,647
Mickey Rivers,785,648
Dave Foutz,784,649
Ben Oglivie,784,650
Max Flack,783,651
Mike Hargrove,783,652
Jack Smith,783,653
Stan Javier,781,654
Jimmy Williams,781,655
Matty Alou,780,656
Phil Garner,780,657
Jimmy Slagle,779,658
Jimmy Wolf,779,659
Al Bumbry,778,660
Doug DeCinces,778,661
Edgardo Alfonzo,777,662
Chick Hafey,777,663
Jeff Heath,777,664
Garry Maddox,777,665
Yadier Molina,777,666
Paul Blair,776,667
Joe Tinker,774,668
Ozzie Guillen,773,669
Denard Span,773,670
Bob Bailey,772,671
Justin Morneau,772,672
Mike Lowell,771,673
Deacon McGuire,770,674
Chris Speier,770,675
Matt Stairs,770,676
José Abreu,769,677
Bill Mazeroski,769,678
Wally Schang,769,679
Mark Loretta,768,680
Elmer Valo,768,681
Pat Burrell,767,682
Von Hayes,767,683
Lance Johnson,767,684
Blondie Purcell,767,685
Darrell Porter,765,686
Vic Power,765,687
Jack Rowe,764,688
Troy Tulowitzki,762,689
Gregg Jefferies,761,690
Howard Johnson,760,691
Bruce Campbell,759,692
Fred Dunlap,759,693
Alfredo Griffin,759,694
Mike Sweeney,759,695
Dan Uggla,759,696
Michael Brantley,758,697
Harry Steinfeldt,758,698
Matt Lawton,756,699
Danny Tartabull,756,700
Rondell White,756,701
Brian Jordan,755,702
Billy Rogell,755,703
Benito Santiago,755,704
Bill Bradley,754,705
Sam Chapman,754,706
Jimmy Johnston,754,707
Pepper Martin,754,708
Enos Cabell,753,709
Adam LaRoche,752,710
Bob Bescher,749,711
Jacoby Ellsbury,749,712
Jose Guillen,748,713
Richie Sexson,748,714
Shano Collins,747,715
Dan Driessen,746,716
Kyle Schwarber,746,717
Burt Shotton,746,718
Rich Aurilia,745,719
Ron Hunt,745,720
Carlos Pena,745,721
Roy Smalley,745,722
Eddie Burke,744,723
Cecil Fielder,744,724
Brian McCann,742,725
Marlon Byrd,740,726
David DeJesus,740,727
Roy McMillan,739,728
Kevin Seitzer,739,729
John Stone,739,730
Ezra Sutton,739,731
Tony Womack,739,732
John Titus,738,733
Jason Bay,737,734
Ken Keltner,737,735
Wally Moon,737,736
Jean Segura,737,737
Cy Seymour,737,738
Shawon Dunston,736,739
Bobby Higginson,736,740
Aaron Hill,736,741
Freddie Patek,736,742
Damion Easley,735,743
Sid Gordon,735,744
Bill Virdon,735,745
Brian McRae,734,746
Dean Palmer,734,747
Carlos Guillen,733,748
John Mayberry,733,749
Jorge Orta,733,750
Rickie Weeks,733,751
Dave Cash,732,752
Eddie Foster,732,753
Carlos Baerga,731,754
Don Blasingame,731,755
Ron LeFlore,731,756
Shane Victorino,731,757
Mookie Wilson,731,758
Tony Cuccinello,730,759
Pedro Guerrero,730,760
Ivy Olson,730,761
Cliff Carroll,729,762
Bug Holliday,728,763
Charley Jones,728,764
Luis Polonia,728,765
Bill Doran,727,766
Cristian Guzman,727,767
Kevin McReynolds,727,768
Alex Bregman,726,769
Jim Gantner,726,770
Bobby Avila,725,771
Charlie Keller,725,772
Walt Wilmot,725,773
Ian Desmond,724,774
Juan Uribe,724,775
Elbie Fletcher,723,776
B.J. Upton,723,777
Tom Burns,722,778
Bucky Harris,722,779
Julian Javier,722,780
Frank McCormick,722,781
Billy Jurges,721,782
Jeff Burroughs,720,783
Hick Carpenter,720,784
Fred Merkle,720,785
Johnny Temple,720,786
Jose Vidro,720,787
Terry Moore,719,788
Brad Ausmus,718,789
Don Buford,718,790
Monte Cross,718,791
J.J. Hardy,718,792
Curt Walker,718,793
Ralph Garr,717,794
Roy Johnson,717,795
Jesse Barfield,715,796
Jerry Denny,714,797
Cookie Rojas,714,798
Riggs Stephenson,714,799
Gus Suhr,714,800
José Cruz,713,801
Jack O'Connor,713,802
Rico Carty,712,803
Greg Gagne,712,804
Granny Hamner,711,805
Dots Miller,711,806
Mickey Tettleton,711,807
Dave Henderson,710,808
Daniel Murphy,710,809
Bill Wambsganss,710,810
Hank Sauer,709,811
Juan Soto,709,812
Chone Figgins,708,813
Claude Ritchey,708,814
Chris Davis,707,815
Carl Everett,707,816
Darryl Hamilton,707,817
Bill Freehan,706,818
Jack Graney,706,819
Mule Haas,706,820
Deron Johnson,706,821
Buck Herzog,705,822
Danny Murphy,705,823
Kyle Seager,705,824
Al Cowens,704,825
David Eckstein,701,826
Irish Meusel,701,827
Felix Millan,699,828
Omar Moreno,699,829
Terry Turner,699,830
Tommy Holmes,698,831
Johnny Hopp,698,832
Gil McDougald,697,833
Mike Napoli,697,834
Joe Randa,697,835
Yank Robinson,697,836
Thurman Munson,696,837
Amos Strunk,696,838
Tilly Walker,696,839
Pinky Whitney,696,840
Starlin Castro,695,841
Sam Mertes,695,842
Emmett Seery,695,843
Heinie Zimmerman,695,844
Jim McTamany,693,845
Frank Bolling,692,846
Jeff Blauser,691,847
Red Kress,691,848
Sean Casey,690,849
Mark Ellis,690,850
Tony Gonzalez,690,851
Yunel Escobar,689,852
Bill Lange,689,853
Scott Fletcher,688,854
Geoff Jenkins,688,855
Julio Lugo,688,856
Rick Ferrell,687,857
Roberto Kelly,687,858
Fred Schulte,686,859
Glenn Beckert,685,860
Ronnie Belliard,685,861
Art Fletcher,684,862
Joe Rudi,684,863
Anthony Rendon,683,864
Marco Scutaro,683,865
David Segui,683,866
Roger Bresnahan,682,867
Adam Kennedy,682,868
Bill Skowron,682,869
Brandon Belt,681,870
Gorman Thomas,681,871
Richie Zisk,681,872
Bob Boone,679,873
Michael Bourn,678,874
Patsy Dougherty,678,875
Candy LaChance,678,876
Les Mann,677,877
Mark Belanger,676,878
Mike Bordick,676,879
Tom Herr,676,880
Mike Kreevich,676,881
Terry Puhl,676,882
Danny Richardson,676,883
Carlos Gómez,675,884
Salvador Perez,675,885
Brandon Crawford,674,886
Javy Lopez,674,887
Carl Reynolds,672,888
Ray Chapman,671,889
Patsy Tebeau,671,890
Robby Thompson,671,891
Alcides Escobar,670,892
Mike Donlin,669,893
Jack Boyle,668,894
J.T. Realmuto,668,895
Chris Young,668,896
Kris Bryant,667,897
Bobby Byrne,667,898
Dave Collins,667,899
Alex Gonzalez,667,900
Tony Pena,667,901
Rafael Devers,665,902
Taylor Douthit,665,903
Joe Dugan,665,904
Cecil Travis,665,905
Brian Dozier,664,906
Rick Manning,664,907
Al Martin,664,908
Barney McCosky,664,909
Martin Prado,664,910
Jason Varitek,664,911
Dan Gladden,663,912
Bill Mueller,663,913
Buster Posey,663,914
Bip Roberts,663,915
Leo Cardenas,662,916
Norm Siebern,662,917
Jake Stenzel,662,918
Jimmy Austin,661,919
Corey Seager,661,920
Billy Southworth,661,921
Jerry Mumphrey,660,922
Grady Sizemore,660,923
Matt Olson,658,924
Mike Greenwell,657,925
Hubie Brooks,656,926
Rick Burleson,656,927
Oscar Gamble,656,928
Hideki Matsui,656,929
Bones Ely,655,930
Bibb Falk,655,931
Pete O'Brien,654,932
Hub Collins,653,933
Rico Petrocelli,653,934
Luke Sewell,653,935
Gene Tenace,653,936
Kevin Youkilis,653,937
Shorty Fuller,652,938
Larry Hisle,652,939
Carlos Correa,651,940
Johnny Logan,651,941
Lou Piniella,651,942
Pop Corkhill,650,943
Tito Francona,650,944
Lee Lacy,650,945
Zoilo Versalles,650,946
Chad Curtis,648,947
Orlando Hudson,648,948
Kevin Millar,648,949
Dwayne Murphy,648,950
Dmitri Young,648,951
Craig Counsell,647,952
Kid Elberfeld,647,953
Frank Malzone,647,954
Todd Walker,647,955
Ray Boone,645,956
Clete Boyer,645,957
Willie Montanez,645,958
Lyle Overbay,645,959
Casey Blake,644,960
Ira Flagstead,644,961
Ketel Marte,644,962
Erick Aybar,643,963
Bruce Bochte,643,964
Lou Finney,643,965
Rusty Greer,643,966
Cliff Heathcote,643,967
Davy Jones,643,968
Ruppert Jones,643,969
Bobby Richardson,643,970
Pop Smith,643,971
Derek Bell,642,972
Bob Skinner,642,973
Andre Ethier,641,974
Mickey Stanley,641,975
Hans Lobert,640,976
Bill North,640,977
Neifi Perez,640,978
Harold Reynolds,640,979
Jason Thompson,640,980
Dansby Swanson,639,981
Cody Bellinger,638,982
Nemo Leibold,638,983
Shohei Ohtani,638,984
Terry Steinbach,638,985
Rajai Davis,637,986
Chase Headley,637,987
Wilbert Robinson,637,988
Kole Calhoun,636,989
Tom Goodwin,636,990
Leon Wagner,636,991
Javier Báez,635,992
Freddy Parent,633,993
Gerardo Parra,633,994
Randy Velarde,633,995
Jose Vizcaino,633,996
Kelly Johnson,632,997
Jacque Jones,632,998
Whit Merrifield,632,999
Whitey Witt,632,1000
