Name,Sacrifice Flies,Rank
Aaron Boone,36,681
Danny Cater,36,
Brian Dozier,36,
Scott Fletcher,36,
Brent Gates,36,
Yasmani Grandal,36,
Ken Henderson,36,
Enrique Hernández,36,
Shea Hillenbrand,36,
Chuck Hinton,36,
Chris Iannetta,36,
Cliff Johnson,36,
Vance Law,36,
Jerry Lumpe,36,
Doug Mientkiewicz,36,
Miguel Montero,36,
Kendrys Morales,36,
Manny Mota,36,
Mike Napoli,36,
Joe Orsulak,36,
Jorge Polanco,36,
Terry Puhl,36,
Hanley Ramirez,36,
Marco Scutaro,36,
Richie Sexson,36,
Gleyber Torres,36,
Josh Willingham,36,
Butch Wynegar,36,
Joe Adcock,35,709
Bob Allison,35,
Rod Barajas,35,
Tony Bernazard,35,
Ivan Calderon,35,
Darnell Coles,35,
Craig Counsell,35,
David DeJesus,35,
Kevin Elster,35,
Alcides Escobar,35,
Joe Ferguson,35,
Rafael Furcal,35,
Jim Gilliam,35,
Johnny Grubb,35,
Kelly Gruber,35,
Josh Harrison,35,
Chase Headley,35,
Jay Johnstone,35,
Russell Martin,35,
Buck Martinez,35,
Dan Meyer,35,
Wally Moon,35,
Lyle Overbay,35,
Joe Pepitone,35,
Bubba Phillips,35,
Luis Polonia,35,
Rafael Ramirez,35,
J.T. Realmuto,35,
Mickey Rivers,35,
Dansby Swanson,35,
Dickie Thon,35,
Leon Wagner,35,
Gary Ward,35,
Willie Wilson,35,
Jim Wohlford,35,
Dmitri Young,35,
"Sandy Alomar, Jr.",34,745
Garrett Atkins,34,
Jesse Barfield,34,
Todd Benzinger,34,
Don Buford,34,
Alberto Callaspo,34,
Frank Catalanotto,34,
Michael Cuddyer,34,
Rich Dauer,34,
Khris Davis,34,
Mike Devereaux,34,
Jason Heyward,34,
Ruppert Jones,34,
Willie Kirkland,34,
Corey Koskie,34,
Sherm Lollar,34,
Mike Matheny,34,
Pat Meares,34,
Joe Oliver,34,
Spike Owen,34,
Angel Pagan,34,
Aurelio Rodriguez,34,
Pete Runnels,34,
Rey Sanchez,34,
George Springer,34,
Mickey Stanley,34,
Johnny Temple,34,
Cesar Tovar,34,
Ellis Valentine,34,
Kolten Wong,34,
Ozzie Albies,33,775
Marty Barrett,33,
Yuniesky Betancourt,33,
Jerry Browne,33,
Mark Canha,33,
Wil Cordero,33,
Marty Cordova,33,
Mariano Duncan,33,
Adam Duvall,33,
Jim Dwyer,33,
John Flaherty,33,
Curt Flood,33,
Dan Gladden,33,
Jerry Grote,33,
Cristian Guzman,33,
Mickey Hatcher,33,
Don Hoak,33,
Alex Johnson,33,
Lee Lacy,33,
Mike Lum,33,
Lee Mazzilli,33,
Omar Moreno,33,
Max Muncy,33,
Phil Nevin,33,
Troy O'Leary,33,
Marcell Ozuna,33,
AJ Pollock,33,
Jody Reed,33,
Harold Reynolds,33,
Juan Rivera,33,
Johnny Romano,33,
Jerry Royster,33,
Jonathan Schoop,33,
Rennie Stennett,33,
Tom Tresh,33,
Michael Tucker,33,
Danny Valencia,33,
Alex Verdugo,33,
Ty Wigginton,33,
Tony Womack,33,
Joel Youngblood,33,
Bob Aspromonte,32,816
Joe Azcue,32,
Michael Barrett,32,
Juan Beniquez,32,
Randy Bush,32,
Lorenzo Cain,32,
Ron Coomer,32,
Deivi Cruz,32,
Don Demeter,32,
Mark DeRosa,32,
Jacoby Ellsbury,32,
Jim Gentile,32,
Doug Glanville,32,
Chris Gomez,32,
Alex Gonzalez,32,
Robbie Grossman,32,
Jeffrey Hammonds,32,
Mike Heath,32,
Julian Javier,32,
Max Kepler,32,
Milt May,32,
Brian McRae,32,
Felix Millan,32,
Rick Monday,32,
Ryan Mountcastle,32,
Rance Mulliniks,32,
David Murphy,32,
Dave Nilsson,32,
Jose Oquendo,32,
Jay Payton,32,
Kevin Pillar,32,
Jerry Remy,32,
Duke Snider,32,
Lee Stevens,32,
Gus Triandos,32,
Chris Young,32,
Marlon Anderson,31,852
John Bateman,31,
Kurt Bevacqua,31,
Alec Bohm,31,
Dave Cash,31,
Wayne Causey,31,
Ed Charles,31,
Dave Collins,31,
Tony Conigliaro,31,
Joe Crede,31,
Warren Cromartie,31,
Alvin Dark,31,
Ricky Gutierrez,31,
Darryl Hamilton,31,
Tommy Harper,31,
Scott Hatteberg,31,
Todd Hundley,31,
Ray Jablonski,31,
Charles Johnson,31,
Garrett Jones,31,
Ron Kittle,31,
Jose Lind,31,
Jose Lopez,31,
Ramon Martinez,31,
Casey McGehee,31,
David Peralta,31,
Jim Presley,31,
Bip Roberts,31,
Jorge Soler,31,
Christian Walker,31,
Earl Williams,31,
Gene Woodling,31,
Gregg Zaun,31,
Jerry Adair,30,885
Kevin Bass,30,
Earl Battey,30,
Gordon Beckham,30,
Johnny Briggs,30,
Al Bumbry,30,
Chris Carter,30,
Zack Cozart,30,
Julio Cruz,30,
John Ellis,30,
Oscar Gamble,30,
Jerry Hairston,30,
Eric Hinske,30,
Dave Hollins,30,
Rhys Hoskins,30,
Pat Kelly,30,
Mike Lamb,30,
Matt Lawton,30,
Mark Lemke,30,
Keith Lockhart,30,
Johnny Logan,30,
John Lowenstein,30,
Dick McAuliffe,30,
Orlando Merced,30,
Craig Monroe,30,
Matt Olson,30,
Rip Repulski,30,
Bobby Richardson,30,
Paul Schaal,30,
Seth Smith,30,
John Stearns,30,
Eddie Taubensee,30,
Mitch Webster,30,
Don Wert,30,
Bill Almon,29,919
Matty Alou,29,
Sean Berry,29,
Glenn Braggs,29,
Jackie Brandt,29,
Greg Brock,29,
Jack Brohamer,29,
Bill Bruton,29,
C.J. Cron,29,
Mike Davis,29,
Corey Hart,29,
Jim Hickman,29,
Brian Hunter,29,
Austin Jackson,29,
Jim Landis,29,
Jim Lefebvre,29,
Felipe Lopez,29,
John Mabry,29,
Gary Matthews,29,
Charlie Maxwell,29,
Jim Northrup,29,
Gregory Polanco,29,
Wally Post,29,
Nick Punto,29,
Wilson Ramos,29,
Ernest Riles,29,
Austin Riley,29,
Chris Sabo,29,
Corey Seager,29,
Andrelton Simmons,29,
Hal Smith,29,
Derrel Thomas,29,
Bill Tuttle,29,
Zoilo Versalles,29,
Bump Wills,29,
Maury Wills,29,
Pete Alonso,28,955
Yonder Alonso,28,
Alan Bannister,28,
Ray Boone,28,
Emil Brown,28,
Andy Carey,28,
Yoenis Cespedes,28,
Willie Crawford,28,
Rajai Davis,28,
Bo Diaz,28,
Dexter Fowler,28,
Rich Gedman,28,
Toby Hall,28,
Danny Heep,28,
Woodie Held,28,
Mike Hershberger,28,
Butch Hobson,28,
Chris Hoiles,28,
Nick Hundley,28,
Butch Huskey,28,
Lamar Johnson,28,
Kevin Kouzmanoff,28,
Jason Kubel,28,
Mike LaValliere,28,
Mark Lewis,28,
Ryan Ludwick,28,
Mike Marshall,28,
Carmelo Martinez,28,
John Milner,28,
Wil Myers,28,
Dioner Navarro,28,
Otis Nixon,28,
