Name,Batting Average,Rank
Carl Crawford,.290 (.29016),328
Josh Hamilton,.290 (.29010),329
Mike Hargrove,.290 (.29008),330
Billy Williams,.290 (.28995),331
Larry Doyle,.290 (.28991),332
Jimmy Wolf,.290 (.28986),333
Ferris Fain,.290 (.28982),334
Dave Parker,.290 (.28981),335
Roberto Kelly,.290 (.28976),336
Carney Lansford,.290 (.28975),337
Billy Butler,.290 (.28972),338
Hal McRae,.290 (.28969),339
Gene Richards,.290 (.28966),340
Jeff Kent,.290 (.28960),341
Troy Tulowitzki,.290 (.28955),342
Johnny Ray,.290 (.28951),343
Danny Murphy,.289 (.28950),344
Odell Hale,.289 (.28938),345
Alvin Dark,.289 (.28938),
Mark Grudzielanek,.289 (.28928),347
Harold Baines,.289 (.28926),348
Marty McManus,.289 (.28919),349
Paul Goldschmidt,.289 (.28915),350
Wally Joyner,.289 (.28904),351
Milt Stock,.289 (.28901),352
Todd Walker,.289 (.28898),353
DJ LeMahieu,.289 (.28895),354
Bill Buckner,.289 (.28892),355
Chuck Knoblauch,.289 (.28888),356
Wally Moon,.289 (.28887),357
Hanley Ramirez,.289 (.28886),358
Red Schoendienst,.289 (.28883),359
Jerry Mumphrey,.289 (.28880),360
Red Rolfe,.289 (.28879),361
Hank Severeid,.289 (.28873),362
Larry Gardner,.289 (.28873),
John Reilly,.289 (.28864),364
Bob Elliott,.289 (.28862),365
Gregg Jefferies,.289 (.28859),366
Harry Stovey,.289 (.28853),367
Nellie Fox,.288 (.28845),368
Rafael Palmeiro,.288 (.28839),369
Andres Galarraga,.288 (.28817),370
Corey Seager,.288 (.28799),371
Alex Johnson,.288 (.28791),372
Bobby Doerr,.288 (.28789),373
Lonnie Smith,.288 (.28781),374
Dave Magadan,.288 (.28781),
Ron LeFlore,.288 (.28780),376
Jason Kendall,.288 (.28779),377
Tony Fernandez,.288 (.28770),378
Paul O'Neill,.288 (.28765),379
Nick Markakis,.288 (.28764),380
Ken Boyer,.287 (.28746),381
Carson Bigbee,.287 (.28745),382
Dummy Hoy,.287 (.28744),383
Xander Bogaerts,.287 (.28737),384
Augie Galan,.287 (.28735),385
Lu Blue,.287 (.28726),386
Reggie Smith,.287 (.28722),387
Adrian Gonzalez,.287 (.28716),388
Eddie Murray,.287 (.28714),389
Richie Zisk,.287 (.28713),390
Javy Lopez,.287 (.28708),391
Jack Smith,.287 (.28707),392
Gavvy Cravath,.287 (.28702),393
Martin Prado,.287 (.28699),394
Lou Finney,.287 (.28698),395
George Burns,.287 (.28684),396
Walter Holke,.287 (.28680),397
Jack McCarthy,.287 (.28677),398
Greg Gross,.287 (.28652),399
Whitey Witt,.287 (.28650),400
Lee Lacy,.286 (.28644),401
Phil Bradley,.286 (.28633),402
Charlie Keller,.286 (.28628),403
Felipe Alou,.286 (.28628),
Dee Strange-Gordon,.286 (.28623),405
Johnny Cooney,.286 (.28618),406
Vern Stephens,.286 (.28613),407
David Ortiz,.286 (.28611),408
Adrián Beltré,.286 (.28605),409
Jack Glasscock,.286 (.28602),410
Christian Yelich,.286 (.28591),411
Tony Gonzalez,.286 (.28585),412
Vada Pinson,.286 (.28585),
Red Kress,.286 (.28583),414
Edgar Renteria,.286 (.28580),415
Sparky Adams,.286 (.28577),416
Mickey Vernon,.286 (.28576),417
Woody English,.286 (.28571),418
Paul Lo Duca,.286 (.28571),
Dick Groat,.286 (.28568),420
Bill White,.286 (.28567),421
Cesar Cedeno,.285 (.28550),422
Willie Wilson,.285 (.28547),423
Andy Pafko,.285 (.28544),424
Robin Yount,.285 (.28543),425
Miguel Tejada,.285 (.28539),426
Ezra Sutton,.285 (.28538),427
Eddie Waitkus,.285 (.28538),
Al Rosen,.285 (.28537),429
Clyde Milan,.285 (.28536),430
Alan Trammell,.285 (.28535),431
Melky Cabrera,.285 (.28526),432
Carl Yastrzemski,.285 (.28520),433
Walker Cooper,.285 (.28520),
Starling Marte,.285 (.28503),435
Jeff Conine,.285 (.28489),436
Carlos Guillen,.285 (.28483),437
Ted Simmons,.285 (.28479),438
Andre Ethier,.285 (.28479),
Jack Clements,.285 (.28474),440
Carlos Lee,.285 (.28473),441
Lenny Dykstra,.285 (.28471),442
Garry Maddox,.285 (.28463),443
Max Carey,.285 (.28463),
Yogi Berra,.285 (.28458),445
Fielder Jones,.285 (.28457),446
Ryne Sandberg,.285 (.28456),447
Carlos González,.285 (.28452),448
Edgardo Alfonzo,.284 (.28449),449
Johnny Damon,.284 (.28441),450
Johnny Temple,.284 (.28440),451
Del Ennis,.284 (.28439),452
Randy Winn,.284 (.28435),453
Fred McGriff,.284 (.28434),454
Jose Cruz,.284 (.28432),455
Casey Stengel,.284 (.28428),456
Joe Randa,.284 (.28427),457
Jimmie Wilson,.284 (.28422),458
Jim Edmonds,.284 (.28419),459
Andy High,.284 (.28409),460
Matt Kemp,.284 (.28405),461
Jacoby Ellsbury,.284 (.28395),462
Patsy Dougherty,.284 (.28390),463
Vic Power,.284 (.28382),464
Dan McGann,.284 (.28380),465
Justin Turner,.284 (.28379),466
Dick Bartell,.284 (.28379),
Wally Schang,.284 (.28378),468
"Ken Griffey, Jr.",.284 (.28375),469
Kevin Mitchell,.284 (.28374),470
James Loney,.284 (.28369),471
Gene Woodling,.284 (.28369),
Duffy Lewis,.284 (.28369),
Amos Strunk,.284 (.28366),474
Rondell White,.284 (.28355),475
Nolan Arenado,.283 (.28349),476
Sid Gordon,.283 (.28345),477
Jim Delahanty,.283 (.28330),478
Don Slaught,.283 (.28329),479
Larry Doby,.283 (.28328),480
Jon Jay,.283 (.28322),481
Jose Reyes,.283 (.28310),482
Damaso Garcia,.283 (.28309),483
Aramis Ramirez,.283 (.28306),484
José Abreu,.283 (.28304),485
Fred Lynn,.283 (.28303),486
J.D. Martinez,.283 (.28300),487
Luis Gonzalez,.283 (.28295),488
Eric Young,.283 (.28289),489
Floyd Robinson,.283 (.28289),
Delmon Young,.283 (.28286),491
Dave Cash,.283 (.28286),
Glenn Beckert,.283 (.28283),493
Shawn Green,.283 (.28283),
Lorenzo Cain,.283 (.28280),495
Dave Winfield,.283 (.28265),496
Prince Fielder,.283 (.28260),497
Mike Kreevich,.283 (.28251),498
Kent Hrbek,.282 (.28246),499
John Titus,.282 (.28246),
Les Mann,.282 (.28244),501
Bruce Bochte,.282 (.28244),
Juan Soto,.282 (.28242),503
Yunel Escobar,.282 (.28241),504
Elmer Valo,.282 (.28236),505
Bill Skowron,.282 (.28231),506
Ken Singleton,.282 (.28224),507
Tim Salmon,.282 (.28210),508
George Case,.282 (.28210),
Hideki Matsui,.282 (.28208),510
Fernando Vina,.282 (.28208),
Tom Paciorek,.282 (.28197),512
Dick Siebert,.282 (.28185),513
Brian Jordan,.282 (.28178),514
Tommy Henrich,.282 (.28177),515
Ketel Marte,.282 (.28174),516
Darin Erstad,.282 (.28171),517
B.J. Surhoff,.282 (.28167),518
Stan Spence,.282 (.28158),519
Willie Stargell,.282 (.28157),520
Pat Tabler,.282 (.28151),521
Al Bumbry,.281 (.28142),522
Gus Bell,.281 (.28141),523
Derrek Lee,.281 (.28138),524
Gary Matthews,.281 (.28138),
Craig Biggio,.281 (.28135),526
Frank LaPorte,.281 (.28134),527
Justin Morneau,.281 (.28128),528
Denard Span,.281 (.28126),529
Maury Wills,.281 (.28123),530
Warren Cromartie,.281 (.28113),531
José Ramírez,.281 (.28112),532
Jean Segura,.281 (.28111),533
Ed Konetchy,.281 (.28108),534
Ival Goodman,.281 (.28106),535
Hy Myers,.281 (.28106),
Danny Litwhiler,.281 (.28105),537
José Iglesias,.281 (.28097),538
Kevin Youkilis,.281 (.28087),539
Tilly Walker,.281 (.28084),540
Steve Sax,.281 (.28084),
Willie Kamm,.281 (.28081),542
Scott Rolen,.281 (.28075),543
Wally Pipp,.281 (.28073),544
Harry Hooper,.281 (.28071),545
Rick Ferrell,.281 (.28069),546
Bernie Friberg,.281 (.28064),547
Bryce Harper,.281 (.28062),548
