Name,GIDP,Rank
Ben Chapman,142,377
Carlos Correa,142,
Doug Rader,142,
Tim Raines,142,
Mike Sweeney,142,
Justin Upton,142,
Al Cowens,141,383
Ron Hansen,141,
Rich Aurilia,140,385
Keith Moreland,140,
Claudell Washington,140,
Norm Cash,139,388
Hod Ford,139,
Dave Kingman,139,
Andrew McCutchen,139,
Tony Oliva,139,
Alexei Ramirez,139,
Joe Randa,139,
Ryne Sandberg,139,
Enos Slaughter,139,
Rick Burleson,138,397
Bill Freehan,138,
Troy Glaus,138,
Alex Gonzalez,138,
Orlando Hudson,138,
Brook Jacoby,138,
Ed Kranepool,138,
Paul Lo Duca,138,
Wilson Ramos,138,
Ted Sizemore,138,
Richie Zisk,138,
Nick Castellanos,137,408
Sam Chapman,137,
Joe Girardi,137,
Hanley Ramirez,137,
Clete Boyer,136,412
Mike Greenwell,136,
Bryce Harper,136,
Hector Lopez,136,
Jonathan Lucroy,136,
Jerry Priddy,136,
Jimmy Rollins,136,
Rey Sanchez,136,
Felipe Alou,135,420
Josh Donaldson,135,
Jim Gantner,135,
Hal Lanier,135,
J.T. Snow,135,
Mo Vaughn,135,
Eric Young,135,
Enos Cabell,134,427
Alvin Dark,134,
Frank Demaree,134,
David Freese,134,
Chris Gomez,134,
Aaron Hill,134,
Mark McLemore,134,
Ken McMullen,134,
Ronnie Belliard,133,435
Ray Boone,133,
Tony Clark,133,
Darrell Evans,133,
Eddie Miller,133,
Pete O'Brien,133,
Kevin Seitzer,133,
Mickey Stanley,133,
Eddie Yost,133,
"Sandy Alomar, Jr.",132,444
Josh Bell,132,
Joe Carter,132,
Ron Coomer,132,
Ian Desmond,132,
Don Kessinger,132,
Bob Aspromonte,131,450
Rick Dempsey,131,
Phil Garner,131,
Jerry Grote,131,
David Segui,131,
Nick Swisher,131,
Michael Brantley,130,456
Eric Chavez,130,
Joe DiMaggio,130,
Sam Mele,130,
Glenn Wilson,130,
Luke Appling,129,461
Nomar Garciaparra,129,
Gus Mancuso,129,
Joe Rudi,129,
Andre Thornton,129,
Sammy White,129,
Preston Wilson,129,
Rich Dauer,128,468
Willie Davis,128,
Dan Driessen,128,
Damion Easley,128,
Alex Gonzalez,128,
Adam LaRoche,128,
Jim Northrup,128,
Bill Robinson,128,
Gus Triandos,128,
Jason Varitek,128,
Earl Battey,127,478
Rico Petrocelli,127,
Tony Phillips,127,
Jonathan Schoop,127,
Everett Scott,127,
Al Smith,127,
Paul Waner,127,
Paul Blair,126,485
Jeff Francoeur,126,
Yasmani Grandal,126,
Tommy Helms,126,
Davey Johnson,126,
Ralph Kiner,126,
Davey Lopes,126,
Johnny Ray,126,
Alan Ashby,125,493
Jim Fregosi,125,
Frankie Gustine,125,
Jose Hernandez,125,
Larry Herndon,125,
Billy Johnson,125,
Terry Kennedy,125,
Ryan Klesko,125,
Johnny Logan,125,
Jorge Orta,125,
Dave Cash,124,503
Pedro Feliz,124,
Tony Gonzalez,124,
Jerry Morales,124,
Bobby Murcer,124,
Daniel Murphy,124,
Joe Pepitone,124,
Jim Spencer,124,
Eugenio SuÃ¡rez,124,
Ben Zobrist,124,
John Bateman,123,513
David Bell,123,
Derek Bell,123,
Jay Buhner,123,
Donn Clendenon,123,
Mark Koenig,123,
Eddie Mathews,123,
Bob Meusel,123,
Justin Morneau,123,
Roy White,123,
Jim Edmonds,122,523
Darrin Fletcher,122,
Pedro Guerrero,122,
Jim Ray Hart,122,
Ken Henderson,122,
Shea Hillenbrand,122,
Don Hoak,122,
Mike Moustakas,122,
Ben Oglivie,122,
Mickey Owen,122,
Alfonso Soriano,122,
Ty Wigginton,122,
Bobby Avila,121,535
Larry Bowa,121,
Smoky Burgess,121,
Brandon Crawford,121,
Tony Cuccinello,121,
Babe Dahlgren,121,
Dan Ford,121,
Billy Goodman,121,
Johnny Groth,121,
Mike Heath,121,
Don Money,121,
Wally Moon,121,
Al Rosen,121,
Reggie Sanders,121,
Roy Smalley,121,
Christian Yelich,121,
Luis Castillo,120,551
Marty Marion,120,
Cecil Travis,120,
Pat Burrell,119,554
Jose Cruz,119,
Tim Foli,119,
Carlos Guillen,119,
Mike Kreevich,119,
Brent Mayne,119,
Butch Wynegar,119,
Rick Cerone,118,561
Brian Jordan,118,
Peanuts Lowrey,118,
Tommy Pham,118,
Jody Reed,118,
Andy Seminick,118,
Dick Stuart,118,
Birdie Tebbetts,118,
Randy Velarde,118,
Jimmy Bloodworth,117,570
Deivi Cruz,117,
Ferris Fain,117,
Curt Flood,117,
Scott Hatteberg,117,
Adam Lind,117,
Hank Majeski,117,
Starling Marte,117,
Kevin Millar,117,
Mark Reynolds,117,
Jimmy Wynn,117,
Juan Encarnacion,116,581
Hoot Evers,116,
Bernard Gilkey,116,
Ryan Howard,116,
Jacque Jones,116,
Chuck Knoblauch,116,
Mike Lansing,116,
Cass Michaels,116,
Ron Oester,116,
Juan Rivera,116,
George Springer,116,
Bob Allison,115,592
Marlon Byrd,115,
Don Slaught,115,
Shannon Stewart,115,
Glenn Beckert,114,596
Frank Bolling,114,
Lou Brock,114,
Mike Cameron,114,
Ozzie Guillen,114,
Steve Kemp,114,
Mike Lieberthal,114,
Mike Napoli,114,
Aaron Rowand,114,
Bo Diaz,113,605
Alcides Escobar,113,
Chase Headley,113,
Jim Hegan,113,
Geoff Jenkins,113,
Roberto Kelly,113,
Matt Lawton,113,
Mickey Mantle,113,
Gerardo Parra,113,
Rafael Ramirez,113,
Jackie Robinson,113,
Marco Scutaro,113,
Pat Tabler,113,
Jason Thompson,113,
Earl Torgeson,113,
Kevin Bass,112,620
Eric Davis,112,
Vladimir Guerrero Jr.,112,
Ricky Gutierrez,112,
Lenny Harris,112,
Rogers Hornsby,112,
Charles Johnson,112,
Carlos May,112,
Melvin Mora,112,
Phil Nevin,112,
Ken Oberkfell,112,
Rennie Stennett,112,
Alex Bregman,111,632
Wilmer Flores,111,
Greg Gagne,111,
Bob Horner,111,
Jose Lopez,111,
Miguel Rojas,111,
Elmer Valo,111,
Edgardo Alfonzo,110,639
Wil Cordero,110,
Marty Cordova,110,
Alex Gordon,110,
Ron Hassey,110,
Don Kolloway,110,
Justin Smoak,110,
Danny Tartabull,110,
Gene Woodling,110,
Tony Batista,109,648
Gus Bell,109,
Lorenzo Cain,109,
Chico Carrasquel,109,
Scott Fletcher,109,
Kenny Lofton,109,
Willard Marshall,109,
Damian Miller,109,
Tris Speaker,109,
Matt Stairs,109,
Don Wert,109,
Dan Wilson,109,
Delmon Young,109,
Ken Berry,108,661
Yan Gomes,108,
Steve Henderson,108,
Randy Jackson,108,
Cleon Jones,108,
Aaron Judge,108,
Austin Kearns,108,
John Mayberry,108,
Jerry Mumphrey,108,
Troy O'Leary,108,
Jay Payton,108,
Mike Stanley,108,
Erick Aybar,107,673
Javier BÃ¡ez,107,
Casey Blake,107,
Bobby Bonds,107,
Steve Buechele,107,
Dom DiMaggio,107,
Tito Fuentes,107,
Brian Harper,107,
Phil Masi,107,
Phil Rizzuto,107,
Hank Sauer,107,
Kyle Seager,107,
Bert Campaneris,106,685
Jody Davis,106,
Maikel Franco,106,
Randal Grichuk,106,
Ken Griffey,106,
Odell Hale,106,
Mickey Hatcher,106,
Adam Kennedy,106,
Casey McGehee,106,
Miguel Montero,106,
Greg Myers,106,
Carlos Ruiz,106,
Mike Scioscia,106,
Ed Sprague,106,
Mark Trumbo,106,
Gus Zernial,106,
Michael Barrett,105,701
Gary DiSarcina,105,
AvisaÃ­l GarcÃ­a,105,
Richie Hebner,105,
Joe Morgan,105,
Hal Morris,105,
Lloyd Moseby,105,
Bill Mueller,105,
Rance Mulliniks,105,
Dave Valle,105,
Jose Vizcaino,105,
Kevin Young,105,
Alberto Callaspo,104,713
Jim Davenport,104,
Andre Ethier,104,
Jason Heyward,104,
Francisco Lindor,104,
Rick Manning,104,
Charlie Moore,104,
Bob Nieman,104,
Jim Presley,104,
J.T. Realmuto,104,
Phil Cavarretta,103,723
Tito Francona,103,
Ben Grieve,103,
Lance Johnson,103,
Del Rice,103,
Daryl Spencer,103,
Joe Stripp,103,
Earl Williams,103,
Bobby Wine,103,
Dick Bartell,102,732
Ivan Calderon,102,
Jorge Cantu,102,
Chad Curtis,102,
Yuli Gurriel,102,
Stan Javier,102,
Lamar Johnson,102,
Jose Lind,102,
Darrell Porter,102,
Jorge Soler,102,
Todd Walker,102,
Matt Wieters,102,
Matty Alou,101,744
Yuniesky Betancourt,101,
Jay Bruce,101,
Shin-Soo Choo,101,
Brandon Inge,101,
David Justice,101,
Hideki Matsui,101,
Dan Meyer,101,
Bob Oliver,101,
Wally Pipp,101,
Greg Vaughn,101,
Jesse Barfield,100,755
Will Clark,100,
Spud Davis,100,
Von Hayes,100,
Tom Herr,100,
Mike Hershberger,100,
Ron Hunt,100,
Julian Javier,100,
Buddy Lewis,100,
Kevin McReynolds,100,
Jose Offerman,100,
Matt Olson,100,
Marty Perez,100,
Bobby Richardson,100,
Eddie Robinson,100,
Yorvit Torrealba,100,
Tommie Agee,99,771
Jeromy Burnitz,99,
Doc Cramer,99,
Warren Cromartie,99,
C.J. Cron,99,
Khris Davis,99,
Delino DeShields,99,
Dick Green,99,
Jim Hickman,99,
Garry Maddox,99,
Tim McCarver,99,
Denis Menke,99,
Johnny Mize,99,
Manny Mota,99,
Bill Terry,99,
Gio Urshela,99,
Jayson Werth,99,
Don Zimmer,99,
Johnny Callison,98,789
Shawon Dunston,98,
Ron Gant,98,
Dan Gladden,98,
Dave Magadan,98,
Candy Maldonado,98,
Mike Matheny,98,
Milt May,98,
Tim Salmon,98,
Marcus Semien,98,
Juan Soto,98,
B.J. Upton,98,
Christian VÃ¡zquez,98,
Wally Westlake,98,
Devon White,98,
Randy Winn,98,
Dale Alexander,97,805
Pete Alonso,97,
Ollie Brown,97,
Alvin Davis,97,
Larry Doby,97,
John Flaherty,97,
Elbie Fletcher,97,
Pat Kelly,97,
Jeff King,97,
Jerry Lumpe,97,
Mitch Moreland,97,
Don Mueller,97,
Buddy Rosar,97,
Neil Walker,97,
Ernie Whitt,97,
Dick Williams,97,
Tim Anderson,96,821
Willson Contreras,96,
David DeJesus,96,
Lou Finney,96,
Frankie Hayes,96,
Tommy Holmes,96,
Casey Kotchman,96,
Sixto Lezcano,96,
Billy Martin,96,
Spike Owen,96,
Fernando Tatis,96,
Gene Alley,95,832
Hank Bauer,95,
Larry Brown,95,
Adam Dunn,95,
Doug Flynn,95,
Todd Frazier,95,
Ken Harrelson,95,
Larry Hisle,95,
Dean Palmer,95,
Yonder Alonso,94,841
