Name,Triples,Rank
Eduardo Escobar,46,
Tito Fuentes,46,
Chick Galloway,46,
Wally Gerber,46,
Greg Gross,46,
Vladimir Guerrero,46,
Jim Hegan,46,
Harvey Hendrick,46,
Charlie Irwin,46,
Willie McCovey,46,
Cass Michaels,46,
Dick Padden,46,
Jerry Priddy,46,
Aurelio Rodriguez,46,
Amed Rosario,46,
Al Smith,46,
Jack Stivetts,46,
Earl Torgeson,46,
George Treadway,46,
Eric Young,46,
Ethan Allen,45,822
Doug Baird,45,
Sam Bohne,45,
Melky Cabrera,45,
Rick Ferrell,45,
Charlie Ganzel,45,
Patrick Gillespie,45,
Mark Grace,45,
Mule Haas,45,
Lee Handley,45,
Bud Harrelson,45,
Arthur Irwin,45,
Jackie Jensen,45,
Ken Landreaux,45,
Doc Lavan,45,
Peanuts Lowrey,45,
Ed Morgan,45,
Bobby Murcer,45,
Homer Smoot,45,
Sammy Sosa,45,
Willie Upshaw,45,
Johnny Wyrostek,45,
Bob Allen,44,844
Gene Alley,44,
Don Buford,44,
Ed Cartwright,44,
Gil Coan,44,
Brandon Crawford,44,
Jack Crooks,44,
Curt Flood,44,
Bernie Friberg,44,
Wilbur Good,44,
Billy Goodman,44,
Don Hoak,44,
Randy Jackson,44,
Chet Laabs,44,
Ken Oberkfell,44,
Marv Owen,44,
Cal Ripken Jr.,44,
Dave Robertson,44,
Yank Robinson,44,
Johnny Roseboro,44,
Frank Snyder,44,
Pete Suder,44,
Frank Taveras,44,
Eddie Waitkus,44,
Roy Weatherly,44,
Ben Zobrist,44,
Ed Abbaticchio,43,870
Bob Bailey,43,
Beals Becker,43,
Phil Bradley,43,
Johnny Briggs,43,
George Case,43,
Bill Cissell,43,
Fred Corey,43,
Rajai Davis,43,
Lenny Dykstra,43,
Bill Everitt,43,
Shorty Fuller,43,
Steve Garvey,43,
Charlie Gelbert,43,
Sid Gordon,43,
George Harper,43,
Al Lopez,43,
Fred Lynn,43,
Rick Manning,43,
Ketel Marte,43,
Danny Moeller,43,
Charlie Moore,43,
Pat Mullin,43,
Tom Poorman,43,
Lew Riggs,43,
Scott Rolen,43,
Deion Sanders,43,
Joe Stripp,43,
Trea Turner,43,
Juan Uribe,43,
Al Zarilla,43,
Harry Bay,42,901
Jimmy Brown,42,
Nick Castellanos,42,
Chris Chambliss,42,
Michael Cuddyer,42,
Adam Kennedy,42,
Lee Lacy,42,
Billy Maloney,42,
Mike Mansell,42,
Roger Maris,42,
Barry McCormick,42,
Tommy McCraw,42,
Jim Northrup,42,
Jack O'Brien,42,
Frank O'Rourke,42,
Rebel Oakes,42,
Shohei Ohtani,42,
Gerardo Parra,42,
Connie Ryan,42,
Hank Severeid,42,
Roy Sievers,42,
Fred Snodgrass,42,
Moose Solters,42,
Joe Sommer,42,
Vern Stephens,42,
B.J. Surhoff,42,
Dickie Thon,42,
Del Unser,42,
George Watkins,42,
Vic Wertz,42,
Jo-Jo White,42,
Harry Wolter,42,
Norm Cash,41,933
Joey Cora,41,
Hank Edwards,41,
Hoot Evers,41,
Carlos Gómez,41,
Solly Hemus,41,
Tom Herr,41,
Jason Heyward,41,
Walter Johnson,41,
Bob Kennedy,41,
Ian Kinsler,41,
Johnny Logan,41,
Alex Metzler,41,
Chief Meyers,41,
Lefty O'Doul,41,
Lou Piniella,41,
Scott Podsednik,41,
José Ramírez,41,
Pete Reiser,41,
Benito Santiago,41,
George Selkirk,41,
Harry Simpson,41,
Rennie Stennett,41,
Shannon Stewart,41,
Jose Valentin,41,
Gary Ward,41,
Bob Watson,41,
Kevin Bass,40,960
Mookie Betts,40,
Frank Bolling,40,
Eddie Bressoud,40,
Tom Brookens,40,
Jack Burdock,40,
Starlin Castro,40,
Walker Cooper,40,
Craig Counsell,40,
Bert Daniels,40,
Leon Durham,40,
Travis Fryman,40,
Dan Gladden,40,
Carlos González,40,
Toby Harrah,40,
Buddy Hassett,40,
Willie Horton,40,
Stan Javier,40,
Kelly Johnson,40,
Davy Jones,40,
Carney Lansford,40,
Hal Lee,40,
Denis Menke,40,
Troy O'Leary,40,
Lenny Randle,40,
Pop Schriver,40,
Dick Siebert,40,
Bill Sweeney,40,
Larry Twitchell,40,
Moises Alou,39,989
Tony Armas,39,
Sam Barkley,39,
Gregor Blanco,39,
Marlon Byrd,39,
Jack Clark,39,
Alex Cora,39,
Bill Coughlin,39,
Walton Cruise,39,
Bill Doran,39,
Jim Eisenreich,39,
Clyde Engle,39,1000
Doug Flynn,39,
Gary Gaetti,39,
Debs Garms,39,
Tom Goodwin,39,
Billy Hamilton,39,
Frank Hankinson,39,
Torii Hunter,39,
Ralph Kiner,39,
DJ LeMahieu,39,
Willard Marshall,39,
Lee Maye,39,
Jimmy McAleer,39,
Austin McHenry,39,
Sam Mele,39,
Dale Murphy,39,
Ernie Orsatti,39,
Terry Pendleton,39,
Ollie Pickering,39,
Doug Rader,39,
Topper Rigney,39,
Brian Roberts,39,
Johnny Rucker,39,
Joe Rudi,39,
Pop Snyder,39,
Robby Thompson,39,
Will Venable,39,
Jim Whitney,39,
Jimmy Wynn,39,
