Name,IBB,Rank
Jody Davis,44,
Shawon Dunston,44,
Marquis Grissom,44,
Tony Phillips,44,
Frankie Pytlak,44,
Tom Brunansky,43,547
Darrel Chaney,43,
Shin-Soo Choo,43,
Mike Epstein,43,
Alex Johnson,43,
Adam Kennedy,43,
Ray Knight,43,
Kenny Lofton,43,
Javy Lopez,43,
John Mabry,43,
Al Martin,43,
Manny Mota,43,
Jose Pagan,43,
Jeff Reed,43,
Ernie Whitt,43,
Taffy Wright,43,
Ryan Zimmerman,43,
Willie Aikens,42,564
Earl Battey,42,
Mike Fitzgerald,42,
Nick Johnson,42,
Cleon Jones,42,
Whitey Kurowski,42,
Roger Maris,42,
Damian Miller,42,
Edgar Renteria,42,
Nick Swisher,42,
Mark Whiten,42,
Rick Wilkins,42,
Carlos Baerga,41,576
Jay Buhner,41,
Melky Cabrera,41,
Andy Etchebarren,41,
Johnny Grubb,41,
Randy Hundley,41,
Jeffrey Leonard,41,
Dave May,41,
Lee Mazzilli,41,
Omar Moreno,41,
Stan Spence,41,
Rennie Stennett,41,
Gorman Thomas,41,
Bill Virdon,41,
Pete Ward,41,
Butch Wynegar,41,
Yordan Alvarez,40,592
Matt Carpenter,40,
Jermaine Dye,40,
Jim Gantner,40,
Troy Glaus,40,
Ryan Hanigan,40,
Elrod Hendricks,40,
Jose Hernandez,40,
Pinky Higgins,40,
Tony Lazzeri,40,
Felix Millan,40,
Dave Nilsson,40,
Salvador Perez,40,
Kevin Elster,39,605
Carl Everett,39,
Maikel Franco,39,
Dick Groat,39,
Carlos Guillen,39,
Grady Hatton,39,
Bob Horner,39,
Julian Javier,39,
Derek Jeter,39,
Harvey Kuenn,39,
Jason LaRue,39,
Dale Long,39,
Kendrys Morales,39,
Dwayne Murphy,39,
Jim Pagliaroni,39,
Johnny Ray,39,
Gene Richards,39,
Dick Sisler,39,
Dansby Swanson,39,
Rube Walker,39,
Cy Williams,39,
Gus Zernial,39,
Matty Alou,38,627
George Altman,38,
Michael Barrett,38,
Milton Bradley,38,
Jose Cardenal,38,
José Cruz,38,
Johnny Damon,38,
Ron Gant,38,
Frank House,38,
Roy Howell,38,
Ruppert Jones,38,
Willie Kirkland,38,
Mark Kotsay,38,
Davey Lopes,38,
George Mitterwald,38,
Russ Nixon,38,
Johnny Oates,38,
Aaron Robinson,38,
Juan Samuel,38,
Carl Sawatski,38,
Franklin Stubbs,38,
Walt Weiss,38,
Tony Armas,37,649
Jason Bay,37,
Casey Blake,37,
Michael Brantley,37,
Clint Courtney,37,
Vince DiMaggio,37,
