Name,Hit by Pitch,Rank
Gary Sánchez,53,
George Scott,53,
Giancarlo Stanton,53,
John Valentin,53,
Randy Winn,53,
Brian Anderson,52,502
Erick Aybar,52,
Yogi Berra,52,
Bill Coughlin,52,
Jake Cronenworth,52,
Tom Daly,52,
Mark DeRosa,52,
Curt Flood,52,
George Foster,52,
Jim Gantner,52,
Bill Gleason,52,
Didi Gregorius,52,
Bill Hallman,52,
Corey Hart,52,
Mike Lowell,52,
Johnny Mize,52,
Dylan Moore,52,
Sean Murphy,52,
Bill Nicholson,52,
Austin Riley,52,
Richie Sexson,52,
Carlos Beltran,51,523
John Buck,51,
Willie Davis,51,
Dexter Fowler,51,
Brian Giles,51,
Paul Goldschmidt,51,
Joe Judge,51,
Billy Jurges,51,
Shane Mack,51,
Nick Markakis,51,
Freddy Parent,51,
Luke Raley,51,
Roy Sievers,51,
Frank Thomas,51,
Luis Urías,51,
Preston Wilson,51,
Joe Yeager,51,
Ronald Acuña Jr.,50,540
Roberto Alomar,50,
Home Run Baker,50,
Mookie Betts,50,
Fred Carroll,50,
Marty Cordova,50,
Johnny Damon,50,
Charlie Gehringer,50,
Rhys Hoskins,50,
John Jaha,50,
Cliff Johnson,50,
Bill Keister,50,
Kevin Kouzmanoff,50,
Kirt Manwaring,50,
Tommy McCarthy,50,
Graig Nettles,50,
Desi Relaford,50,
Eddie Robinson,50,
Kevin Stocker,50,
Johnny Bates,49,559
George Bell,49,
Lou Brock,49,
Randy Bush,49,
Bobby Byrne,49,
Lorenzo Cain,49,
Jeimer Candelario,49,
Greg Colbrunn,49,
Michael Cuddyer,49,
Joe Cunningham,49,
Jack Doyle,49,
Adam Duvall,49,
Jim Edmonds,49,
Darrin Fletcher,49,
Ival Goodman,49,
Bryce Harper,49,
Roy Hartzell,49,
Roberto Kelly,49,
Lee May,49,
Bengie Molina,49,
Phil Rizzuto,49,
Randy Velarde,49,
Mickey Vernon,49,
Omar Vizquel,49,
CJ Abrams,48,583
Luis Alicea,48,
Moises Alou,48,
Norichika Aoki,48,
Jason Bartlett,48,
Brandon Belt,48,
Bob Bescher,48,
Khris Davis,48,
John Grim,48,
Ricky Gutierrez,48,
Bill Hinchman,48,
Rogers Hornsby,48,
Aubrey Huff,48,
Doc Johnston,48,
Harmon Killebrew,48,
Darren Lewis,48,
Kendrys Morales,48,
Bryan Reynolds,48,
Dick Schofield,48,
George Sisler,48,
Donovan Solano,48,
Jorge Soler,48,
Mike Stanley,48,
Terry Steinbach,48,
Joe Sullivan,48,
Bob Watson,48,
Harry Wolverton,48,
Christian Yelich,48,
Robin Yount,48,
Tony Batista,47,612
Ray Blades,47,
Frank Bowerman,47,
Scott Brosius,47,
Eric Byrnes,47,
Cliff Carroll,47,
Carl Crawford,47,
Brian Dozier,47,
Sal Fasano,47,
Wilmer Flores,47,
Dan Ford,47,
Logan Forsythe,47,
Andy Fox,47,
Carl Furillo,47,
Miller Huggins,47,
Max Kepler,47,
Carlos Lee,47,
Paul Molitor,47,
Mike Morse,47,
Max Muncy,47,
Danny Murphy,47,
Isaac Paredes,47,
Paul Radford,47,
Troy Tulowitzki,47,
Christian Walker,47,
Bobby Wallace,47,
Bill Wambsganss,47,
Jimmy Welsh,47,
Rod Barajas,46,640
Tom Brown,46,
Clint Courtney,46,
Rajai Davis,46,
David Dellucci,46,
Joe DiMaggio,46,
Jacoby Ellsbury,46,
Troy Glaus,46,
Danny Green,46,
Ernie Lombardi,46,
Denis Menke,46,
Justin Morneau,46,
Scott Servais,46,
Juan Uribe,46,
Arky Vaughan,46,
Perry Werden,46,
Charlie Babb,45,656
Royce Clayton,45,
Lou Gehrig,45,
Jim Gentile,45,
Adrian Gonzalez,45,
Alex Gonzalez,45,
Ben Grieve,45,
Wes Helms,45,
Pete Incaviglia,45,
Isiah Kiner-Falefa,45,
Fred Luderus,45,
Ryan Ludwick,45,
Mike Matheny,45,
Carlos May,45,
Jim McTamany,45,
