Name,Games,Rank
Rube Walberg,140,252
Wiley Piatt,139,253
Bill Carrick,138,254
Lefty Leifield,138,255
George Mogridge,138,256
Hal Schumacher,138,257
Rick Wise,138,258
Howie Camnitz,137,259
Ed Cushman,137,260
Pete Donohue,137,261
Sandy Koufax,137,262
Al Mays,137,263
Doc McJames,137,264
Allie Reynolds,137,265
Schoolboy Rowe,137,266
Rip Sewell,137,267
Ted Lewis,136,268
Don Newcombe,136,269
Ed Siever,136,270
Bump Hadley,135,271
Ned Garvin,134,272
Ray Kremer,134,273
Jim Bagby,133,274
Orval Overall,133,275
Ken Raffensberger,133,276
Larry Cheney,132,277
Ed Daily,132,278
Tom Lovett,132,279
Frank Mountain,132,280
Camilo Pascual,132,281
John Harkins,131,282
Johnny Vander Meer,131,283
Henry Gruber,129,284
Otto Hess,129,285
Milt Pappas,129,286
Steve Rogers,129,287
Nick Altrock,128,288
Mort Cooper,128,289
Bob Smith,128,290
Phenomenal Smith,128,291
Tommy Thomas,128,292
Jim Devlin,127,293
Milt Gaston,127,294
Ken Holtzman,127,295
Jerry Reuss,127,296
Elden Auker,126,297
Russ Ford,126,298
Vern Kennedy,126,299
Frank Lary,126,300
Harry Brecheen,125,301
Patsy Flaherty,125,302
Bill Hoffer,125,303
Carl Lundgren,125,304
Virgil Trucks,124,305
Sid Hudson,123,306
Van Mungo,123,307
Jim Scott,123,308
Elmer Smith,123,309
Jeff Tesreau,123,310
Larry Benton,122,311
Dennis Martinez,122,312
Hal Carlson,121,313
Hank Gastright,121,314
Joe Wood,121,315
Dave McNally,120,316
Bill Phillips,120,317
Irv Young,120,318
Vern Law,119,319
Frank Owen,119,320
Roy Patterson,119,321
Roger Clemens,118,322
Bob Rush,118,323
Kaiser Wilhelm,118,324
Pete Conway,117,325
Mike Torrez,117,326
Willie McGill,116,327
Howie Pollet,116,328
George Earnshaw,115,329
Jack Harper,115,330
Pat Malone,115,331
Jack Scott,115,332
George Suggs,115,333
Wilbur Wood,114,334
John Ewing,113,335
Cinders O'Brien,113,336
Fritz Ostermueller,113,337
Mel Parnell,113,338
Charlie Sweeney,113,339
Fernando Valenzuela,113,340
Lady Baldwin,112,341
Joe Dobson,112,342
Jay Hughes,112,343
Bob Buhl,111,344
Mike Garcia,111,345
Jock Menefee,111,346
Tiny Bonham,110,347
Ray Fisher,110,348
Larry McKeon,110,349
Johnny Allen,109,350
Spud Chandler,109,351
Greg Maddux,109,352
Jim Perry,109,353
Si Johnson,108,354
Fred Glade,107,355
Charlie Hough,107,356
Larry Jansen,107,357
Cy Morgan,107,358
Joe Niekro,107,359
Babe Ruth,107,360
Lefty Stewart,107,361
Happy Townsend,107,362
George Blaeholder,106,363
Buster Brown,106,364
Larry Dierker,106,365
Vic Raschi,106,366
George Derby,105,367
Vean Gregg,105,368
Johnny Lush,105,369
Denny McLain,105,370
George McQuillan,105,371
Jack Warhop,105,372
Carl Weilman,105,373
Ed Beatin,104,374
Max Butcher,104,375
Jesse Duryea,104,376
Cy Seymour,104,377
Jack Dunn,103,378
Dennis Leonard,103,379
Sam McDowell,103,380
Joe Shaute,103,381
Dave Stieb,103,382
Vic Aldridge,102,383
Johnny Antonelli,102,384
Ray Benge,102,385
Rick Reuschel,102,386
Doc Scanlan,102,387
Allen Sothoron,102,388
Dick Donovan,101,389
Jean Dubuc,101,390
Mike Flanagan,101,391
Sam Gray,101,392
Preacher Roe,101,393
Dennis Eckersley,100,394
Denny Galehouse,100,395
Jim Hughey,100,396
Randy Johnson,100,397
Al Atkinson,99,398
Frank Corridon,99,399
Harvey Haddix,99,400
Tex Hughson,99,401
Alex Kellner,99,402
Doc Newton,99,403
Jerry Nops,99,404
Joe Oeschger,99,405
Mike Sullivan,99,406
Doyle Alexander,98,407
Mike Caldwell,98,408
Kirby Higbe,98,409
Andy Messersmith,98,410
Kid Madden,97,411
Jon Matlack,97,412
Bob Wicker,97,413
Whit Wyatt,97,414
Dave Davenport,96,415
Harry Gumbert,96,416
Harry McCormick,96,417
Jim Shaw,96,418
Phil Douglas,95,419
Ron Guidry,95,420
Joe Lake,95,421
Hugh McQuillan,95,422
Vic Sorrell,95,423
Sloppy Thurston,95,424
Hank Borowy,94,425
Joe Coleman,94,426
Monte Pearson,94,427
Bill Singer,94,428
Fred Beebe,93,429
Sal Maglie,93,430
Erskine Mayer,93,431
Willie Mitchell,93,432
Pol Perritt,93,433
George Pipgras,93,434
Pat Ragan,93,435
George Bell,92,436
Bill Dietrich,92,437
Pete Dowling,92,438
Steve Gromek,92,439
Bill Hill,92,440
Bob Porterfield,92,441
Bob Purkey,92,442
Tex Carleton,91,443
Watty Clark,91,444
Mickey Haefner,91,445
Max Lanier,91,446
Mike McCormick,91,447
Flint Rhem,91,448
Eddie Smith,91,449
Ray Collins,90,450
Doc Crandall,90,451
Mal Eason,90,452
Art Fromme,90,453
Bill Hallahan,90,454
Jim Lonborg,90,455
Johnny Morrison,90,456
Fritz Peterson,90,457
Tom Seaton,90,458
Elam Vangilder,90,459
Mudcat Grant,89,460
Slim Harriss,89,461
Nels Potter,89,462
Jack Cronin,88,463
Jack Kramer,88,464
Chris Short,88,465
Paul Splittorff,88,466
Andy Coakley,87,467
Dick Ellsworth,87,468
Rudy May,87,469
Charlie Smith,87,470
Burt Hooton,86,471
Firpo Marberry,86,472
Gene Packard,86,473
Lew Richie,86,474
Johnny Schmitz,86,475
Billy Serad,86,476
Jim Slaton,86,477
Bob Emslie,85,478
Rick Langford,85,479
Ray Sadecki,85,480
Jim Bagby,84,481
Buttons Briggs,84,482
John Coleman,84,483
Rip Collins,84,484
Al Demaree,84,485
Pete Schneider,84,486
Leon Cadore,83,487
Dean Chance,83,488
Harry Coveleski,83,489
Dave Goltz,83,490
Bruce Hurst,83,491
Oscar Jones,83,492
Vive Lindaman,83,493
Scott McGregor,83,494
Joe Nuxhall,83,495
Curt Schilling,83,496
Billy Taylor,83,497
Bill Walker,83,498
Zeke Wilson,83,499
Syl Johnson,82,500
Elmer Knetzer,82,501
Phil Marchildon,82,502
Guy Morton,82,503
Sheriff Blake,81,504
Fred Frankhouse,81,505
Fred Hutchinson,81,506
Ed Karger,81,507
Mark Langston,81,508
Chappie McFarland,81,509
Johnny Niggeling,81,510
Reb Russell,81,511
Ray Culp,80,512
Oral Hildebrand,80,513
Lefty Williams,80,514
Ross Grimsley,79,515
Mike Moore,79,516
Gary Peters,79,517
Juan Pizarro,79,518
Ed Summers,79,519
Herm Wehmeier,79,520
Geoff Zahn,79,521
Cy Barger,78,522
Al Hollingsworth,78,523
Art Houtteman,78,524
Bob Knepper,78,525
Al Mamaux,78,526
Bill Monbouquette,78,527
Elmer Myers,78,528
Bobby Shantz,78,529
Elmer Stricklett,78,530
Bill Swift,78,531
Bob Turley,78,532
Bob Veale,78,533
Don Wilson,78,534
Lloyd Brown,77,535
Dad Clarke,77,536
Dixie Davis,77,537
Johnny Podres,77,538
Dave Roberts,77,539
Gus Dorner,76,540
Sam Jones,76,541
Jesse Petty,76,542
J.R. Richard,76,543
Bret Saberhagen,76,544
Jack Sanford,76,545
Bill Sweeney,76,546
Joe Benz,75,547
Cy Blanton,75,548
Tom Brewer,75,549
Ben Cantwell,75,550
Dick Fowler,75,551
Billy Hoeft,75,552
Jack Pfiester,75,553
Al Smith,75,554
Ralph Terry,75,555
Jim Wilson,75,556
Jack Billingham,74,557
Joe Bowman,74,558
Jim Clancy,74,559
Dan Daub,74,560
Pat Dobson,74,561
Dave Koslo,74,562
Jim Maloney,74,563
Roscoe Miller,74,564
The Only Nolan,74,565
Frank Viola,74,566
Bill Voiselle,74,567
Stan Bahnsen,73,568
Vern Bickford,73,569
Ted Blankenship,73,570
Al Downing,73,571
Les German,73,572
Randy Jones,73,573
Pat Luby,73,574
Pedro Ramos,73,575
Frank Sullivan,73,576
Milt Wilcox,73,577
Joe Yeager,73,578
Kevin Brown,72,579
Don Cardwell,72,580
Denny Driscoll,72,581
Bill Hands,72,582
Nat Hudson,72,583
Bill Lee,72,584
Mario Soto,72,585
Rick Sutcliffe,72,586
Tom Vickery,72,587
Mike Witt,72,588
Gary Bell,71,589
Ralph Branca,71,590
Ownie Carroll,71,591
Dock Ellis,71,592
Carl Erskine,71,593
Joe Genewich,71,594
Larry Gura,71,595
Tony Kaufmann,71,596
Doc Medich,71,597
Fred Mitchell,71,598
Jack Russell,71,599
Bill Bailey,70,600
Ken Forsch,70,601
Luke Hamlin,70,602
Walt Masterson,70,603
Jakie May,70,604
Ewell Blackwell,69,605
Gene Conley,69,606
Fred Klobedanz,69,607
Bill Magee,69,608
Johnny Marcum,69,609
Tom Parrott,69,610
Scott Perry,69,611
Rick Rhoden,69,612
Lary Sorensen,69,613
Jim Turner,69,614
Earl Wilson,69,615
Joaquin Andujar,68,616
