Name,Games,Rank
Juan Pizarro,28,603
Kenny Rogers,28,604
Bob Shawkey,28,605
Dave Tobik,28,606
Cy Acosta,27,607
Adbert Alzolay,27,608
Scott Downs,27,609
Buddy Groom,27,610
Kevin Jepsen,27,611
Matt Karchner,27,612
Luis Sanchez,27,613
Bill Swift,27,614
Shingo Takatsu,27,615
Jose Veras,27,616
Matt Anderson,26,617
Bob Apodaca,26,618
Pete Appleton,26,619
Keith Atherton,26,620
Sandy Consuegra,26,621
Jerry Don Gleaton,26,622
Gene Harris,26,623
Dave Heaverlo,26,624
Andy Karl,26,625
Shawn Kelley,26,626
Frank LaCorte,26,627
Don Larsen,26,628
Mark Leiter,26,629
Pat Malone,26,630
Hal Newhouser,26,631
A.J. Puk,26,632
Bill Sherdel,26,633
Joe Black,25,634
Marshall Bridges,25,635
Earl Caldwell,25,636
Eddie Cicotte,25,637
Reggie Cleveland,25,638
Bill Dawley,25,639
Alan Embree,25,640
Jeff Fassero,25,641
Lee Guetterman,25,642
Bump Hadley,25,643
Phil Hennigan,25,644
Bob Hooper,25,645
Hal Jeffcoat,25,646
Kent Mercker,25,647
Marty Pattin,25,648
Jim Ray,25,649
Robin Roberts,25,650
Urban Shocker,25,651
George Uhle,25,652
Hal White,25,653
Brandon Workman,25,654
Matt Young,25,655
Jason Adam,24,656
Joe Barlow,24,657
Hi Bell,24,658
Phil Collins,24,659
Doc Crandall,24,660
Kendall Graveman,24,661
Juan Gutierrez,24,662
David Hernandez,24,663
Kirby Higbe,24,664
Cal Koonce,24,665
Andy McGaffigan,24,666
Joe McGinnity,24,667
Jim Todd,24,668
Dooley Womack,24,669
Dean Chance,23,670
George Culver,23,671
Dave Danforth,23,672
Murry Dickson,23,673
Brian Fisher,23,674
Mike Garcia,23,675
Steve Gromek,23,676
Mel Harder,23,677
Chuck Hartenstein,23,678
Dick Hyde,23,679
Joe Jiménez,23,680
Barry Jones,23,681
Bob Klinger,23,682
Ted Lyons,23,683
Butch Metzger,23,684
Johnny Morrison,23,685
Eddie Plank,23,686
Paul Shuey,23,687
Bill Simas,23,688
Julian Tavarez,23,689
Matt Thornton,23,690
Bobby Tiefenauer,23,691
Oscar Zamora,23,692
Lloyd Allen,22,693
Dave Baldwin,22,694
Larry Benton,22,695
Nelson Briles,22,696
Tony Castillo,22,697
Alvin Crowder,22,698
Bill Dailey,22,699
Sam Gray,22,700
Darren Hall,22,701
J.P. Howell,22,702
Tommy Hunter,22,703
Tom Johnson,22,704
Dave Koslo,22,705
Bob Lacey,22,706
Les Lancaster,22,707
Fred Lasher,22,708
