Name,ERA,Raw_ERA,Rank
Doc Crandall,2.85,2.851,117
Jim Palmer,2.86,2.856,118
Andy Messersmith,2.86,2.861,119
Tom Seaver,2.86,2.862,120
Fred Beebe,2.86,2.865,121
Harry Harper,2.87,2.866,122
Trevor Hoffman,2.87,2.867,123
George Winter,2.87,2.87,124
Pud Galvin,2.87,2.871,125
Charlie Sweeney,2.87,2.873,126
Willie Mitchell,2.88,2.879,127
Sparky Lyle,2.88,2.881,128
Juan Marichal,2.89,2.889,129
John Franco,2.89,2.89,130
Pol Perritt,2.89,2.89,131
Stan Coveleski,2.89,2.891,132
Wilbur Cooper,2.89,2.894,133
Al Mamaux,2.9,2.896,134
Art Fromme,2.9,2.904,135
Rollie Fingers,2.9,2.904,136
Bob Gibson,2.91,2.915,137
Harry Brecheen,2.92,2.916,138
Carl Mays,2.92,2.916,139
Hugh Daily,2.92,2.919,140
Dean Chance,2.92,2.921,141
Pedro Martinez,2.93,2.925,142
Guy Hecker,2.93,2.927,143
Gary Lavelle,2.93,2.928,144
Dave Davenport,2.93,2.934,145
Clay Carroll,2.94,2.939,146
Tex Hughson,2.94,2.944,147
Lefty Tyler,2.95,2.946,148
Jumbo McGinnis,2.95,2.946,149
Don Drysdale,2.95,2.948,150
Kid Nichols,2.95,2.955,151
Erskine Mayer,2.96,2.958,152
Don McMahon,2.96,2.96,153
Charlie Buffinton,2.96,2.961,154
Mort Cooper,2.97,2.968,155
Mel Stottlemyre,2.97,2.969,156
Jim Whitney,2.97,2.971,157
Jack Powell,2.97,2.973,158
Bill Doak,2.98,2.976,159
Otto Hess,2.98,2.977,160
Carl Hubbell,2.98,2.978,161
Pat Ragan,2.99,2.988,162
Bobby Mathews,3.0,2.995,163
Doc Scanlan,3.0,2.998,164
Jay Hughes,3.0,3.003,165
Rich Gossage,3.01,3.009,166
Frank Miller,3.01,3.012,167
Bill Dinneen,3.01,3.012,168
Gene Packard,3.01,3.012,169
Max Lanier,3.01,3.012,170
Chris Sale,3.02,3.015,171
Dizzy Dean,3.02,3.024,172
Lee Smith,3.03,3.029,173
Bill Bernhard,3.04,3.039,174
Jean Dubuc,3.04,3.041,175
Tony Mullane,3.05,3.053,176
Hal Newhouser,3.06,3.055,177
Lefty Grove,3.06,3.058,178
Lee Richmond,3.06,3.059,179
Henry Boyle,3.06,3.059,180
Tiny Bonham,3.06,3.064,181
Amos Rusie,3.07,3.068,182
Jim Brewer,3.07,3.07,183
Jim Shaw,3.07,3.071,184
Bob Veale,3.07,3.075,185
Ed Willett,3.08,3.076,186
Rube Marquard,3.08,3.076,187
Gary Nolan,3.08,3.079,188
Rube Benton,3.09,3.085,189
Warren Spahn,3.09,3.086,190
Jimmy Lavender,3.09,3.086,191
Tom Hughes,3.09,3.094,192
Togie Pittinger,3.1,3.096,193
Greg Minton,3.1,3.096,194
Bob Shawkey,3.1,3.098,195
Dupee Shaw,3.1,3.1,196
Patsy Flaherty,3.1,3.102,197
Bob Groom,3.1,3.105,198
Gaylord Perry,3.11,3.105,199
Alejandro Pena,3.11,3.106,200
Joe Horlen,3.11,3.106,201
Jim Bagby,3.11,3.108,202
George Suggs,3.11,3.111,203
Irv Young,3.11,3.113,204
Don Gullett,3.11,3.114,205
Darold Knowles,3.12,3.115,206
Jack Warhop,3.12,3.115,207
John Tudor,3.12,3.12,208
Roger Clemens,3.12,3.125,209
Al McBean,3.13,3.131,210
Guy Morton,3.13,3.131,211
Dave Dravecky,3.13,3.134,212
Lefty Williams,3.13,3.134,213
Leon Cadore,3.14,3.135,214
Bert Gallia,3.14,3.136,215
Tug McGraw,3.14,3.137,216
Mike Cuellar,3.14,3.138,217
Mike Marshall,3.14,3.141,218
Tom Seaton,3.14,3.143,219
Don Wilson,3.15,3.145,220
Eppa Rixey,3.15,3.148,221
Earl Hamilton,3.15,3.148,222
Red Faber,3.15,3.149,223
J.R. Richard,3.15,3.149,224
Sal Maglie,3.15,3.15,225
Elmer Knetzer,3.15,3.153,226
Jeff Reardon,3.16,3.155,227
Greg Maddux,3.16,3.156,228
Jesse Orosco,3.16,3.161,229
Max Scherzer,3.16,3.161,230
Urban Shocker,3.17,3.172,231
Sam McDowell,3.17,3.174,232
Steve Rogers,3.17,3.175,233
Frank Kitson,3.18,3.175,234
Dan Casey,3.18,3.176,235
Gerrit Cole,3.18,3.178,236
Jon Matlack,3.18,3.18,237
Silver King,3.18,3.182,238
Blake Snell,3.18,3.183,239
Lon Warneke,3.18,3.183,240
Bill Duggleby,3.18,3.185,241
Jim Maloney,3.19,3.188,242
Pete Richert,3.19,3.189,243
Nolan Ryan,3.19,3.193,244
Johan Santana,3.2,3.203,245
Art Nehf,3.2,3.204,246
Bill James,3.2,3.204,247
Buster Brown,3.21,3.205,248
Ed Lopat,3.21,3.206,249
Sonny Siebert,3.21,3.208,250
Jesse Barnes,3.22,3.215,251
Steve Carlton,3.22,3.215,252
Johnny Niggeling,3.22,3.217,253
Al Downing,3.22,3.218,254
Harry McIntire,3.22,3.218,255
Ray Caldwell,3.22,3.219,256
Jim Turner,3.22,3.22,257
Doc Newton,3.22,3.223,258
George Mogridge,3.23,3.226,259
Sam Weaver,3.23,3.226,260
Terry Forster,3.23,3.232,261
Tom Burgmeier,3.23,3.232,262
Dizzy Trout,3.23,3.233,263
Bob Lemon,3.23,3.234,264
Wilbur Wood,3.24,3.236,265
Ben Sanders,3.24,3.236,266
Jose Rijo,3.24,3.236,267
Dave McNally,3.24,3.237,268
Dazzy Vance,3.24,3.24,269
Stu Miller,3.24,3.241,270
Dolf Luque,3.24,3.245,271
Stephen Strasburg,3.24,3.245,272
Hank Aguirre,3.24,3.245,273
Bernie Boland,3.25,3.246,274
Gary Peters,3.25,3.248,275
Dutch Leonard,3.25,3.25,276
Bob Feller,3.25,3.255,277
Catfish Hunter,3.26,3.256,278
Don Sutton,3.26,3.261,279
Vida Blue,3.27,3.265,280
Mike Garcia,3.27,3.265,281
Hyun Jin Ryu,3.27,3.266,282
Brandon Webb,3.27,3.267,283
Billy Pierce,3.27,3.269,284
Jim Bunning,3.27,3.269,285
Kevin Brown,3.28,3.275,286
Paul Lindblad,3.29,3.285,287
Ron Guidry,3.29,3.288,288
Jack Quinn,3.29,3.29,289
Randy Johnson,3.29,3.293,290
Billy O'Dell,3.29,3.294,291
Toad Ramsey,3.29,3.295,292
Zack Wheeler,3.29,3.295,293
Ewell Blackwell,3.3,3.298,294
Claude Osteen,3.3,3.298,295
Fritz Peterson,3.3,3.298,296
Roger McDowell,3.3,3.3,297
Bucky Walters,3.3,3.302,298
Doug Jones,3.3,3.302,299
Allie Reynolds,3.3,3.304,300
Luis Tiant,3.3,3.304,301
Hooks Dauss,3.3,3.305,302
Larry Dierker,3.31,3.305,303
Al Brazle,3.31,3.308,304
Allen Sothoron,3.31,3.31,305
Clark Griffith,3.31,3.312,306
Bert Blyleven,3.31,3.314,307
Dick Hall,3.32,3.315,308
David Price,3.32,3.317,309
Justin Verlander,3.32,3.318,310
Sherry Smith,3.32,3.319,311
Claude Passeau,3.32,3.319,312
Lee Viau,3.33,3.327,313
John Smoltz,3.33,3.327,314
Tom Phoebus,3.33,3.329,315
John Candelaria,3.33,3.332,316
Bob Harmon,3.33,3.334,317
Fergie Jenkins,3.34,3.338,318
Gene Garber,3.34,3.338,319
Johnny Antonelli,3.34,3.338,320
Tommy John,3.34,3.342,321
Bret Saberhagen,3.34,3.343,322
Lefty Gomez,3.34,3.344,323
Doug Rau,3.35,3.347,324
Phil Niekro,3.35,3.351,325
Elmer Smith,3.35,3.351,326
Bill Hands,3.35,3.354,327
Sid Fernandez,3.36,3.356,328
Hal Schumacher,3.36,3.357,329
Roy Oswalt,3.36,3.359,330
Jerry Koosman,3.36,3.359,331
Case Patten,3.36,3.36,332
Steve Barber,3.36,3.363,333
Ken Forsch,3.37,3.368,334
Al Orth,3.37,3.37,335
Bob Miller,3.37,3.371,336
Mark Baldwin,3.37,3.372,337
Rick Reuschel,3.37,3.373,338
Lee Meadows,3.37,3.374,339
Bobby Shantz,3.38,3.376,340
Willie Hernandez,3.38,3.377,341
Steve Bedrosian,3.38,3.378,342
Burt Hooton,3.38,3.38,343
Roy Halladay,3.38,3.385,344
Virgil Trucks,3.39,3.385,345
Jimmy Callahan,3.39,3.386,346
Al Worthington,3.39,3.386,347
Ed Daily,3.39,3.389,348
Bill Singer,3.39,3.391,349
Denny McLain,3.39,3.393,350
Milt Pappas,3.4,3.398,351
Ed Seward,3.4,3.398,352
Larry Jackson,3.4,3.401,353
Bobby Bolin,3.4,3.404,354
Elmer Riddle,3.4,3.405,355
Robin Roberts,3.41,3.405,356
Roger Wolff,3.41,3.406,357
Steve Gromek,3.41,3.409,358
Eddie Fisher,3.41,3.41,359
Michael Jackson,3.42,3.416,360
Cliff Melton,3.42,3.418,361
Chris Carpenter,3.42,3.419,362
Curt Davis,3.42,3.422,363
Randy Jones,3.42,3.422,364
Felix Hernández,3.42,3.422,365
Craig Lefferts,3.43,3.425,366
Cole Hamels,3.43,3.426,367
Chris Short,3.43,3.43,368
Don Mossi,3.43,3.43,369
Ellis Kinder,3.43,3.431,370
Doc McJames,3.43,3.431,371
Preacher Roe,3.43,3.432,372
Juan Pizarro,3.43,3.433,373
Pascual Perez,3.44,3.436,374
Kaiser Wilhelm,3.44,3.437,375
Corey Kluber,3.44,3.437,376
Dave Stieb,3.44,3.438,377
Mickey Lolich,3.44,3.438,378
Jim Tobin,3.44,3.439,379
Nelson Briles,3.44,3.439,380
Johnny Vander Meer,3.44,3.442,381
Larry French,3.44,3.444,382
Hiroki Kuroda,3.45,3.446,383
Jim Perry,3.45,3.446,384
Turk Farrell,3.45,3.447,385
Jesse Duryea,3.45,3.449,386
Roberto Hernandez,3.45,3.453,387
Jim Kaat,3.45,3.453,388
Lindy McDaniel,3.45,3.454,389
Dock Ellis,3.46,3.456,390
Rudy May,3.46,3.457,391
Curt Schilling,3.46,3.458,392
Ted Abernathy,3.46,3.458,393
Charlie Getzien,3.46,3.459,394
Paul Derringer,3.46,3.459,395
Jim Rooker,3.46,3.46,396
Ken Johnson,3.46,3.46,397
Ron Reed,3.46,3.462,398
David Cone,3.46,3.462,399
Dave Righetti,3.46,3.462,400
Grant Jackson,3.46,3.464,401
Mace Brown,3.46,3.465,402
Dave Rozema,3.47,3.467,403
Bob Welch,3.47,3.467,404
Mario Soto,3.47,3.469,405
Matt Kilroy,3.47,3.47,406
Madison Bumgarner,3.47,3.471,407
Van Mungo,3.47,3.471,408
Billy Rhines,3.47,3.472,409
Roy Face,3.48,3.476,410
Rip Sewell,3.48,3.478,411
Stan Williams,3.48,3.479,412
Orel Hershiser,3.48,3.482,413
Nig Cuppy,3.48,3.483,414
Ken Holtzman,3.49,3.487,415
Frank Lary,3.49,3.488,416
Johnny Sain,3.49,3.489,417
Frank Mountain,3.49,3.489,418
Tim Hudson,3.49,3.492,419
Zack Greinke,3.49,3.492,420
Johnny Murphy,3.5,3.497,421
Bob Moose,3.5,3.498,422
Clyde Wright,3.5,3.499,423
Dutch Ruether,3.5,3.499,424
Dennis Eckersley,3.5,3.501,425
Hank Borowy,3.5,3.501,426
Jack Harshman,3.5,3.502,427
Mel Parnell,3.5,3.502,428
Hardie Henderson,3.5,3.503,429
Mickey Haefner,3.5,3.504,430
Sadie McMahon,3.51,3.506,431
Dwight Gooden,3.51,3.506,432
Howie Pollet,3.51,3.506,433
Jimmy Key,3.51,3.507,434
Wally Bunker,3.51,3.508,435
Freddie Fitzsimmons,3.51,3.509,436
Ed Figueroa,3.51,3.512,437
Bullet Joe Bush,3.51,3.513,438
Pedro Borbon,3.52,3.515,439
Sonny Gray,3.52,3.517,440
Allen Russell,3.52,3.518,441
Cliff Lee,3.52,3.518,442
Joe Gibbon,3.52,3.521,443
Hank Wyse,3.52,3.521,444
Johnny Cueto,3.52,3.522,445
Dave Boswell,3.52,3.523,446
Bob Shaw,3.52,3.523,447
Pat Zachry,3.52,3.524,448
Dave LaRoche,3.53,3.525,449
Bryn Smith,3.53,3.527,450
Burleigh Grimes,3.53,3.527,451
Ted Lewis,3.53,3.53,452
Adam Wainwright,3.53,3.531,453
Red Barrett,3.53,3.534,454
Ray Washburn,3.53,3.534,455
Pat Dobson,3.54,3.536,456
Tom Glavine,3.54,3.536,457
Mike Scott,3.54,3.537,458
John Montefusco,3.54,3.54,459
Bill Lee,3.54,3.542,460
Early Wynn,3.54,3.542,461
Eddie Rommel,3.54,3.542,462
Curt Simmons,3.54,3.543,463
Bill Campbell,3.54,3.543,464
Luis Castillo,3.54,3.544,465
Fernando Valenzuela,3.54,3.545,466
Bob Buhl,3.55,3.545,467
Johnny Schmitz,3.55,3.545,468
Elmer Jacobs,3.55,3.549,469
Jack Harper,3.55,3.551,470
Cy Blanton,3.55,3.553,471
Skip Lockwood,3.55,3.553,472
Thornton Lee,3.56,3.555,473
Jim Barr,3.56,3.556,474
Don Newcombe,3.56,3.559,475
Lee Stange,3.56,3.56,476
Jack Kralick,3.56,3.562,477
Dana Fillingim,3.56,3.562,478
Willie Sudhoff,3.56,3.563,479
Ice Box Chamberlain,3.57,3.565,480
Jim O'Toole,3.57,3.566,481
Rick Aguilera,3.57,3.568,482
Bill Bailey,3.57,3.569,483
Bob Wickman,3.57,3.569,484
Tommy Bridges,3.57,3.573,485
Jim Bouton,3.57,3.575,486
Yu Darvish,3.58,3.577,487
Bill Swift,3.58,3.578,488
Ray Culp,3.58,3.579,489
Johnny Lanning,3.58,3.58,490
Pat Jarvis,3.58,3.582,491
Joaquin Andujar,3.58,3.582,492
Larry Jansen,3.58,3.583,493
Bob Friend,3.58,3.584,494
Jim Nash,3.58,3.584,495
Denny Lemaster,3.58,3.585,496
John Denny,3.59,3.585,497
Charlie Root,3.59,3.586,498
Sam Jones,3.59,3.587,499
Waite Hoyt,3.59,3.588,500
Johnny Rigney,3.59,3.588,501
Bill Walker,3.59,3.589,502
Chris Bassitt,3.59,3.591,503
Bill Hutchison,3.59,3.591,504
Pete Conway,3.59,3.591,505
Happy Townsend,3.59,3.592,506
Joe Niekro,3.59,3.593,507
Rick Rhoden,3.59,3.595,508
Frank Sullivan,3.6,3.596,509
Ken Raffensberger,3.6,3.597,510
Herb Pennock,3.6,3.598,511
Dave Giusti,3.6,3.602,512
George Wiedman,3.6,3.603,513
Stan Bahnsen,3.6,3.605,514
Wiley Piatt,3.61,3.606,515
Tom Morgan,3.61,3.606,516
Red Donahue,3.61,3.612,517
Jim McGlothlin,3.61,3.613,518
Teddy Higuera,3.61,3.613,519
Marty Pattin,3.62,3.62,520
Ralph Terry,3.62,3.621,521
George Brunet,3.62,3.621,522
Ed Halicki,3.62,3.624,523
Dick Drago,3.62,3.624,524
Bill Lee,3.62,3.624,525
Joe Dobson,3.62,3.625,526
Clem Labine,3.63,3.626,527
Jered Weaver,3.63,3.626,528
Harvey Haddix,3.63,3.628,529
Steve Blass,3.63,3.629,530
Mudcat Grant,3.63,3.631,531
Firpo Marberry,3.63,3.631,532
Mike Timlin,3.63,3.632,533
Camilo Pascual,3.63,3.633,534
Jake Peavy,3.63,3.635,535
Jason Isringhausen,3.64,3.635,536
Dan Plesac,3.64,3.635,537
Mat Latos,3.64,3.636,538
Jerry Reuss,3.64,3.637,539
Fred Norman,3.64,3.638,540
Bob Stanley,3.64,3.638,541
Danny Cox,3.64,3.64,542
Jesse Haines,3.64,3.641,543
Bob Turley,3.64,3.642,544
Johnny Morrison,3.65,3.647,545
Bob Rush,3.65,3.648,546
Bob Ojeda,3.65,3.649,547
Al Fitzmorris,3.65,3.651,548
Jim Merritt,3.65,3.653,549
Lew Burdette,3.66,3.656,550
Murry Dickson,3.66,3.656,551
Al Benton,3.66,3.657,552
Jon Lester,3.66,3.659,553
Britt Burns,3.66,3.66,554
Eric Show,3.66,3.66,555
Jersey Bakley,3.66,3.66,556
Bruce Kison,3.66,3.66,557
Virgil Barnes,3.66,3.661,558
Pete Vuckovich,3.66,3.661,559
Carlos Zambrano,3.66,3.662,560
Frank Tanana,3.66,3.662,561
Watty Clark,3.66,3.662,562
Dave Wickersham,3.66,3.663,563
Atlee Hammaker,3.66,3.663,564
John Buzhardt,3.66,3.665,565
Ramon Martinez,3.67,3.665,566
Dick Bosman,3.67,3.666,567
Dick Donovan,3.67,3.667,568
Henry Gruber,3.67,3.667,569
Ted Lyons,3.67,3.668,570
Kerry Wood,3.67,3.672,571
Bob Klinger,3.68,3.675,572
Johnny Podres,3.68,3.675,573
Bob Knepper,3.68,3.676,574
Chick Fraser,3.68,3.677,575
Jesse Petty,3.68,3.679,576
Matt Cain,3.68,3.681,577
John Ewing,3.68,3.681,578
Cinders O'Brien,3.68,3.681,579
Dave Koslo,3.68,3.682,580
Harry Gumbert,3.68,3.682,581
Mike Mussina,3.68,3.683,582
Bill Monbouquette,3.68,3.684,583
Dick Tidrow,3.68,3.684,584
Gary Bell,3.68,3.685,585
Rick Wise,3.69,3.687,586
Greg Harris,3.69,3.687,587
Kirby Higbe,3.69,3.688,588
Dave Goltz,3.69,3.689,589
Jack Sanford,3.69,3.689,590
Jack Lynch,3.69,3.69,591
Ed Heusser,3.69,3.693,592
Earl Wilson,3.69,3.694,593
Dennis Leonard,3.7,3.695,594
Joe Coleman,3.7,3.696,595
Gerry Staley,3.7,3.697,596
Dennis Martinez,3.7,3.697,597
Blue Moon Odom,3.7,3.698,598
Henry Porter,3.7,3.699,599
Gio Gonzalez,3.7,3.702,600
Orlando Pena,3.71,3.706,601
Moe Drabowsky,3.71,3.707,602
Charlie Leibrandt,3.71,3.712,603
Vern Bickford,3.71,3.713,604
Dick Ellsworth,3.72,3.716,605
Steve Busby,3.72,3.717,606
Chad Billingsley,3.72,3.719,607
Bill Sherdel,3.72,3.72,608
Doug Fister,3.72,3.721,609
Vic Raschi,3.72,3.721,610
Rick Honeycutt,3.72,3.721,611
Red Lucas,3.72,3.721,612
José Quintana,3.72,3.722,613
Tom Bradley,3.72,3.723,614
Al Smith,3.72,3.725,615
Fred Hutchinson,3.73,3.725,616
Tom Zachary,3.73,3.728,617
Mike McCormick,3.73,3.728,618
Frank Viola,3.73,3.728,619
Vern Ruhle,3.73,3.731,620
Ned Garver,3.73,3.731,621
Tom Candiotti,3.73,3.732,622
Joe Musgrove,3.73,3.733,623
Max Butcher,3.73,3.733,624
Carl Morton,3.73,3.734,625
Ed Doheny,3.73,3.735,626
Doug Drabek,3.73,3.735,627
CC Sabathia,3.74,3.736,628
Pat Malone,3.74,3.736,629
Jack Stivetts,3.74,3.737,630
Alex Fernandez,3.74,3.737,631
C.J. Wilson,3.74,3.738,632
Kevin Appier,3.74,3.738,633
Masahiro Tanaka,3.74,3.739,634
Adonis Terry,3.74,3.739,635
Alan Foster,3.74,3.739,636
Tim Lincecum,3.74,3.74,637
Kyle Hendricks,3.74,3.741,638
Lance Lynn,3.74,3.741,639
Ernie Broglio,3.74,3.742,640
Zane Smith,3.74,3.742,641
Geoff Zahn,3.74,3.743,642
Craig Swan,3.74,3.744,643
Tom Sturdivant,3.74,3.744,644
Hank O'Day,3.74,3.744,645
Dan Schatzeder,3.74,3.745,646
Charlie Hough,3.75,3.746,647
Howard Ehmke,3.75,3.746,648
Jeff Russell,3.75,3.748,649
Ron Kline,3.75,3.751,650
Johnny Allen,3.75,3.752,651
Bill Hoffer,3.75,3.753,652
Dan Haren,3.75,3.753,653
Vic Aldridge,3.76,3.756,654
Jim Bibby,3.76,3.756,655
Ray Kremer,3.76,3.757,656
Doyle Alexander,3.76,3.757,657
Larry Gura,3.76,3.759,658
Cy Seymour,3.76,3.761,659
Jose DeLeon,3.76,3.762,660
Bob Forsch,3.76,3.765,661
Vern Law,3.77,3.766,662
Luke Hamlin,3.77,3.767,663
Woodie Fryman,3.77,3.77,664
Marcus Stroman,3.77,3.771,665
Joey Jay,3.77,3.772,666
Aaron Nola,3.78,3.776,667
Chuck Dobson,3.78,3.776,668
Ben Sheets,3.78,3.777,669
Tom Murphy,3.78,3.777,670
Frank Killen,3.78,3.777,671
Doc Medich,3.78,3.778,672
Orval Grove,3.78,3.778,673
Don Larsen,3.78,3.779,674
Johnny Humphries,3.78,3.781,675
Dave Roberts,3.78,3.782,676
Dave Palmer,3.78,3.782,677
Ray Sadecki,3.78,3.783,678
Alex Wood,3.78,3.785,679
Don Robinson,3.79,3.787,680
Whit Wyatt,3.79,3.787,681
Bob Porterfield,3.79,3.789,682
Ralph Branca,3.79,3.79,683
Carlos Rodón,3.79,3.791,684
Larry Christenson,3.79,3.792,685
Bob Purkey,3.79,3.792,686
Ed Whitson,3.79,3.792,687
Kid Gleason,3.79,3.793,688
Trevor Bauer,3.79,3.794,689
Don Aase,3.8,3.797,690
Red Ruffing,3.8,3.798,691
Mel Harder,3.8,3.801,692
Mike Boddicker,3.8,3.801,693
Al Leiter,3.8,3.802,694
Bob Muncrief,3.8,3.802,695
John Smiley,3.8,3.803,696
Jim Colborn,3.8,3.803,697
Harry Staley,3.8,3.804,698
Al Javery,3.8,3.804,699
Bob McClure,3.81,3.806,700
Joe Magrane,3.81,3.808,701
Ross Grimsley,3.81,3.809,702
Diego Segui,3.81,3.809,703
Jim Hearn,3.81,3.809,704
Mike Caldwell,3.81,3.811,705
Paul Splittorff,3.81,3.812,706
Joe Oeschger,3.81,3.812,707
Mark Buehrle,3.81,3.813,708
Hal Brown,3.81,3.814,709
Jock Menefee,3.81,3.814,710
Eric Plunk,3.82,3.816,711
Gene Conley,3.82,3.818,712
Bob Shirley,3.82,3.821,713
Eddie Smith,3.82,3.824,714
Roger Craig,3.83,3.825,715
Paul Quantrill,3.83,3.827,716
Jack Billingham,3.83,3.829,717
Andy Hassler,3.83,3.83,718
Red Munger,3.83,3.831,719
Bob Barr,3.83,3.831,720
Joaquin Benoit,3.83,3.832,721
Hugh McQuillan,3.83,3.832,722
Mike Witt,3.83,3.833,723
Bill Voiselle,3.83,3.834,724
John Healy,3.84,3.835,725
Phil Regan,3.84,3.836,726
Danny Darwin,3.84,3.837,727
Alex Cobb,3.84,3.837,728
Clay Kirby,3.84,3.837,729
Sad Sam Jones,3.84,3.838,730
Bud Black,3.84,3.84,731
Scott Sanderson,3.84,3.84,732
Chuck Finley,3.85,3.845,733
Jaime Garcia,3.85,3.846,734
Eric Rasmussen,3.85,3.847,735
Andy Pettitte,3.85,3.849,736
Jack Scott,3.85,3.849,737
Bob Bruce,3.85,3.849,738
Julio Teheran,3.85,3.849,739
Tanner Roark,3.85,3.849,740
Frank Dwyer,3.85,3.85,741
Vinegar Bend Mizell,3.85,3.85,742
Tom Hume,3.85,3.854,743
Jack McDowell,3.85,3.854,744
Ed Cushman,3.86,3.855,745
Guy Bush,3.86,3.855,746
Michael Wacha,3.86,3.855,747
Greg Swindell,3.86,3.857,748
Jim Lonborg,3.86,3.857,749
Ed Brandt,3.86,3.865,750
Jim Gott,3.87,3.865,751
Scott Stratton,3.87,3.866,752
Luis Severino,3.87,3.869,753
Schoolboy Rowe,3.87,3.873,754
Pete Donohue,3.87,3.873,755
Ron Darling,3.87,3.874,756
Joe Hatten,3.87,3.875,757
Kevin Gausman,3.88,3.876,758
Jakie May,3.88,3.877,759
Josh Beckett,3.88,3.878,760
Dave Danforth,3.89,3.885,761
Wayne Garland,3.89,3.886,762
Gus Weyhing,3.89,3.886,763
Billy Loes,3.89,3.886,764
Pete Harnisch,3.89,3.887,765
Tom Underwood,3.89,3.887,766
George Smith,3.89,3.889,767
George Stone,3.89,3.889,768
Jameson Taillon,3.89,3.889,769
Mike Norris,3.89,3.89,770
